Test Case	Variable	ToolID	Tool Name	Version	Unit	Editor	Fehlercode	Average [-]	CVRMSE [%]	Daily Amplitude CVRMSE [%]	MBE	MSE [%]	Max Difference [-]	Maximum [-]	Minimum [-]	NMBE [%]	NRMSE [%]	R squared [-]	RMSE [%]	RMSEIQR [%]	RMSLE [%]	std dev [-]	Reference	SimQ-Score [%]	SimQ-Rating
01-Sonnenstand	Potsdam Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	22.49	2.86	0.47	0.49	0.39	1.01	56.98	-0.03	2.24	1.1	99.81	0.63	3.13	0.07668	14.49	False	97.73	Gold
01-Sonnenstand	Potsdam Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.08	0.19	0.56	0.01	0.11	0.74	302.79	57.2	0.01	0.14	100.0	0.33	0.36	0.00229	57.59	False	99.76	Gold
01-Sonnenstand	Shanghai Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	32.95	1.84	0.82	0.47	0.36	1.16	78.19	-0.21	1.44	0.76	99.9	0.6	2.09	0.04783	18.99	False	98.48	Gold
01-Sonnenstand	Shanghai Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.12	0.35	0.78	0.12	0.4	1.08	292.84	67.27	0.07	0.28	99.99	0.63	0.55	0.00396	62.26	False	99.6	Gold
01-Sonnenstand	Kaxgar Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	29.01	2.06	0.47	0.43	0.35	1.03	69.89	-0.16	1.5	0.84	99.88	0.59	2.35	0.06285	17.16	False	98.33	Gold
01-Sonnenstand	Kaxgar Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.09	0.32	0.71	0.31	0.32	1.09	295.33	64.71	0.17	0.25	99.99	0.57	0.55	0.00315	59.44	False	99.59	Gold
01-Sonnenstand	Singapur Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	42.0	0.89	0.9	0.1	0.14	1.11	89.22	-0.28	0.24	0.42	99.97	0.37	0.91	0.03701	23.67	False	99.3	Gold
01-Sonnenstand	Singapur Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.14	2.6	1.17	0.31	21.85	119.09	359.53	0.29	0.17	1.32	99.69	4.67	3.02	0.06147	85.29	False	98.08	Gold
01-Sonnenstand	Lima Altitude	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	41.83	0.65	0.64	-0.16	0.07	1.1	89.51	-0.46	-0.38	0.3	99.99	0.27	0.69	0.02283	24.01	False	99.41	Gold
01-Sonnenstand	Lima Azimuth	ETU1	ETU Simulation	4.1	Deg	Dr. Rainer Rolffs, ETU Hottgenroth	0	180.07	4.94	25.79	-0.09	79.21	358.9	359.9	0.18	-0.05	2.48	99.21	8.9	4.93	0.14809	101.48	False	96.66	Gold
