Testfall	ToolID	Variable	Fehlercode	Max	Min	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R² coefficient determination	std dev	SimQuality-Score	SimQ-Einordnung
03-Waermeleitung	Aixlib	Variante 1	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	95.148	Gold
03-Waermeleitung	Aixlib	Variante 2	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	59.072	Failed
03-Waermeleitung	Aixlib	Variante 3	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	96.28999999999999	Gold
03-Waermeleitung	Aixlib	Variante 4	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	92.864	Silver
03-Waermeleitung	ETU	Variante 1	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	83.75	Bronze
03-Waermeleitung	ETU	Variante 2	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	31.862000000000002	Failed
03-Waermeleitung	ETU	Variante 3	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	77.80199999999999	Failed
03-Waermeleitung	ETU	Variante 4	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	88.83599999999998	Bronze
03-Waermeleitung	IDAICE	Variante 1	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	91.664	Silver
03-Waermeleitung	IDAICE	Variante 2	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	71.676	Failed
03-Waermeleitung	IDAICE	Variante 3	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	93.048	Silver
03-Waermeleitung	IDAICE	Variante 4	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.466	Gold
03-Waermeleitung	NANDRAD	Variante 1	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.732	Gold
03-Waermeleitung	NANDRAD	Variante 2	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	94.36800000000001	Silver
03-Waermeleitung	NANDRAD	Variante 3	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.856	Gold
03-Waermeleitung	NANDRAD	Variante 4	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.91799999999998	Gold
03-Waermeleitung	NANDRAD2	Variante 1	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
03-Waermeleitung	NANDRAD2	Variante 2	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
03-Waermeleitung	NANDRAD2	Variante 3	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
03-Waermeleitung	NANDRAD2	Variante 4	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	100.0	Gold
03-Waermeleitung	TAS	Variante 1	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.268	Gold
03-Waermeleitung	TAS	Variante 2	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	24.379999999999995	Failed
03-Waermeleitung	TAS	Variante 3	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	98.76400000000001	Gold
03-Waermeleitung	TAS	Variante 4	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	83.602	Bronze
03-Waermeleitung	THERAKLES	Variante 1	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.702	Gold
03-Waermeleitung	THERAKLES	Variante 2	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	94.254	Silver
03-Waermeleitung	THERAKLES	Variante 3	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.84	Gold
03-Waermeleitung	THERAKLES	Variante 4	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.586	Gold
03-Waermeleitung	TRNSYS	Variante 1	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.724	Gold
03-Waermeleitung	TRNSYS	Variante 2	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	93.478	Silver
03-Waermeleitung	TRNSYS	Variante 3	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.834	Gold
03-Waermeleitung	TRNSYS	Variante 4	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	99.886	Gold
04-WaermeleitungSpeicherung	Aixlib	Variante 1 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	97.584	Gold
04-WaermeleitungSpeicherung	Aixlib	Variante 2 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	84.258	Bronze
04-WaermeleitungSpeicherung	Aixlib	Variante 3 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	88.274	Bronze
04-WaermeleitungSpeicherung	Aixlib	Variante 3 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	87.384	Bronze
04-WaermeleitungSpeicherung	Aixlib	Variante 4 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	92.56799999999998	Silver
04-WaermeleitungSpeicherung	Aixlib	Variante 4 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	83.792	Bronze
04-WaermeleitungSpeicherung	ETU	Variante 1 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	95.27799999999999	Gold
04-WaermeleitungSpeicherung	ETU	Variante 2 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	85.326	Bronze
04-WaermeleitungSpeicherung	ETU	Variante 3 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	54.081999999999994	Failed
04-WaermeleitungSpeicherung	ETU	Variante 3 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	92.70599999999999	Silver
04-WaermeleitungSpeicherung	ETU	Variante 4 Raum A	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	81.34599999999999	Bronze
04-WaermeleitungSpeicherung	ETU	Variante 4 Raum B	0	Maximum	Minimum	Average	CVRMSE	Daily Amplitude CVRMSE	MBE	RMSEIQR	MSE	NMBE	NRMSE	RMSE	RMSLE	R squared coeff determination	std dev	91.03999999999999	Silver
