Variable	Start	End
Potsdam Altitude	91151,298361,380535,426673,504519	91771,299267,381225,427230,504930
Potsdam Azimuth	91151,298361,380535,426673,504519	91771,299267,381225,427230,504930
Shanghai Altitude	91114,298402,380517,426619,504422	91781,299200,381216,427258,505000
Shanghai Azimuth	91114,298402,380517,426619,504422	91781,299200,381216,427258,505000
Kaxgar Altitude	91303,298567,380700,426814,504629	91956,299398,381397,427427,505157
Kaxgar Azimuth	91303,298567,380700,426814,504629	91956,299398,381397,427427,505157
Singapur Altitude	91166,298517,380585,426658,504432	91868,299224,381289,427359,505130
Singapur Azimuth	91166,298517,380585,426658,504432	91868,299224,381289,427359,505130
Lima Altitude	91104,298481,380529,426590,504353	91819,299149,381233,427315,505098
Lima Azimuth	91104,298481,380529,426590,504353	91819,299149,381233,427315,505098
Denver Altitude	91127,298390,380524,426637,504453	91779,299222,381220,427250,504980
Denver Azimuth	91127,298390,380524,426637,504453	91779,299222,381220,427250,504980
Barrow Altitude	91293,298080,298264,380629,426873	91789,298084,299517,381289,427188
Barrow Azimuth	91293,298080,298264,380629,426873	91789,298084,299517,381289,427188
Melbourne Altitude	91102,298541,380543,426576,504311	91845,299114,381245,427355,505164
Melbourne Azimuth	91102,298541,380543,426576,504311	91845,299114,381245,427355,505164
