Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
90720	-44.5838	352.963	-65.9308	355.907	-36.9164	294.554	-70.0653	252.525	-70.1501	195.454	-57.2847	354.539	-24.0092	332.793	-44.5089	191.562
90721	-44.6017	353.311	-65.9447	356.514	-37.0916	294.774	-70.3037	252.323	-70.2141	194.747	-57.302	354.997	-24.0454	333.061	-44.5482	191.218
90722	-44.6188	353.659	-65.9563	357.122	-37.2665	294.995	-70.5418	252.115	-70.2751	194.035	-57.3177	355.455	-24.0813	333.33	-44.5864	190.874
90723	-44.6349	354.006	-65.9656	357.731	-37.4411	295.216	-70.7796	251.902	-70.3332	193.32	-57.3319	355.914	-24.1168	333.599	-44.6234	190.529
90724	-44.6501	354.354	-65.9727	358.34	-37.6154	295.439	-71.0171	251.683	-70.3883	192.6	-57.3446	356.373	-24.1521	333.868	-44.6593	190.184
90725	-44.6644	354.703	-65.9775	358.949	-37.7894	295.662	-71.2543	251.458	-70.4404	191.876	-57.3557	356.833	-24.1869	334.137	-44.6939	189.839
90726	-44.6778	355.051	-65.98	359.558	-37.963	295.887	-71.4912	251.228	-70.4895	191.149	-57.3653	357.292	-24.2215	334.407	-44.7274	189.493
90727	-44.6902	355.399	-65.9803	0.167802	-38.1363	296.112	-71.7278	250.991	-70.5355	190.418	-57.3733	357.752	-24.2557	334.676	-44.7598	189.147
90728	-44.7017	355.748	-65.9782	0.777247	-38.3092	296.339	-71.9641	250.748	-70.5785	189.684	-57.3798	358.212	-24.2895	334.946	-44.7909	188.8
90729	-44.7123	356.097	-65.9739	1.38654	-38.4818	296.566	-72.2	250.498	-70.6183	188.947	-57.3848	358.672	-24.323	335.216	-44.8208	188.453
90730	-44.722	356.446	-65.9673	1.99559	-38.6541	296.794	-72.4355	250.242	-70.6551	188.207	-57.3882	359.133	-24.3562	335.485	-44.8496	188.105
90731	-44.7307	356.795	-65.9585	2.60428	-38.826	297.023	-72.6706	249.978	-70.6887	187.464	-57.3901	359.593	-24.389	335.755	-44.8772	187.758
90732	-44.7385	357.144	-65.9474	3.21251	-38.9976	297.254	-72.9054	249.707	-70.7191	186.719	-57.3904	0.053087	-24.4215	336.025	-44.9036	187.409
90733	-44.7454	357.493	-65.934	3.82017	-39.1688	297.485	-73.1397	249.428	-70.7464	185.972	-57.3892	0.513433	-24.4536	336.296	-44.9288	187.061
