Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
90720	-44.51	353.04	-65.86	356.04	-36.87	294.71	-70.14	252.73	-70.23	195.36	-57.22	354.64	-23.92	332.87	-44.59	191.51
90721	-44.53	353.39	-65.88	356.65	-37.05	294.93	-70.38	252.53	-70.3	194.65	-57.23	355.1	-23.96	333.14	-44.63	191.16
90722	-44.55	353.74	-65.89	357.25	-37.22	295.15	-70.62	252.32	-70.36	193.94	-57.25	355.56	-24	333.4	-44.67	190.82
90723	-44.57	354.09	-65.9	357.86	-37.4	295.37	-70.86	252.11	-70.42	193.22	-57.26	356.02	-24.03	333.67	-44.71	190.47
90724	-44.58	354.43	-65.9	358.47	-37.57	295.6	-71.09	251.9	-70.47	192.5	-57.28	356.47	-24.07	333.94	-44.74	190.13
90725	-44.59	354.78	-65.91	359.08	-37.75	295.82	-71.33	251.67	-70.52	191.77	-57.29	356.93	-24.1	334.21	-44.78	189.78
90726	-44.61	355.13	-65.91	359.68	-37.92	296.04	-71.57	251.44	-70.57	191.04	-57.3	357.39	-24.14	334.48	-44.81	189.43
90727	-44.62	355.48	-65.91	0.29	-38.09	296.27	-71.81	251.21	-70.62	190.3	-57.3	357.85	-24.17	334.75	-44.84	189.09
90728	-44.63	355.82	-65.91	0.9	-38.26	296.5	-72.04	250.97	-70.66	189.57	-57.31	358.31	-24.2	335.02	-44.87	188.74
90729	-44.64	356.17	-65.9	1.51	-38.44	296.72	-72.28	250.72	-70.7	188.83	-57.31	358.77	-24.24	335.29	-44.9	188.39
90730	-44.65	356.52	-65.9	2.12	-38.61	296.95	-72.51	250.46	-70.73	188.08	-57.32	359.23	-24.27	335.56	-44.93	188.04
90731	-44.66	356.87	-65.89	2.72	-38.78	297.18	-72.75	250.2	-70.77	187.34	-57.32	359.69	-24.3	335.83	-44.96	187.7
90732	-44.67	357.22	-65.88	3.33	-38.95	297.41	-72.98	249.93	-70.8	186.59	-57.32	0.15	-24.34	336.1	-44.99	187.35
90733	-44.67	357.57	-65.86	3.94	-39.12	297.64	-73.22	249.65	-70.82	185.84	-57.32	0.61	-24.37	336.37	-45.01	187
90734	-44.68	357.92	-65.85	4.54	-39.29	297.88	-73.45	249.37	-70.85	185.09	-57.31	1.07	-24.4	336.64	-45.03	186.65
90735	-44.68	358.27	-65.83	5.14	-39.46	298.11	-73.69	249.08	-70.87	184.33	-57.31	1.53	-24.43	336.91	-45.06	186.3
90736	-44.69	358.61	-65.81	5.75	-39.63	298.34	-73.92	248.77	-70.89	183.58	-57.3	1.99	-24.46	337.18	-45.08	185.95
90737	-44.69	358.96	-65.78	6.35	-39.8	298.58	-74.15	248.46	-70.9	182.82	-57.3	2.44	-24.49	337.45	-45.1	185.6
90738	-44.69	359.31	-65.76	6.95	-39.97	298.82	-74.39	248.14	-70.91	182.06	-57.29	2.9	-24.52	337.72	-45.12	185.25
90739	-44.69	359.66	-65.73	7.55	-40.14	299.05	-74.62	247.81	-70.92	181.3	-57.28	3.36	-24.55	337.99	-45.13	184.9
90740	-44.69	0.01	-65.7	8.15	-40.31	299.29	-74.85	247.47	-70.92	180.54	-57.26	3.82	-24.58	338.26	-45.15	184.55
90741	-44.69	0.36	-65.67	8.75	-40.48	299.53	-75.08	247.11	-70.92	179.79	-57.25	4.28	-24.61	338.53	-45.17	184.2
90742	-44.69	0.71	-65.64	9.35	-40.64	299.77	-75.31	246.75	-70.92	179.03	-57.23	4.74	-24.64	338.8	-45.18	183.84
90743	-44.69	1.06	-65.6	9.94	-40.81	300.02	-75.54	246.38	-70.92	178.27	-57.22	5.19	-24.67	339.08	-45.19	183.49
90744	-44.69	1.41	-65.56	10.53	-40.98	300.26	-75.77	245.99	-70.91	177.51	-57.2	5.65	-24.7	339.35	-45.21	183.14
90745	-44.68	1.76	-65.52	11.13	-41.15	300.5	-76	245.59	-70.89	176.75	-57.18	6.11	-24.72	339.62	-45.22	182.79
90746	-44.68	2.1	-65.48	11.71	-41.31	300.75	-76.22	245.17	-70.88	175.99	-57.16	6.56	-24.75	339.89	-45.23	182.44
90747	-44.67	2.45	-65.43	12.3	-41.48	300.99	-76.45	244.74	-70.86	175.24	-57.14	7.02	-24.78	340.16	-45.23	182.08
90748	-44.66	2.8	-65.39	12.89	-41.64	301.24	-76.68	244.3	-70.84	174.49	-57.11	7.47	-24.81	340.43	-45.24	181.73
90749	-44.65	3.15	-65.34	13.47	-41.81	301.49	-76.9	243.84	-70.81	173.73	-57.08	7.93	-24.83	340.7	-45.25	181.38
90750	-44.64	3.5	-65.29	14.05	-41.97	301.74	-77.12	243.37	-70.79	172.98	-57.06	8.38	-24.86	340.98	-45.25	181.03
90751	-44.63	3.85	-65.23	14.63	-42.13	301.99	-77.35	242.88	-70.75	172.24	-57.03	8.83	-24.88	341.25	-45.25	180.67
90752	-44.62	4.2	-65.18	15.21	-42.3	302.24	-77.57	242.37	-70.72	171.49	-57	9.29	-24.91	341.52	-45.26	180.32
90753	-44.61	4.54	-65.12	15.78	-42.46	302.5	-77.79	241.84	-70.68	170.75	-56.97	9.74	-24.93	341.79	-45.26	179.97
90754	-44.6	4.89	-65.06	16.35	-42.62	302.75	-78.01	241.29	-70.64	170.01	-56.93	10.19	-24.96	342.07	-45.26	179.62
90755	-44.59	5.24	-65	16.92	-42.78	303.01	-78.23	240.72	-70.6	169.27	-56.9	10.64	-24.98	342.34	-45.25	179.27
90756	-44.57	5.59	-64.94	17.49	-42.95	303.27	-78.45	240.13	-70.55	168.54	-56.86	11.09	-25.01	342.61	-45.25	178.91
