Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
90720	-43.361	353.381	-64.707	356.577	-36.154	295.871	-70.584	255.982	-71.403	195.837	-56.064	355.079	-22.792	333.224	-45.771	191.548
90721	-43.379	353.723	-64.719	357.158	-36.328	296.092	-70.827	255.814	-71.468	195.084	-56.079	355.523	-22.828	333.491	-45.810	191.195
90722	-43.395	354.064	-64.728	357.740	-36.501	296.314	-71.069	255.641	-71.530	194.325	-56.094	355.968	-22.863	333.758	-45.848	190.843
90723	-43.410	354.406	-64.736	358.322	-36.674	296.536	-71.311	255.464	-71.589	193.561	-56.106	356.414	-22.899	334.025	-45.885	190.489
90724	-43.424	354.747	-64.741	358.905	-36.846	296.760	-71.553	255.282	-71.645	192.793	-56.118	356.859	-22.934	334.293	-45.920	190.136
90725	-43.438	355.089	-64.744	359.488	-37.018	296.984	-71.795	255.095	-71.697	192.020	-56.127	357.305	-22.968	334.560	-45.954	189.782
90726	-43.451	355.431	-64.745	0.070	-37.190	297.210	-72.036	254.903	-71.747	191.242	-56.136	357.751	-23.002	334.828	-45.987	189.427
90727	-43.462	355.774	-64.743	0.653	-37.362	297.436	-72.277	254.706	-71.793	190.461	-56.142	358.197	-23.036	335.095	-46.019	189.072
90728	-43.473	356.116	-64.740	1.236	-37.533	297.663	-72.518	254.503	-71.835	189.676	-56.148	358.643	-23.070	335.363	-46.050	188.716
90729	-43.483	356.458	-64.734	1.819	-37.704	297.892	-72.759	254.294	-71.875	188.888	-56.152	359.090	-23.103	335.631	-46.079	188.361
90730	-43.492	356.801	-64.726	2.401	-37.874	298.121	-72.999	254.078	-71.911	188.096	-56.154	359.536	-23.136	335.899	-46.107	188.004
90731	-43.500	357.143	-64.716	2.983	-38.044	298.351	-73.239	253.857	-71.944	187.302	-56.155	359.983	-23.169	336.167	-46.134	187.648
90732	-43.507	357.486	-64.704	3.564	-38.214	298.582	-73.479	253.629	-71.973	186.505	-56.154	0.429	-23.201	336.435	-46.160	187.291
90733	-43.513	357.829	-64.690	4.145	-38.383	298.814	-73.719	253.394	-71.999	185.705	-56.152	0.875	-23.233	336.704	-46.184	186.933
90734	-43.519	358.172	-64.673	4.725	-38.552	299.047	-73.958	253.152	-72.022	184.903	-56.148	1.322	-23.264	336.972	-46.208	186.576
90735	-43.523	358.515	-64.654	5.305	-38.720	299.281	-74.197	252.902	-72.041	184.099	-56.143	1.768	-23.295	337.241	-46.230	186.218
90736	-43.527	358.858	-64.634	5.883	-38.888	299.516	-74.436	252.644	-72.057	183.294	-56.136	2.214	-23.326	337.509	-46.251	185.859
90737	-43.529	359.200	-64.611	6.461	-39.056	299.753	-74.675	252.378	-72.069	182.488	-56.128	2.660	-23.357	337.778	-46.270	185.501
90738	-43.531	359.543	-64.585	7.038	-39.224	299.990	-74.913	252.104	-72.078	181.680	-56.118	3.106	-23.387	338.047	-46.288	185.142
90739	-43.532	359.886	-64.558	7.613	-39.390	300.228	-75.150	251.820	-72.083	180.872	-56.107	3.552	-23.417	338.316	-46.306	184.783
90740	-43.532	0.229	-64.529	8.188	-39.557	300.467	-75.387	251.527	-72.085	180.064	-56.095	3.997	-23.446	338.585	-46.321	184.424
90741	-43.530	0.572	-64.497	8.761	-39.723	300.707	-75.624	251.225	-72.084	179.256	-56.080	4.442	-23.475	338.855	-46.336	184.064
90742	-43.528	0.915	-64.464	9.333	-39.889	300.949	-75.861	250.912	-72.079	178.447	-56.065	4.887	-23.504	339.124	-46.350	183.704
90743	-43.526	1.258	-64.428	9.903	-40.054	301.191	-76.097	250.588	-72.071	177.640	-56.048	5.331	-23.532	339.393	-46.362	183.345
90744	-43.522	1.601	-64.390	10.472	-40.219	301.435	-76.332	250.252	-72.059	176.833	-56.029	5.775	-23.560	339.663	-46.373	182.985
90745	-43.517	1.944	-64.350	11.040	-40.384	301.679	-76.567	249.905	-72.044	176.028	-56.009	6.218	-23.588	339.932	-46.382	182.624
90746	-43.511	2.287	-64.308	11.606	-40.548	301.925	-76.802	249.545	-72.025	175.224	-55.988	6.661	-23.615	340.202	-46.391	182.264
90747	-43.505	2.630	-64.264	12.170	-40.711	302.172	-77.035	249.172	-72.003	174.422	-55.964	7.104	-23.642	340.472	-46.398	181.904
90748	-43.497	2.972	-64.218	12.732	-40.874	302.420	-77.269	248.784	-71.977	173.622	-55.940	7.546	-23.669	340.742	-46.404	181.543
90749	-43.489	3.315	-64.170	13.292	-41.037	302.669	-77.501	248.383	-71.949	172.824	-55.914	7.987	-23.695	341.012	-46.409	181.183
90750	-43.480	3.657	-64.119	13.851	-41.199	302.919	-77.733	247.965	-71.916	172.029	-55.887	8.428	-23.721	341.282	-46.412	180.822
90751	-43.470	4.000	-64.067	14.407	-41.361	303.170	-77.965	247.532	-71.881	171.237	-55.858	8.868	-23.747	341.552	-46.414	180.461
90752	-43.458	4.342	-64.013	14.962	-41.522	303.423	-78.195	247.081	-71.842	170.448	-55.827	9.308	-23.772	341.823	-46.415	180.101
90753	-43.446	4.684	-63.957	15.514	-41.683	303.676	-78.425	246.612	-71.800	169.663	-55.796	9.747	-23.797	342.093	-46.415	179.740
90754	-43.434	5.026	-63.899	16.064	-41.843	303.931	-78.654	246.124	-71.754	168.881	-55.762	10.185	-23.821	342.363	-46.413	179.379
90755	-43.420	5.368	-63.838	16.612	-42.003	304.187	-78.882	245.615	-71.705	168.103	-55.728	10.622	-23.845	342.634	-46.411	179.019
90756	-43.405	5.710	-63.776	17.157	-42.163	304.444	-79.109	245.085	-71.653	167.329	-55.691	11.059	-23.869	342.905	-46.407	178.658
90757	-43.389	6.051	-63.712	17.700	-42.322	304.702	-79.336	244.532	-71.598	166.560	-55.654	11.495	-23.892	343.175	-46.401	178.298
90758	-43.373	6.393	-63.646	18.241	-42.480	304.962	-79.561	243.955	-71.540	165.796	-55.615	11.930	-23.915	343.446	-46.395	177.937
90759	-43.355	6.734	-63.578	18.779	-42.638	305.223	-79.785	243.353	-71.478	165.036	-55.574	12.364	-23.938	343.717	-46.387	177.577
90760	-43.337	7.075	-63.509	19.315	-42.795	305.485	-80.007	242.723	-71.413	164.282	-55.533	12.798	-23.960	343.988	-46.378	177.216
90761	-43.318	7.416	-63.437	19.848	-42.952	305.748	-80.229	242.064	-71.345	163.532	-55.489	13.230	-23.982	344.259	-46.368	176.856
90762	-43.298	7.756	-63.363	20.379	-43.109	306.013	-80.449	241.374	-71.275	162.788	-55.445	13.661	-24.004	344.530	-46.356	176.496
90763	-43.277	8.097	-63.288	20.907	-43.264	306.278	-80.668	240.652	-71.201	162.050	-55.398	14.092	-24.025	344.802	-46.344	176.137
90764	-43.255	8.437	-63.211	21.432	-43.420	306.545	-80.885	239.895	-71.124	161.318	-55.351	14.522	-24.046	345.073	-46.330	175.777
90765	-43.232	8.777	-63.132	21.954	-43.575	306.814	-81.100	239.100	-71.044	160.591	-55.302	14.950	-24.066	345.344	-46.315	175.418
90766	-43.208	9.117	-63.051	22.474	-43.729	307.083	-81.313	238.267	-70.961	159.871	-55.252	15.378	-24.086	345.616	-46.298	175.058
90767	-43.183	9.456	-62.968	22.990	-43.882	307.354	-81.525	237.391	-70.876	159.157	-55.200	15.804	-24.106	345.887	-46.281	174.699
90768	-43.158	9.795	-62.884	23.504	-44.036	307.626	-81.734	236.470	-70.787	158.449	-55.147	16.230	-24.126	346.159	-46.262	174.341
90769	-43.132	10.134	-62.797	24.015	-44.188	307.900	-81.942	235.501	-70.696	157.747	-55.093	16.654	-24.144	346.431	-46.241	173.982
90770	-43.104	10.473	-62.709	24.523	-44.340	308.175	-82.146	234.481	-70.602	157.053	-55.037	17.077	-24.163	346.702	-46.220	173.624
90771	-43.076	10.811	-62.620	25.029	-44.492	308.451	-82.348	233.406	-70.506	156.364	-54.980	17.499	-24.181	346.974	-46.198	173.266
90772	-43.047	11.149	-62.528	25.531	-44.642	308.728	-82.548	232.273	-70.406	155.683	-54.921	17.920	-24.199	347.246	-46.174	172.909
90773	-43.017	11.487	-62.435	26.030	-44.793	309.007	-82.744	231.079	-70.304	155.008	-54.862	18.340	-24.217	347.518	-46.149	172.552
90774	-42.986	11.824	-62.341	26.526	-44.942	309.287	-82.936	229.818	-70.200	154.341	-54.800	18.758	-24.234	347.790	-46.122	172.195
90775	-42.955	12.161	-62.244	27.019	-45.091	309.569	-83.125	228.486	-70.092	153.680	-54.738	19.175	-24.251	348.062	-46.095	171.838
90776	-42.922	12.498	-62.146	27.509	-45.240	309.852	-83.311	227.080	-69.983	153.026	-54.674	19.591	-24.267	348.334	-46.066	171.482
