Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
90720	-44.5	353.1	-65.6	355.4	-36.2	294	-69.3	253.5	-70.7	194.9	-57.7	356.4	-24	333.8	-45.5	192.7
90721	-44.5	353.5	-65.7	356	-36.4	294.2	-69.6	253.3	-70.7	194.2	-57.7	356.9	-24	334.1	-45.5	192.4
90722	-44.6	353.8	-65.7	356.6	-36.6	294.4	-69.8	253.1	-70.8	193.5	-57.7	357.3	-24	334.4	-45.6	192
90723	-44.6	354.2	-65.7	357.2	-36.7	294.6	-70	252.9	-70.8	192.7	-57.7	357.8	-24.1	334.7	-45.6	191.7
90724	-44.6	354.5	-65.7	357.8	-36.9	294.9	-70.3	252.7	-70.9	192	-57.7	358.3	-24.1	334.9	-45.7	191.3
90725	-44.6	354.9	-65.7	358.4	-37.1	295.1	-70.5	252.5	-70.9	191.2	-57.7	358.7	-24.1	335.2	-45.7	191
90726	-44.6	355.2	-65.7	359	-37.3	295.3	-70.8	252.3	-71	190.5	-57.7	359.2	-24.2	335.5	-45.7	190.6
90727	-44.6	355.6	-65.7	359.6	-37.4	295.5	-71	252	-71	189.7	-57.7	359.7	-24.2	335.7	-45.8	190.2
90728	-44.6	355.9	-65.7	0.2	-37.6	295.7	-71.2	251.8	-71.1	189	-57.7	0.1	-24.2	336	-45.8	189.9
90729	-44.7	356.3	-65.7	0.8	-37.8	296	-71.5	251.6	-71.1	188.2	-57.7	0.6	-24.3	336.3	-45.8	189.5
90730	-44.7	356.6	-65.7	1.4	-38	296.2	-71.7	251.4	-71.1	187.5	-57.7	1.1	-24.3	336.5	-45.9	189.2
90731	-44.7	357	-65.7	2	-38.1	296.4	-71.9	251.1	-71.2	186.7	-57.7	1.5	-24.3	336.8	-45.9	188.8
90732	-44.7	357.3	-65.7	2.6	-38.3	296.6	-72.2	250.9	-71.2	185.9	-57.7	2	-24.4	337.1	-45.9	188.5
90733	-44.7	357.7	-65.7	3.2	-38.5	296.9	-72.4	250.6	-71.2	185.2	-57.7	2.5	-24.4	337.4	-46	188.1
90734	-44.7	358	-65.7	3.8	-38.7	297.1	-72.6	250.4	-71.2	184.4	-57.7	2.9	-24.4	337.6	-46	187.8
90735	-44.7	358.4	-65.7	4.4	-38.8	297.3	-72.9	250.1	-71.3	183.6	-57.7	3.4	-24.5	337.9	-46	187.4
90736	-44.7	358.7	-65.6	5	-39	297.5	-73.1	249.8	-71.3	182.9	-57.7	3.8	-24.5	338.2	-46	187.1
90737	-44.7	359.1	-65.6	5.6	-39.2	297.8	-73.4	249.5	-71.3	182.1	-57.6	4.3	-24.5	338.4	-46.1	186.7
90738	-44.7	359.4	-65.6	6.2	-39.4	298	-73.6	249.2	-71.3	181.3	-57.6	4.8	-24.5	338.7	-46.1	186.3
90739	-44.7	359.8	-65.6	6.8	-39.5	298.2	-73.8	248.9	-71.3	180.6	-57.6	5.2	-24.6	339	-46.1	186
90740	-44.7	0.1	-65.5	7.4	-39.7	298.5	-74.1	248.6	-71.3	179.8	-57.6	5.7	-24.6	339.2	-46.1	185.6
90741	-44.7	0.5	-65.5	8	-39.9	298.7	-74.3	248.3	-71.3	179	-57.6	6.2	-24.6	339.5	-46.2	185.3
90742	-44.7	0.8	-65.5	8.6	-40	298.9	-74.5	248	-71.3	178.2	-57.6	6.6	-24.7	339.8	-46.2	184.9
90743	-44.7	1.1	-65.4	9.2	-40.2	299.2	-74.8	247.6	-71.3	177.5	-57.5	7.1	-24.7	340.1	-46.2	184.6
90744	-44.7	1.5	-65.4	9.8	-40.4	299.4	-75	247.3	-71.3	176.7	-57.5	7.5	-24.7	340.3	-46.2	184.2
90745	-44.7	1.8	-65.4	10.3	-40.5	299.7	-75.2	246.9	-71.2	175.9	-57.5	8	-24.7	340.6	-46.2	183.8
90746	-44.7	2.2	-65.3	10.9	-40.7	299.9	-75.4	246.6	-71.2	175.1	-57.4	8.5	-24.8	340.9	-46.2	183.5
90747	-44.7	2.5	-65.3	11.5	-40.9	300.1	-75.7	246.2	-71.2	174.4	-57.4	8.9	-24.8	341.1	-46.2	183.1
90748	-44.7	2.9	-65.3	12.1	-41	300.4	-75.9	245.8	-71.2	173.6	-57.4	9.4	-24.8	341.4	-46.3	182.8
90749	-44.7	3.2	-65.2	12.7	-41.2	300.6	-76.1	245.4	-71.1	172.8	-57.4	9.8	-24.8	341.7	-46.3	182.4
90750	-44.7	3.6	-65.2	13.3	-41.4	300.9	-76.4	244.9	-71.1	172.1	-57.3	10.3	-24.9	342	-46.3	182.1
90751	-44.7	3.9	-65.1	13.8	-41.5	301.1	-76.6	244.5	-71.1	171.3	-57.3	10.7	-24.9	342.2	-46.3	181.7
