Zeit [min]	Barrow Azimuth [Deg]	Barrow Altitude [Deg]	Denver Azimuth [Deg]	Denver Altitude [Deg]	Kaxgar Azimuth [Deg]	Kaxgar Altitude [Deg]	Lima Azimuth [Deg]	Lima Altitude [Deg]	Melbourne Azimuth [Deg]	Melbourne Altitude [Deg]	Potsdam Azimuth [Deg]	Potsdam Altitude [Deg]	Shanghai Azimuth [Deg]	Shanghai Altitude [Deg]	Singapur Azimuth [Deg]	Singapur Altitude [Deg]
90720	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90721	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90722	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90723	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90724	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90725	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90726	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90727	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90728	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90729	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90730	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90731	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90732	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90733	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90734	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90735	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90736	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90737	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90738	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90739	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90740	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90741	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90742	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90743	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90744	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90745	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90746	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90747	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90748	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90749	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90750	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90751	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90752	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90753	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90754	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90755	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90756	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90757	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90758	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90759	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90760	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90761	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90762	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90763	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90764	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90765	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90766	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90767	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90768	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90769	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90770	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90771	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90772	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90773	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90774	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90775	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90776	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90777	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90778	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90779	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90780	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90781	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90782	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90783	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90784	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90785	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90786	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90787	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90788	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90789	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90790	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90791	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90792	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90793	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90794	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90795	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90796	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90797	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90798	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90799	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90800	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90801	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90802	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90803	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90804	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90805	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90806	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90807	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90808	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90809	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90810	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90811	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90812	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90813	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90814	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90815	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90816	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90817	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90818	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90819	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90820	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90821	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90822	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90823	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90824	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90825	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90826	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90827	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90828	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90829	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90830	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
90831	90	0	90	0	90	0	90	0	90	0	90	0	90	0	90	0
