Tool	Tool Editor	Tool Name	Tool Version
Radiance	Stephan Hirth, IBK TU Dresden	Radiance	5.2.0
TAS	Rainer Strobel, PGMM	TAS	9.5.0
Aixlib	Amin Nouri, RWTH Aachen	AixLib	0.7.3
ETU	Dr. Rainer Rolffs, ETU Hottgenroth	ETU Simulation	4.1
ETU2	Dr. Rainer Rolffs, ETU Hottgenroth	ETU Simulation	4.1
ETUHorizontal	Dr. Rainer Rolffs, ETU Hottgenroth	ETU Simulation	4.1
IDAICE	Caroline Seifert, INNIUS DÖ	IDA ICE	4.8.0.1
NANDRAD	Dirk Weiß, IBK TU Dresden	NANDRAD v1.8 Isotrop	1.8
NANDRAD2	Dirk Weiß, IBK TU Dresden	NANDRAD v2 Isotrop	2
THERAKLES	Stephan Hirth, IBK TU Dresden	THERAKLES Isotrop	3.3
TRNSYS	Julian Agudelo, Hochschule München	TRNSYS Isotrop	18
