Variable	Start [h]	End [h]
Sun azimuth angle	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Sun elevation angle	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Direktstrahlung - 0	91231,91471,298346,380522,426691	91410,91770,299282,381238,427170
Direktstrahlung N 90	298346,299112	298517,299282
Direktstrahlung N 30	91366,91471,298346,380530	91410,91559,299282,381225
Direktstrahlung N-E 90	91231,298346,380522,426691	91294,298699,380726,426774
Direktstrahlung N-E 30	91231,91471,298346,380522,426691	91410,91542,299141,381017,426981
Direktstrahlung E 90	91231,298346,380522,426691	91410,298814,380880,426952
Direktstrahlung E 30	91231,91471,298346,380522,426691	91410,91621,299078,381065,427090
Direktstrahlung S-E 90	91231,91471,298346,380522,426691	91410,91627,298929,381035,427130
Direktstrahlung S-E 30	91231,91471,298346,380522,426691	91410,91711,299123,381145,427170
Direktstrahlung S 90	91231,91471,298517,380522,426691	91410,91770,299112,381238,427170
Direktstrahlung S 30	91231,91471,298421,380522,426691	91410,91770,299207,381238,427170
Direktstrahlung S-W 90	91294,91471,298699,380726,426774	91410,91770,299282,381238,427170
Direktstrahlung S-W 30	91231,91471,298506,380616,426714	91410,91770,299282,381238,427170
Direktstrahlung W 90	91471,298814,380880,426952	91770,299282,381238,427170
Direktstrahlung W 30	91301,91471,298551,380695,426814	91410,91770,299282,381238,427170
Direktstrahlung N-W 90	91627,298929,381035,427130	91770,299282,381238,427170
Direktstrahlung N-W 30	91379,91471,298486,380743,426923	91410,91770,299282,381238,427170
Diffusstrahlung - 0	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung N 90	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung N 30	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung N-E 90	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung N-E 30	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung E 90	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung E 30	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung S-E 90	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung S-E 30	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung S 90	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung S 30	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung S-W 90	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung S-W 30	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung W 90	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung W 30	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung N-W 90	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
Diffusstrahlung N-W 30	91138,298346,380522,426659,504501	91785,299282,381238,427244,504948
