Zeit [h]	Sun azimuth angle [Deg]	Sun elevation angle [Deg]	DIR_-_0	DIR_N_90	DIR_N_60	DIR_N_45	DIR_N_30	DIR_N-E_90	DIR_N-E_60	DIR_N-E_45	DIR_N-E_30	DIR_E_90	DIR_E_60	DIR_E_45	DIR_E_30	DIR_S-E_90	DIR_S-E_60	DIR_S-E_45	DIR_S-E_30	DIR_S_90	DIR_S_60	DIR_S_45	DIR_S_30	DIR_S-W_90	DIR_S-W_60	DIR_S-W_45	DIR_S-W_30	DIR_W_90	DIR_W_60	DIR_W_45	DIR_W_30	DIR_N-W_90	DIR_N-W_60	DIR_N-W_45	DIR_N-W_30	DIFF_-_0	DIFF_N_90	DIFF_N_60	DIFF_N_45	DIFF_N_30	DIFF_N-E_90	DIFF_N-E_60	DIFF_N-E_45	DIFF_N-E_30	DIFF_E_90	DIFF_E_60	DIFF_E_45	DIFF_E_30	DIFF_S-E_90	DIFF_S-E_60	DIFF_S-E_45	DIFF_S-E_30	DIFF_S_90	DIFF_S_60	DIFF_S_45	DIFF_S_30	DIFF_S-W_90	DIFF_S-W_60	DIFF_S-W_45	DIFF_S-W_30	DIFF_W_90	DIFF_W_60	DIFF_W_45	DIFF_W_30	DIFF_N-W_90	DIFF_N-W_60	DIFF_N-W_45	DIFF_N-W_30
0	354.68	-60.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22.28	-59.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	45.74	-54.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	64.01	-46.62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	78.58	-37.96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	91.03	-28.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	102.44	-19.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	113.56	-11.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	124.91	-3.11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53	1.52	0	0	2.4	1.52	0	0	2.4	1.52	0	0	2.4	1.52	0	0	2.4	1.52	0	0	2.4	1.52	0	0	2.4	1.52	0	0	2.4	1.52	0	0	2.4
9	136.85	3.81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.26	16.36	0	0	25.8	16.36	0	0	25.8	16.36	0	0	25.8	16.36	0	0	25.8	16.36	0	0	25.8	16.36	0	0	25.8	16.36	0	0	25.8	16.36	0	0	25.8
