Zeit [h]	Sun azimuth angle [Deg]	Sun elevation angle [Deg]	DIR_-_0	DIR_N_90	DIR_N_60	DIR_N_45	DIR_N_30	DIR_N-E_90	DIR_N-E_60	DIR_N-E_45	DIR_N-E_30	DIR_E_90	DIR_E_60	DIR_E_45	DIR_E_30	DIR_S-E_90	DIR_S-E_60	DIR_S-E_45	DIR_S-E_30	DIR_S_90	DIR_S_60	DIR_S_45	DIR_S_30	DIR_S-W_90	DIR_S-W_60	DIR_S-W_45	DIR_S-W_30	DIR_W_90	DIR_W_60	DIR_W_45	DIR_W_30	DIR_N-W_90	DIR_N-W_60	DIR_N-W_45	DIR_N-W_30	DIFF_-_0	DIFF_N_90	DIFF_N_60	DIFF_N_45	DIFF_N_30	DIFF_N-E_90	DIFF_N-E_60	DIFF_N-E_45	DIFF_N-E_30	DIFF_E_90	DIFF_E_60	DIFF_E_45	DIFF_E_30	DIFF_S-E_90	DIFF_S-E_60	DIFF_S-E_45	DIFF_S-E_30	DIFF_S_90	DIFF_S_60	DIFF_S_45	DIFF_S_30	DIFF_S-W_90	DIFF_S-W_60	DIFF_S-W_45	DIFF_S-W_30	DIFF_W_90	DIFF_W_60	DIFF_W_45	DIFF_W_30	DIFF_N-W_90	DIFF_N-W_60	DIFF_N-W_45	DIFF_N-W_30
0	354.847	-60.6285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	22.4315	-59.2375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	45.8676	-54.0724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	64.1041	-46.5704	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	78.6592	-37.9056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	91.0982	-28.8031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	102.51	-19.7283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	113.63	-11.0381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	124.978	-3.06404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5	3.3	4.4	4.85563	5.20526	3.3	4.4	4.85563	5.20526	3.3	4.4	4.85563	5.20526	3.3	4.4	4.85563	5.20526	3.3	4.4	4.85563	5.20526	3.3	4.4	4.85563	5.20526	3.3	4.4	4.85563	5.20526	3.3	4.4	4.85563	5.20526
9	136.92	3.84574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27.5	16.5	22	24.2782	26.0263	16.5	22	24.2782	26.0263	16.5	22	24.2782	26.0263	16.5	22	24.2782	26.0263	16.5	22	24.2782	26.0263	16.5	22	24.2782	26.0263	16.5	22	24.2782	26.0263	16.5	22	24.2782	26.0263
10	149.669	9.31717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.5	33.9	45.2	49.8806	53.4722	33.9	45.2	49.8806	53.4722	33.9	45.2	49.8806	53.4722	33.9	45.2	49.8806	53.4722	33.9	45.2	49.8806	53.4722	33.9	45.2	49.8806	53.4722	33.9	45.2	49.8806	53.4722	33.9	45.2	49.8806	53.4722
11	163.226	12.9781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80.5	48.3	64.4	71.0688	76.186	48.3	64.4	71.0688	76.186	48.3	64.4	71.0688	76.186	48.3	64.4	71.0688	76.186	48.3	64.4	71.0688	76.186	48.3	64.4	71.0688	76.186	48.3	64.4	71.0688	76.186	48.3	64.4	71.0688	76.186
12	177.337	14.5271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	40.2	53.6	59.1505	63.4095	40.2	53.6	59.1505	63.4095	40.2	53.6	59.1505	63.4095	40.2	53.6	59.1505	63.4095	40.2	53.6	59.1505	63.4095	40.2	53.6	59.1505	63.4095	40.2	53.6	59.1505	63.4095	40.2	53.6	59.1505	63.4095
13	191.546	13.8212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.5	22.5	30	33.1066	35.4904	22.5	30	33.1066	35.4904	22.5	30	33.1066	35.4904	22.5	30	33.1066	35.4904	22.5	30	33.1066	35.4904	22.5	30	33.1066	35.4904	22.5	30	33.1066	35.4904	22.5	30	33.1066	35.4904
14	205.356	10.9269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	17.4	23.2	25.6024	27.4459	17.4	23.2	25.6024	27.4459	17.4	23.2	25.6024	27.4459	17.4	23.2	25.6024	27.4459	17.4	23.2	25.6024	27.4459	17.4	23.2	25.6024	27.4459	17.4	23.2	25.6024	27.4459	17.4	23.2	25.6024	27.4459
15	218.424	6.09574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.5	9.3	12.4	13.6841	14.6694	9.3	12.4	13.6841	14.6694	9.3	12.4	13.6841	14.6694	9.3	12.4	13.6841	14.6694	9.3	12.4	13.6841	14.6694	9.3	12.4	13.6841	14.6694	9.3	12.4	13.6841	14.6694	9.3	12.4	13.6841	14.6694
