Zeit [h]	Außentemperatur [C]	Variante 1 Raum A [C]	Variante 2 Raum A [C]	Variante 3 Raum A [C]	Variante 3 Raum B [C]	Variante 4 Raum A [C]	Variante 4 Raum B [C]
0	20	20.00	20.00	20.00	20.00	5.00	5.00
1	20	20.00	20.00	20.00	20.00	5.00	5.00
2	20	20.00	20.00	20.00	20.00	5.00	5.00
3	20	20.00	20.00	20.00	20.00	4.99	5.00
4	20	20.00	20.00	20.00	20.00	4.96	4.99
5	20	20.00	20.00	20.00	20.00	4.91	4.97
6	20	20.00	20.00	20.00	20.00	4.84	4.95
7	20	20.00	20.00	20.00	20.00	4.75	4.93
8	20	20.00	20.00	20.00	20.00	4.65	4.91
9	20	20.00	20.07	20.00	20.00	4.55	4.89
10	20	20.00	20.27	20.00	20.00	4.44	4.87
11	20	20.00	20.49	20.01	20.00	4.34	4.85
12	20	20.00	20.79	20.03	20.01	4.25	4.83
13	20	20.00	21.15	20.08	20.03	4.16	4.82
14	20	20.00	21.53	20.16	20.05	4.08	4.80
15	20	20.00	21.92	20.25	20.07	4.00	4.78
16	20	20.00	22.30	20.36	20.09	3.94	4.77
17	20	20.00	22.66	20.49	20.12	3.88	4.75
18	20	20.00	23.01	20.61	20.14	3.84	4.74
19	20	20.00	23.28	20.74	20.17	3.79	4.73
20	20	20.00	23.40	20.87	20.20	3.76	4.71
21	20	20.00	23.49	21.00	20.22	3.73	4.70
22	20	20.00	23.47	21.10	20.24	3.70	4.69
23	20	20.00	23.39	21.18	20.25	3.68	4.68
24	20	20.00	23.27	21.23	20.26	3.66	4.66
25	20	20.00	23.13	21.25	20.27	3.64	4.65
26	20	20.00	22.99	21.26	20.27	3.63	4.64
27	20	20.00	22.86	21.26	20.28	3.61	4.63
28	20	20.00	22.72	21.24	20.28	3.60	4.62
29	20	20.00	22.59	21.22	20.29	3.59	4.61
30	20	20.00	22.47	21.20	20.29	3.58	4.60
31	20	20.00	22.35	21.17	20.29	3.57	4.59
32	20	20.00	22.24	21.14	20.30	3.57	4.58
33	20	20.00	22.20	21.12	20.30	3.56	4.57
34	20	20.00	22.30	21.09	20.30	3.56	4.56
35	20	20.00	22.42	21.06	20.31	3.55	4.55
36	20	20.00	22.63	21.06	20.32	3.54	4.54
37	20	20.00	22.90	21.08	20.34	3.53	4.52
38	20	20.00	23.20	21.13	20.36	3.52	4.51
39	20	20.00	23.50	21.19	20.38	3.51	4.50
40	20	20.00	23.80	21.28	20.41	3.50	4.49
41	20	20.00	24.10	21.37	20.44	3.49	4.48
42	20	20.00	24.38	21.47	20.46	3.46	4.46
43	20	20.00	24.57	21.58	20.49	3.44	4.45
44	20	20.00	24.63	21.68	20.52	3.40	4.43
45	20	20.00	24.66	21.78	20.54	3.35	4.41
46	20	20.00	24.59	21.87	20.56	3.30	4.39
47	20	20.00	24.45	21.92	20.58	3.23	4.37
48	20	20.00	24.28	21.95	20.59	3.16	4.34
49	20	20.00	24.10	21.95	20.59	3.08	4.31
50	20	20.00	23.91	21.94	20.60	2.99	4.29
51	20	20.00	23.73	21.92	20.60	2.90	4.26
52	20	20.00	23.55	21.89	20.61	2.80	4.23
53	20	20.00	23.39	21.85	20.61	2.70	4.20
54	20	20.00	23.22	21.81	20.62	2.60	4.17
55	20	20.00	23.07	21.77	20.62	2.49	4.13
56	20	20.00	22.92	21.72	20.62	2.38	4.10
57	20	20.00	22.85	21.68	20.63	2.27	4.06
58	20	20.00	22.92	21.63	20.63	2.15	4.03
59	20	20.00	23.00	21.59	20.63	2.03	3.99
60	20	20.00	23.19	21.58	20.65	1.92	3.96
61	20	20.00	23.43	21.58	20.66	1.81	3.92
62	20	20.00	23.71	21.62	20.68	1.71	3.89
63	20	20.00	23.99	21.67	20.71	1.61	3.85
64	20	20.00	24.26	21.74	20.73	1.53	3.82
65	20	20.00	24.53	21.83	20.76	1.46	3.79
66	20	20.00	24.79	21.92	20.79	1.40	3.76
67	20	20.00	24.97	22.01	20.81	1.34	3.73
68	20	20.00	25.01	22.11	20.84	1.29	3.70
69	20	20.00	25.02	22.20	20.86	1.22	3.67
70	20	20.00	24.93	22.27	20.88	1.15	3.63
71	20	20.00	24.78	22.31	20.90	1.07	3.59
72	20	20.00	24.59	22.33	20.91	0.99	3.55
73	20	20.00	24.39	22.33	20.91	0.90	3.51
74	20	20.00	24.19	22.31	20.92	0.79	3.47
75	20	20.00	24.00	22.28	20.92	0.69	3.43
76	20	20.00	23.81	22.24	20.92	0.58	3.38
77	20	20.00	23.63	22.20	20.93	0.46	3.33
78	20	20.00	23.45	22.15	20.93	0.33	3.29
79	20	20.00	23.29	22.10	20.93	0.21	3.24
80	20	20.00	23.13	22.05	20.94	0.08	3.19
81	20	20.00	23.05	21.99	20.94	-0.05	3.14
82	20	20.00	23.10	21.94	20.94	-0.18	3.09
83	20	20.00	23.18	21.90	20.94	-0.32	3.03
84	20	20.00	23.36	21.88	20.96	-0.45	2.98
85	20	20.00	23.60	21.88	20.97	-0.58	2.93
86	20	20.00	23.86	21.91	20.99	-0.71	2.88
87	20	20.00	24.13	21.96	21.01	-0.82	2.83
88	20	20.00	24.40	22.02	21.04	-0.90	2.79
89	20	20.00	24.67	22.10	21.06	-0.97	2.75
