Zeit [h]	Außentemperatur [C]	Variante 1 Raum A [C]	Variante 2 Raum A [C]	Variante 3 Raum A [C]	Variante 3 Raum B [C]	Variante 4 Raum A [C]	Variante 4 Raum B [C]
0	20	20	20	0	0	0	0
1	20	20	20	0	0	0	0
2	20	20	20	0	0	0	0
3	20	20	20	0	0	0	0
4	20	20	20	0	0	0	0
5	20	20	20	0	0	0	0
6	20	20	20	0	0	0	0
7	20	20	20	0	0	0	0
8	20	20	20	0	0	0	0
9	20	20	20.0694	0	0	0	0
10	20	20	20.2651	0	0	0	0
11	20	20	20.4782	0	0	0	0
12	20	20	20.783	0	0	0	0
13	20	20	21.1447	0	0	0	0
14	20	20	21.5285	0	0	0	0
15	20	20	21.9148	0	0	0	0
16	20	20	22.2933	0	0	0	0
17	20	20	22.6592	0	0	0	0
18	20	20	23.0102	0	0	0	0
19	20	20	23.2764	0	0	0	0
20	20	20	23.401	0	0	0	0
21	20	20	23.4929	0	0	0	0
22	20	20	23.4788	0	0	0	0
23	20	20	23.3939	0	0	0	0
24	20	20	23.2734	0	0	0	0
25	20	20	23.138	0	0	0	0
26	20	20	22.9982	0	0	0	0
27	20	20	22.8595	0	0	0	0
28	20	20	22.7246	0	0	0	0
29	20	20	22.5948	0	0	0	0
30	20	20	22.4704	0	0	0	0
31	20	20	22.3517	0	0	0	0
32	20	20	22.2384	0	0	0	0
33	20	20	22.1998	0	0	0	0
34	20	20	22.2928	0	0	0	0
35	20	20	22.4082	0	0	0	0
36	20	20	22.6198	0	0	0	0
37	20	20	22.8928	0	0	0	0
38	20	20	23.1924	0	0	0	0
39	20	20	23.4983	0	0	0	0
40	20	20	23.8004	0	0	0	0
41	20	20	24.0935	0	0	0	0
42	20	20	24.3754	0	0	0	0
43	20	20	24.5758	0	0	0	0
44	20	20	24.6376	0	0	0	0
45	20	20	24.67	0	0	0	0
46	20	20	24.5991	0	0	0	0
47	20	20	24.4601	0	0	0	0
48	20	20	24.2883	0	0	0	0
49	20	20	24.1038	0	0	0	0
50	20	20	23.9174	0	0	0	0
51	20	20	23.7344	0	0	0	0
52	20	20	23.5573	0	0	0	0
53	20	20	23.3873	0	0	0	0
54	20	20	23.2247	0	0	0	0
55	20	20	23.0696	0	0	0	0
56	20	20	22.9217	0	0	0	0
57	20	20	22.8502	0	0	0	0
58	20	20	22.9118	0	0	0	0
59	20	20	22.9972	0	0	0	0
60	20	20	23.1804	0	0	0	0
61	20	20	23.4264	0	0	0	0
62	20	20	23.7002	0	0	0	0
63	20	20	23.9816	0	0	0	0
64	20	20	24.2604	0	0	0	0
65	20	20	24.5313	0	0	0	0
66	20	20	24.7921	0	0	0	0
67	20	20	24.9724	0	0	0	0
68	20	20	25.0151	0	0	0	0
69	20	20	25.0292	0	0	0	0
70	20	20	24.9411	0	0	0	0
71	20	20	24.7856	0	0	0	0
72	20	20	24.598	0	0	0	0
73	20	20	24.3986	0	0	0	0
74	20	20	24.198	0	0	0	0
75	20	20	24.0014	0	0	0	0
76	20	20	23.8115	0	0	0	0
77	20	20	23.6292	0	0	0	0
78	20	20	23.455	0	0	0	0
79	20	20	23.2887	0	0	0	0
80	20	20	23.1302	0	0	0	0
81	20	20	23.0487	0	0	0	0
82	20	20	23.1007	0	0	0	0
83	20	20	23.1771	0	0	0	0
84	20	20	23.3515	0	0	0	0
85	20	20	23.5894	0	0	0	0
86	20	20	23.8553	0	0	0	0
87	20	20	24.1292	0	0	0	0
88	20	20	24.4009	0	0	0	0
89	20	20	24.665	0	0	0	0
90	20	20	24.9193	0	0	0	0
91	20	20	25.0935	0	0	0	0
92	20	20	25.1303	0	0	0	0
93	20	20	25.139	0	0	0	0
94	20	20	25.0455	0	0	0	0
95	20	20	24.8849	0	0	0	0
96	20	20	24.6925	0	0	0	0
97	20	20	24.4885	0	0	0	0
98	20	20	24.2835	0	0	0	0
99	20	20	24.0828	0	0	0	0
100	20	20	23.889	0	0	0	0
101	20	20	23.7029	0	0	0	0
102	20	20	23.5251	0	0	0	0
103	20	20	23.3554	0	0	0	0
104	20	20	23.1938	0	0	0	0
105	20	20	23.1092	0	0	0	0
106	20	20	23.1583	0	0	0	0
107	20	20	23.2318	0	0	0	0
108	20	20	23.4037	0	0	0	0
109	20	20	23.639	0	0	0	0
110	20	20	23.9026	0	0	0	0
111	20	20	24.1744	0	0	0	0
112	20	20	24.4438	0	0	0	0
113	20	20	24.7059	0	0	0	0
114	20	20	24.9583	0	0	0	0
115	20	20	25.1306	0	0	0	0
116	20	20	25.1656	0	0	0	0
117	20	20	25.1725	0	0	0	0
118	20	20	25.0772	0	0	0	0
119	20	20	24.9152	0	0	0	0
120	20	20	24.7214	0	0	0	0
121	20	20	24.516	0	0	0	0
122	20	20	24.3098	0	0	0	0
123	20	20	24.1078	0	0	0	0
124	20	20	23.9125	0	0	0	0
125	20	20	23.7254	0	0	0	0
126	20	20	23.5466	0	0	0	0
127	20	20	23.3759	0	0	0	0
128	20	20	23.2133	0	0	0	0
129	20	20	23.1277	0	0	0	0
130	20	20	23.1759	0	0	0	0
131	20	20	23.2487	0	0	0	0
132	20	20	23.4197	0	0	0	0
133	20	20	23.6542	0	0	0	0
134	20	20	23.917	0	0	0	0
135	20	20	24.188	0	0	0	0
136	20	20	24.4567	0	0	0	0
137	20	20	24.7182	0	0	0	0
138	20	20	24.97	0	0	0	0
139	20	20	25.1417	0	0	0	0
140	20	20	25.1763	0	0	0	0
141	20	20	25.1827	0	0	0	0
142	20	20	25.087	0	0	0	0
143	20	20	24.9245	0	0	0	0
144	20	20	24.7302	0	0	0	0
145	20	20	24.5244	0	0	0	0
146	20	20	24.3177	0	0	0	0
147	20	20	24.1153	0	0	0	0
148	20	20	23.9199	0	0	0	0
149	20	20	23.7324	0	0	0	0
150	20	20	23.5531	0	0	0	0
151	20	20	23.3821	0	0	0	0
152	20	20	23.2192	0	0	0	0
153	20	20	23.1334	0	0	0	0
154	20	20	23.1813	0	0	0	0
155	20	20	23.2538	0	0	0	0
156	20	20	23.4246	0	0	0	0
157	20	20	23.6588	0	0	0	0
158	20	20	23.9214	0	0	0	0
159	20	20	24.1922	0	0	0	0
160	20	20	24.4608	0	0	0	0
161	20	20	24.722	0	0	0	0
162	20	20	24.9736	0	0	0	0
163	20	20	25.1451	0	0	0	0
164	20	20	25.1795	0	0	0	0
165	20	20	25.1858	0	0	0	0
166	20	20	25.09	0	0	0	0
167	20	20	24.9273	0	0	0	0
168	20	20	24.7329	0	0	0	0
169	30	20.3756	24.5269	0	0	0	0
170	30	21.5002	24.3201	0	0	0	0
171	30	21.9614	24.1176	0	0	0	0
172	30	22.1357	23.922	0	0	0	0
173	30	22.2311	23.7344	0	0	0	0
174	30	22.3045	23.555	0	0	0	0
175	30	22.3721	23.384	0	0	0	0
176	30	22.4371	23.221	0	0	0	0
177	30	22.501	23.1351	0	0	0	0
178	30	22.5643	23.1829	0	0	0	0
179	30	22.6273	23.2553	0	0	0	0
180	30	22.6897	23.426	0	0	0	0
181	30	22.7516	23.6602	0	0	0	0
182	30	22.8129	23.9227	0	0	0	0
183	30	22.8738	24.1934	0	0	0	0
184	30	22.934	24.4619	0	0	0	0
185	30	22.9938	24.723	0	0	0	0
186	30	23.0531	24.9746	0	0	0	0
187	30	23.1119	25.1462	0	0	0	0
188	30	23.1701	25.1805	0	0	0	0
189	30	23.2279	25.1867	0	0	0	0
190	30	23.2852	25.0909	0	0	0	0
191	30	23.342	24.9282	0	0	0	0
192	30	23.3984	24.7337	0	0	0	0
193	30	23.4542	24.5278	0	0	0	0
194	30	23.5096	24.321	0	0	0	0
195	30	23.5645	24.1185	0	0	0	0
196	30	23.619	23.9229	0	0	0	0
197	30	23.6729	23.7352	0	0	0	0
198	30	23.7265	23.5559	0	0	0	0
199	30	23.7795	23.3847	0	0	0	0
200	30	23.8322	23.2216	0	0	0	0
201	30	23.8844	23.1357	0	0	0	0
202	30	23.9361	23.1835	0	0	0	0
203	30	23.9874	23.2559	0	0	0	0
204	30	24.0383	23.4266	0	0	0	0
205	30	24.0887	23.6607	0	0	0	0
206	30	24.1387	23.9232	0	0	0	0
207	30	24.1883	24.1939	0	0	0	0
208	30	24.2375	24.4623	0	0	0	0
209	30	24.2862	24.7235	0	0	0	0
210	30	24.3346	24.975	0	0	0	0
211	30	24.3825	25.1465	0	0	0	0
212	30	24.43	25.1808	0	0	0	0
213	30	24.4772	25.1869	0	0	0	0
214	30	24.5239	25.0911	0	0	0	0
215	30	24.5702	24.9284	0	0	0	0
216	30	24.6161	24.7339	0	0	0	0
217	30	24.6617	24.528	0	0	0	0
218	30	24.7069	24.3212	0	0	0	0
219	30	24.7516	24.1186	0	0	0	0
220	30	24.796	23.923	0	0	0	0
221	30	24.8401	23.7354	0	0	0	0
222	30	24.8837	23.556	0	0	0	0
223	30	24.927	23.3848	0	0	0	0
224	30	24.9699	23.2217	0	0	0	0
225	30	25.0125	23.1358	0	0	0	0
226	30	25.0547	23.1836	0	0	0	0
227	30	25.0965	23.2559	0	0	0	0
228	30	25.138	23.4267	0	0	0	0
229	30	25.1791	23.6608	0	0	0	0
230	30	25.2199	23.9233	0	0	0	0
231	30	25.2604	24.1941	0	0	0	0
232	30	25.3005	24.4626	0	0	0	0
233	30	25.3402	24.7238	0	0	0	0
234	30	25.3797	24.9752	0	0	0	0
235	30	25.4187	25.1466	0	0	0	0
236	30	25.4575	25.1809	0	0	0	0
237	30	25.4959	25.1871	0	0	0	0
238	30	25.534	25.0912	0	0	0	0
239	30	25.5718	24.9284	0	0	0	0
240	30	25.6093	24.734	0	0	0	0
241	30	25.6464	24.5279	0	0	0	0
242	30	25.6833	24.321	0	0	0	0
243	30	25.7198	24.1185	0	0	0	0
244	30	25.756	23.9229	0	0	0	0
245	30	25.7919	23.7353	0	0	0	0
246	30	25.8275	23.5558	0	0	0	0
247	30	25.8628	23.3847	0	0	0	0
248	30	25.8978	23.2217	0	0	0	0
249	30	25.9325	23.1357	0	0	0	0
250	30	25.9669	23.1836	0	0	0	0
251	30	26.0011	23.256	0	0	0	0
252	30	26.0349	23.4267	0	0	0	0
253	30	26.0684	23.6608	0	0	0	0
254	30	26.1017	23.9233	0	0	0	0
255	30	26.1347	24.194	0	0	0	0
256	30	26.1674	24.4625	0	0	0	0
257	30	26.1998	24.7236	0	0	0	0
258	30	26.232	24.9751	0	0	0	0
259	30	26.2638	25.1466	0	0	0	0
260	30	26.2954	25.1809	0	0	0	0
261	30	26.3268	25.1871	0	0	0	0
262	30	26.3579	25.0913	0	0	0	0
263	30	26.3887	24.9286	0	0	0	0
264	30	26.4192	24.7341	0	0	0	0
265	30	26.4495	24.5281	0	0	0	0
266	30	26.4796	24.3214	0	0	0	0
267	30	26.5093	24.1189	0	0	0	0
268	30	26.5389	23.9231	0	0	0	0
269	30	26.5682	23.7354	0	0	0	0
270	30	26.5972	23.556	0	0	0	0
271	30	26.626	23.3849	0	0	0	0
272	30	26.6545	23.2218	0	0	0	0
273	30	26.6828	23.1358	0	0	0	0
274	30	26.7109	23.1837	0	0	0	0
275	30	26.7387	23.256	0	0	0	0
276	30	26.7663	23.4267	0	0	0	0
277	30	26.7937	23.6609	0	0	0	0
278	30	26.8208	23.9233	0	0	0	0
279	30	26.8477	24.1941	0	0	0	0
280	30	26.8744	24.4626	0	0	0	0
281	30	26.9008	24.7238	0	0	0	0
282	30	26.927	24.9753	0	0	0	0
283	30	26.953	25.1467	0	0	0	0
284	30	26.9788	25.181	0	0	0	0
285	30	27.0044	25.1872	0	0	0	0
286	30	27.0297	25.0913	0	0	0	0
287	30	27.0548	24.9286	0	0	0	0
288	30	27.0798	24.7341	0	0	0	0
289	30	27.1045	24.5282	0	0	0	0
290	30	27.129	24.3213	0	0	0	0
291	30	27.1533	24.1188	0	0	0	0
292	30	27.1773	23.9232	0	0	0	0
293	30	27.2012	23.7355	0	0	0	0
294	30	27.2249	23.5561	0	0	0	0
295	30	27.2484	23.3849	0	0	0	0
296	30	27.2717	23.2218	0	0	0	0
297	30	27.2947	23.1358	0	0	0	0
298	30	27.3176	23.1836	0	0	0	0
299	30	27.3403	23.256	0	0	0	0
300	30	27.3628	23.4267	0	0	0	0
301	30	27.3851	23.6608	0	0	0	0
302	30	27.4073	23.9233	0	0	0	0
303	30	27.4292	24.194	0	0	0	0
304	30	27.4509	24.4625	0	0	0	0
305	30	27.4725	24.7237	0	0	0	0
306	30	27.4939	24.9751	0	0	0	0
307	30	27.5151	25.1466	0	0	0	0
308	30	27.5361	25.1809	0	0	0	0
309	30	27.557	25.1871	0	0	0	0
310	30	27.5776	25.0913	0	0	0	0
311	30	27.5981	24.9286	0	0	0	0
312	30	27.6185	24.7341	0	0	0	0
313	30	27.6386	24.5281	0	0	0	0
314	30	27.6586	24.3213	0	0	0	0
315	30	27.6784	24.1188	0	0	0	0
316	30	27.698	23.9233	0	0	0	0
317	30	27.7175	23.7356	0	0	0	0
318	30	27.7368	23.5562	0	0	0	0
319	30	27.756	23.3849	0	0	0	0
320	30	27.775	23.2218	0	0	0	0
321	30	27.7938	23.1359	0	0	0	0
322	30	27.8124	23.1837	0	0	0	0
323	30	27.8309	23.256	0	0	0	0
324	30	27.8493	23.4268	0	0	0	0
325	30	27.8675	23.6609	0	0	0	0
326	30	27.8855	23.9234	0	0	0	0
327	30	27.9034	24.1941	0	0	0	0
328	30	27.9212	24.4626	0	0	0	0
329	30	27.9388	24.7237	0	0	0	0
330	30	27.9562	24.9752	0	0	0	0
331	30	27.9735	25.1467	0	0	0	0
332	30	27.9906	25.181	0	0	0	0
333	30	28.0076	25.1872	0	0	0	0
334	30	28.0245	25.0913	0	0	0	0
335	30	28.0412	24.9286	0	0	0	0
336	30	28.0578	24.7341	0	0	0	0
337	30	28.0742	24.5281	0	0	0	0
338	30	28.0905	24.3212	0	0	0	0
339	30	28.1066	24.1187	0	0	0	0
340	30	28.1227	23.9231	0	0	0	0
341	30	28.1386	23.7354	0	0	0	0
342	30	28.1543	23.5559	0	0	0	0
343	30	28.1699	23.3848	0	0	0	0
344	30	28.1854	23.2218	0	0	0	0
