Zeit [h]	Variante 1 Raumlufttemperatur [C]	Variante 1 Lueftungswaermestrom [W]	Variante 2 Raumlufttemperatur [C]	Variante 2 Lueftungswaermestrom [W]	Variante 3 Raumlufttemperatur [C]	Variante 3 Lueftungswaermestrom [W]	Variante 4 Raumlufttemperatur [C]	Variante 4 Lueftungswaermestrom [W]
0	5	0	5.00	0.00	5.00	0.00	5.00	0.00
1	5.00	0	4.36	-52.40	4.82	-14.29	4.82	-14.29
2	5.00	0	5.48	1.67	5.13	0.12	5.13	0.12
3	5.00	0	4.60	-0.84	4.90	-0.06	4.90	-0.06
4	5.00	0	5.30	1.03	5.07	0.07	5.07	0.07
5	5.00	0	4.75	-0.49	4.94	-0.03	4.94	-0.03
6	5.00	0	5.18	0.68	5.04	0.05	5.04	0.05
7	5.00	0	4.84	-0.26	4.96	-0.01	4.96	-0.01
8	5.00	0	5.11	0.47	5.02	0.04	5.02	0.04
9	5.00	0	4.90	-0.10	4.98	0.00	4.98	0.00
10	5.00	0	5.06	0.35	5.01	0.03	5.01	0.03
11	5.00	0	4.94	0.00	4.98	0.01	4.98	0.01
12	5.00	0	5.04	0.28	5.01	0.02	5.01	0.02
13	5.00	0	4.96	0.06	4.99	0.01	4.99	0.01
14	5.00	0	5.02	0.23	5.00	0.02	5.00	0.02
15	5.00	0	4.97	0.09	4.99	0.01	4.99	0.01
16	5.00	0	5.01	0.20	5.00	0.02	5.00	0.02
17	5.00	0	4.98	0.12	4.99	0.02	4.99	0.02
18	5.00	0	5.00	0.18	5.00	0.02	5.00	0.02
19	5.00	0	4.98	0.13	4.99	0.02	4.99	0.02
20	5.00	0	5.00	0.17	5.00	0.02	5.00	0.02
21	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
22	5.00	0	5.00	0.16	5.00	0.02	5.00	0.02
23	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
24	5.00	0	5.00	0.16	5.00	0.02	5.00	0.02
25	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
26	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
27	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
28	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
29	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
30	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
31	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
32	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
33	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
34	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
35	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
36	5.00	0	4.99	0.15	5.00	0.02	5.00	0.02
37	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
38	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
39	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
40	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
41	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
42	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
43	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
44	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
45	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
46	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
47	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
48	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
49	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
50	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
51	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
52	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
53	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
54	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
55	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
56	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
57	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
58	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
59	5.00	0	4.99	0.14	5.00	0.02	5.00	0.02
60	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
61	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
62	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
63	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
64	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
65	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
66	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
67	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
68	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
69	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
70	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
71	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
72	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
73	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
74	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
75	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
76	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
77	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
78	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
79	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
80	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
81	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
82	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
83	5.00	0	4.99	0.13	5.00	0.02	5.00	0.02
84	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
85	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
86	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
87	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
88	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
89	5.00	0	4.99	0.12	5.00	0.02	5.00	0.02
