Stunde im Jahr [h]	Var07.1.Raumlufttemperatur [C]	Var07.1.Trans.Strahlung.Fenster [W/m2]	Var07.1.Wärmeleitung.Fenster [W/m2]	Var07.2.Raumlufttemperatur [C]	Var07.2.Trans.Strahlung.Fenster [W/m2]	Var07.2.Wärmeleitung.Fenster [W/m2]	Var07.3.Raumlufttemperatur [C]	Var07.3.Trans.Strahlung.Fenster [W/m2]	Var07.3.Wärmeleitung.Fenster [W/m2]
0	0	0	0	0	0	0	20	0	-0.38
1	20	0	-0.29	0	0	0	20	0	-0.38
2	20	0	-0.27	0	0	0	20	0	-0.36
3	20	0	-0.26	0	0	0	20	0	-0.34
4	20	0	-0.26	0	0	0	20	0	-0.33
5	20	0	-0.25	0	0	0	20	0	-0.32
6	20	0	-0.24	0	0	0	20	0	-0.31
7	20	0	-0.24	0	0	0	20	0	-0.31
8	20	0	-0.23	0	0	0	20	0	-0.3
9	20	0	-0.22	0	0	0	20	0	-0.29
10	20	0	-0.22	0	0	0	20	0	-0.28
11	20	0	-0.21	0	0	0	20	0	-0.28
12	20	0	-0.21	0	0	0	20	0	-0.27
13	20	0	-0.2	0	0	0	20	0	-0.26
14	20	0	-0.2	0	0	0	20	0	-0.26
15	20	0	-0.19	0	0	0	20	0	-0.25
16	20	0	-0.19	0	0	0	20	0	-0.25
17	20	0	-0.18	0	0	0	20	0	-0.24
18	20	0	-0.18	0	0	0	20	0	-0.23
19	20	0	-0.18	0	0	0	20	0	-0.23
20	20	0	-0.17	0	0	0	20	0	-0.22
21	20	0	-0.17	0	0	0	20	0	-0.22
22	20	0	-0.16	0	0	0	20	0	-0.21
23	20	0	-0.16	0	0	0	20	0	-0.21
24	20	0	-0.16	0	0	0	20	0	-0.2
25	20	0	-0.15	0	0	0	20	0	-0.2
26	20	0	-0.15	0	0	0	20	0	-0.19
27	20	0	-0.14	0	0	0	20	0	-0.19
28	20	0	-0.14	0	0	0	20	0	-0.18
29	20	0	-0.14	0	0	0	20	0	-0.18
30	20	0	-0.13	0	0	0	20	0	-0.18
31	20	0	-0.13	0	0	0	20	0	-0.17
32	20	0	-0.13	0	0	0	20	0	-0.17
33	20	0	-0.13	0	0	0	20	0	-0.16
34	20	0	-0.12	0	0	0	20	0	-0.16
35	20	0	-0.12	0	0	0	20	0	-0.16
36	20	0	-0.12	0	0	0	20	0	-0.15
37	20	0	-0.12	0	0	0	20	0	-0.15
38	20	0	-0.11	0	0	0	20	0	-0.14
39	20	0	-0.11	0	0	0	20	0	-0.14
40	20	0	-0.11	0	0	0	20	0	-0.14
41	20	0	-0.1	0	0	0	20	0	-0.13
42	20	0	-0.1	0	0	0	20	0	-0.13
43	20	0	-0.1	0	0	0	20	0	-0.13
44	20	0	-0.1	0	0	0	20	0	-0.13
45	20	0	-0.09	0	0	0	20	0	-0.12
46	20	0	-0.09	0	0	0	20	0	-0.12
47	20	0	-0.09	0	0	0	20	0	-0.12
48	20	0	-0.09	0	0	0	20	0	-0.12
49	20	0	-0.09	0	0	0	20	0	-0.11
50	20	0	-0.08	0	0	0	20	0	-0.11
51	20	0	-0.08	0	0	0	20	0	-0.11
52	20	0	-0.08	0	0	0	20	0	-0.1
53	20	0	-0.08	0	0	0	20	0	-0.1
54	20	0	-0.08	0	0	0	20	0	-0.1
55	20	0	-0.07	0	0	0	20	0	-0.1
56	20	0	-0.07	0	0	0	20	0	-0.09
57	20	0	-0.07	0	0	0	20	0	-0.09
58	20	0	-0.07	0	0	0	20	0	-0.09
59	20	0	-0.07	0	0	0	20	0	-0.09
60	20	0	-0.07	0	0	0	20	0	-0.09
61	20	0	-0.06	0	0	0	20	0	-0.08
62	20	0	-0.06	0	0	0	20	0	-0.08
63	20	0	-0.06	0	0	0	20	0	-0.08
64	20	0	-0.06	0	0	0	20	0	-0.08
65	20	0	-0.06	0	0	0	20	0	-0.08
66	20	0	-0.06	0	0	0	20	0	-0.07
67	20	0	-0.05	0	0	0	20	0	-0.07
68	20	0	-0.05	0	0	0	20	0	-0.07
69	20	0	-0.05	0	0	0	20	0	-0.07
70	20	0	-0.05	0	0	0	20	0	-0.07
71	20	0	-0.05	0	0	0	20	0	-0.07
72	20	0	-0.05	0	0	0	20	0	-0.06
73	20	0	-0.05	0	0	0	20	0	-0.06
74	20	0	-0.05	0	0	0	20	0	-0.06
75	20	0	-0.04	0	0	0	20	0	-0.06
76	20	0	-0.04	0	0	0	20	0	-0.06
77	20	0	-0.04	0	0	0	20	0	-0.06
78	20	0	-0.04	0	0	0	20	0	-0.05
79	20	0	-0.04	0	0	0	20	0	-0.05
80	20	0	-0.04	0	0	0	20	0	-0.05
81	20	0	-0.04	0	0	0	20	0	-0.05
82	20	0	-0.04	0	0	0	20	0	-0.05
83	20	0	-0.04	0	0	0	20	0	-0.05
