Zeit [h]	Variante 7.3 Raumlufttemperatur [C]	Variante 7.3 Trans.Strahlung Fenster [W/m2]	Variante 7.3 Wärmeleitung Fenster [W/m2]	Variante 7.4 Raumlufttemperatur [C]	Variante 7.4 Trans.Strahlung Fenster [W/m2]	Variante 7.4 Wärmeleitung Fenster [W/m2]	Variante 7.5 Raumlufttemperatur [C]	Variante 7.5 Trans.Strahlung Fenster [W/m2]	Variante 7.5 Wärmeleitung Fenster [W/m2]	Variante 7.6 Raumlufttemperatur [C]	Variante 7.6 Trans.Strahlung Fenster [W/m2]	Variante 7.6 Wärmeleitung Fenster [W/m2]
0	23.191	0	-2.898015873	23.187	0	-7.833730159	23.187	0	-7.823412698	23.187	0	-7.841865079
1	22.329	0	-2.112301587	22.242	0	-3.246428571	22.281	0	-2.557936508	22.048	0	-7.164484127
2	22.3	0	-2.084126984	22.24	0	-2.946825397	22.303	0	-2.01031746	21.962	0	-7.62281746
3	22.284	0	-2.06765873	22.229	0	-2.864285714	22.303	0	-1.83125	21.928	0	-7.652579365
4	22.27	0	-2.053968254	22.216	0	-2.830952381	22.296	0	-1.764583333	21.906	0	-7.628373016
5	22.258	0	-2.041666667	22.204	0	-2.809920635	22.287	0	-1.736130952	21.888	0	-7.599603175
6	22.247	0	-2.030555556	22.193	0	-2.792460317	22.277	0	-1.72109127	21.872	0	-7.572222222
7	22.237	0	-2.01984127	22.182	0	-2.776388889	22.267	0	-1.710813492	21.857	0	-7.545833333
8	22.227	0	-2.009722222	22.172	0	-2.760912698	22.257	0	-1.702222222	21.842	0	-7.520634921
9	22.217	0	-1.999801587	22.161	0	-2.745833333	22.248	0	-1.694285714	21.828	0	-7.496031746
10	22.207	0	-1.990079365	22.151	0	-2.730753968	22.238	0	-1.68656746	21.814	0	-7.471825397
11	22.198	0	-1.980436508	22.142	0	-2.716071429	22.229	0	-1.678968254	21.801	0	-7.448015873
12	22.188	0	-1.970952381	22.132	0	-2.701587302	22.22	0	-1.67140873	21.788	0	-7.424603175
13	22.179	0	-1.961547619	22.122	0	-2.687103175	22.211	0	-1.66390873	21.774	0	-7.401388889
14	22.17	0	-1.952222222	22.113	0	-2.67281746	22.202	0	-1.656448413	21.761	0	-7.378373016
15	22.16	0	-1.942936508	22.103	0	-2.658531746	22.193	0	-1.649007937	21.748	0	-7.355555556
16	22.151	0	-1.933730159	22.094	0	-2.644444444	22.184	0	-1.641626984	21.735	0	-7.332936508
17	22.142	0	-1.924583333	22.084	0	-2.630357143	22.175	0	-1.634265873	21.722	0	-7.310515873
18	22.133	0	-1.91547619	22.075	0	-2.616269841	22.166	0	-1.626944444	21.71	0	-7.288293651
19	22.124	0	-1.906428571	22.066	0	-2.602579365	22.157	0	-1.619662698	21.697	0	-7.266071429
20	22.115	0	-1.897420635	22.056	0	-2.588690476	22.149	0	-1.612420635	21.685	0	-7.244246032
