Zeit [h]	Variante 7.1 Raumlufttemperatur [C]	Variante 7.1 Trans.Strahlung Fenster [W/m2]	Variante 7.1 Wärmeleitung Fenster [W/m2]	Variante 7.2 Raumlufttemperatur [C]	Variante 7.2 Trans.Strahlung Fenster [W/m2]	Variante 7.2 Wärmeleitung Fenster [W/m2]	Variante 7.3 Raumlufttemperatur [C]	Variante 7.3 Trans.Strahlung Fenster [W/m2]	Variante 7.3 Wärmeleitung Fenster [W/m2]	Variante 7.4 Raumlufttemperatur [C]	Variante 7.4 Trans.Strahlung Fenster [W/m2]	Variante 7.4 Wärmeleitung Fenster [W/m2]	Variante 7.5 Raumlufttemperatur [C]	Variante 7.5 Trans.Strahlung Fenster [W/m2]	Variante 7.5 Wärmeleitung Fenster [W/m2]	Variante 7.6 Raumlufttemperatur [C]	Variante 7.6 Trans.Strahlung Fenster [W/m2]	Variante 7.6 Wärmeleitung Fenster [W/m2]
0	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0
1	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.5141	0	-12.5328
2	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.4942	0	-12.4462
3	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.4793	0	-12.421
4	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.4668	0	-12.4009
5	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.4557	0	-12.3835
6	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.4454	0	-12.3677
7	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.4356	0	-12.3528
8	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.426	0	-12.3384
9	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.4167	0	-12.3244
10	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.4075	0	-12.3106
11	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3983	0	-12.297
12	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3893	0	-12.2835
13	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3803	0	-12.2701
14	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3713	0	-12.2568
15	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3624	0	-12.2436
16	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3535	0	-12.2304
17	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3447	0	-12.2173
18	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3359	0	-12.2042
19	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3272	0	-12.1912
20	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3185	0	-12.1783
21	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3098	0	-12.1654
22	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.3012	0	-12.1526
23	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.2926	0	-12.1398
24	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.284	0	-12.1271
25	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.2755	0	-12.1144
26	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.2671	0	-12.1018
27	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.2586	0	-12.0893
28	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.2502	0	-12.0768
29	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.2418	0	-12.0644
30	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.2335	0	-12.052
31	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.2252	0	-12.0397
32	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.217	0	-12.0274
33	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.2087	0	-12.0152
34	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.2006	0	-12.003
35	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1924	0	-11.9909
36	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1843	0	-11.9788
37	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1762	0	-11.9669
38	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1682	0	-11.9549
39	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1602	0	-11.943
40	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1522	0	-11.9312
41	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1443	0	-11.9194
42	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1364	0	-11.9076
43	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1285	0	-11.8959
44	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1207	0	-11.8843
45	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1129	0	-11.8727
46	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.1052	0	-11.8612
47	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.0974	0	-11.8497
48	20	0	0	20	0	0	20	0	0	20	0	0	20	0	0	19.0897	0	-11.8383
