Zeit [h]	Variante 7.1 Raumlufttemperatur [C]	Variante 7.1 Trans.Strahlung Fenster [W/m2]	Variante 7.1 Wärmeleitung Fenster [W/m2]	Variante 7.2 Raumlufttemperatur [C]	Variante 7.2 Trans.Strahlung Fenster [W/m2]	Variante 7.2 Wärmeleitung Fenster [W/m2]	Variante 7.3 Raumlufttemperatur [C]	Variante 7.3 Trans.Strahlung Fenster [W/m2]	Variante 7.3 Wärmeleitung Fenster [W/m2]	Variante 7.4 Raumlufttemperatur [C]	Variante 7.4 Trans.Strahlung Fenster [W/m2]	Variante 7.4 Wärmeleitung Fenster [W/m2]	Variante 7.5 Raumlufttemperatur [C]	Variante 7.5 Trans.Strahlung Fenster [W/m2]	Variante 7.5 Wärmeleitung Fenster [W/m2]	Variante 7.6 Raumlufttemperatur [C]	Variante 7.6 Trans.Strahlung Fenster [W/m2]	Variante 7.6 Wärmeleitung Fenster [W/m2]
0	0	0	0	0	0	0	19.997	0	2.388062169	23.187	0	-0.063333333	23.187	0	-7.823412698	23.187	0	-7.841865079
1	0	0	0	0	0	0	19.906	0	2.374437831	22.243	0	-2.294246032	22.275	0	-2.557936508	22.04	0	-7.164484127
2	0	0	0	0	0	0	19.903	0	2.371759259	22.239	0	-2.740277778	22.297	0	-2.01031746	21.959	0	-7.62281746
3	0	0	0	0	0	0	19.9	0	2.369510582	22.226	0	-2.808531746	22.297	0	-1.83125	21.928	0	-7.652579365
4	0	0	0	0	0	0	19.897	0	2.367625661	22.213	0	-2.804960317	22.29	0	-1.764583333	21.907	0	-7.628373016
5	0	0	0	0	0	0	19.895	0	2.365873016	22.201	0	-2.788690476	22.28	0	-1.736130952	21.889	0	-7.599603175
6	0	0	0	0	0	0	19.893	0	2.364219577	22.189	0	-2.771428571	22.27	0	-1.72109127	21.873	0	-7.572222222
7	0	0	0	0	0	0	19.891	0	2.362665344	22.179	0	-2.754563492	22.26	0	-1.710813492	21.857	0	-7.545833333
8	0	0	0	0	0	0	19.889	0	2.361111111	22.168	0	-2.738492063	22.25	0	-1.702222222	21.843	0	-7.520634921
9	0	0	0	0	0	0	19.887	0	2.359623016	22.158	0	-2.723015873	22.241	0	-1.694285714	21.829	0	-7.496031746
10	0	0	0	0	0	0	19.885	0	2.358134921	22.148	0	-2.707936508	22.231	0	-1.68656746	21.815	0	-7.471825397
