Time [h]	Azimuth [Deg]	Altitude [Deg]	Var1.Sonnenlichtfaktor [---]	Var2.Sonnenlichtfaktor [---]	Var3.Sonnenlichtfaktor [---]	Var4.Sonnenlichtfaktor [---]	Var5.Sonnenlichtfaktor [---]	Var6.Sonnenlichtfaktor [---]
3552	359.99	-18.56	0	0	0	0	0	0
3552.16666666667	2.45	-18.53	0	0	0	0	0	0
3552.33333333333	4.9	-18.42	0	0	0	0	0	0
3552.5	7.34	-18.25	0	0	0	0	0	0
3552.66666666667	9.78	-18.01	0	0	0	0	0	0
3552.83333333333	12.2	-17.7	0	0	0	0	0	0
3553	14.61	-17.33	0	0	0	0	0	0
3553.16666666667	17	-16.89	0	0	0	0	0	0
3553.33333333333	19.37	-16.39	0	0	0	0	0	0
3553.5	21.72	-15.82	0	0	0	0	0	0
3553.66666666667	24.05	-15.2	0	0	0	0	0	0
3553.83333333333	26.35	-14.51	0	0	0	0	0	0
3554	28.62	-13.77	0	0	0	0	0	0
3554.16666666667	30.87	-12.97	0	0	0	0	0	0
3554.33333333333	33.08	-12.12	0	0	0	0	0	0
3554.5	35.27	-11.22	0	0	0	0	0	0
3554.66666666667	37.43	-10.26	0	0	0	0	0	0
3554.83333333333	39.56	-9.26	0	0	0	0	0	0
3555	41.67	-8.21	0	0	0	0	0	0
3555.16666666667	43.74	-7.12	0	0	0	0	0	0
3555.33333333333	45.79	-5.99	0	0	0	0	0	0
3555.5	47.8	-4.82	0	0	0	0	0	0
3555.66666666667	49.8	-3.61	0	0	0	0	0	0
3555.83333333333	51.76	-2.36	0	0	0	0	0	0
3556	53.71	-1.08	0	0	0	0	0	0
3556.16666666667	55.63	0.23	0	0	0	0	1	0
3556.33333333333	57.53	1.57	0	0	0	0	1	0
3556.5	59.41	2.94	0	0	0	0	1	0
3556.66666666667	61.28	4.34	0	0	0	0	1	0
3556.83333333333	63.12	5.76	0	0	0	0	1	0
3557	64.96	7.21	0	0	0	0	1	0
3557.16666666667	66.78	8.67	0	0	0	0	1	0
3557.33333333333	68.59	10.16	0	0	0	0	1	0
3557.5	70.4	11.67	0	0	0	0	1	0
3557.66666666667	72.2	13.19	0	0	0	0	1	0
3557.83333333333	74	14.73	0	0	0	0	1	0
3558	75.8	16.28	0	0	0	0	1	0
3558.16666666667	77.6	17.84	0	0	0	0	1	0
3558.33333333333	79.4	19.42	0	0	0	0	1	0
3558.5	81.22	21	0	0	0	0	1	0
3558.66666666667	83.04	22.6	0	0	0	0	1	0
3558.83333333333	84.89	24.19	0	0	0	0	1	0
3559	86.75	25.8	0	0	0	0	1	0
3559.16666666667	88.63	27.4	0	0	0	0	0.99	0
3559.33333333333	90.54	29.01	0.695	0.305	0	1	0.97	0
3559.5	92.47	30.62	0.658	0.342	0	1	0.95	0
3559.66666666667	94.45	32.22	0.618	0.382	0	1	0.93	0
3559.83333333333	96.46	33.82	0.576	0.424	0	1	0.91	0
3560	98.52	35.42	0.531	0.469	0	1	0.89	0
3560.16666666667	100.63	37	0.483	0.517	0	1	0.87	0
3560.33333333333	102.8	38.58	0.432	0.568	0	1	0.84	0
3560.5	105.03	40.14	0.379	0.621	0	1	0.81	0
3560.66666666667	107.33	41.68	0.329	0.671	0	1	0.78	0
3560.83333333333	109.71	43.21	0.283	0.717	0	1	0.75	0
3561	112.18	44.71	0.24	0.76	0	1	0.72	0.07
3561.16666666667	114.74	46.18	0.201	0.801	0	1	0.68	0.15
3561.33333333333	117.41	47.63	0.193	0.839	0.032	1	0.63	0.23
3561.5	120.19	49.04	0.191	0.876	0.064	1	0.58	0.33
3561.66666666667	123.1	50.4	0.196	0.911	0.102	1	0.53	0.44
3561.83333333333	126.15	51.73	0.202	0.941	0.148	1	0.47	0.57
3562	129.34	53	0.215	0.967	0.178	1	0.39	0.72
3562.16666666667	132.68	54.21	0.227	0.989	0.221	1	0.31	0.89
3562.33333333333	136.19	55.36	0.245	1	0.25	1	0.196	1
3562.5	139.87	56.44	0.265	1	0.26	0.97	0.073	1
3562.66666666667	143.72	57.43	0.28	1	0.28	0.94	0	1
3562.83333333333	147.75	58.34	0.29	1	0.29	0.92	0	1
3563	151.96	59.15	0.3	1	0.3	0.9	0	1
3563.16666666667	156.33	59.85	0.31	1	0.31	0.88	0	1
3563.33333333333	160.85	60.44	0.315	1	0.32	0.87	0	1
3563.5	165.5	60.9	0.32	1	0.32	0.86	0	1
3563.66666666667	170.26	61.24	0.325	1	0.33	0.85	0	1
3563.83333333333	175.09	61.45	0.33	1	0.33	0.84	0	1
3564	179.96	61.52	0.33	1	0.33	0.84	0	1
3564.16666666667	184.83	61.45	0.33	1	0.33	0.84	0	0
3564.33333333333	189.66	61.25	0.325	1	0.33	0.85	0	0
