Time [h]	Azimuth [Deg]	Altitude [Deg]	Var7.Sonnenlichtfaktor [---]	Var7.GlobalStrahlungSuedWand [W/m2]
3624	23.12.1900 17:45	-15.71	1	0
3625	13.01.1900 03:00	-14.76	1	0
3626	27.0444	-11.61	1	0
3627	40.1658	-6.54	1	0
3628	52.4254	0.08	1	7
3629	63.993	7.86	1	21.5
3630	75.208	16.43	1	36
3631	86.554	25.46	1	77.75
3632	98.6978	34.59	0.6	163.111
3633	112.599	43.40	0.6	212.811
3634	129.633	51.24	0.6	243.487
3635	151.33	57.09	0.6	303.67
3636	177.572	59.57	0.6	340.257
3637	204.306	57.82	0.6	317.116
3638	226.923	52.48	0.6	325.464
3639	244.692	44.91	0.6	263.719
3640	259.043	36.22	0.6	169.028
3641	271.423	27.12	1	59.25
3642	282.859	18.06	1	43.75
3643	294.06	9.39	1	24.25
3644	305.537	1.46	1	7
3645	317.653	-5.37	1	0
3646	330.611	-10.73	1	0
3647	344.39	-14.23	1	0
3648	358.707	-15.57	1	0
3649	13.0695	-14.62	1	0
3650	26.9688	-11.48	1	0
3651	40.0752	-6.42	1	0
3652	52.3237	0.18	1	5.5
3653	63.882	7.95	1	17.25
3654	75.0882	16.52	1	27
3655	86.4244	25.54	1	34
3656	98.5565	34.68	1	130.84
3657	112.445	43.49	0.6	266.145
3658	129.474	51.34	0.6	365.204
3659	151.189	57.21	0.6	425.289
3660	177.497	59.71	0.6	481.276
3661	204.315	57.96	0.6	433.492
3662	226.982	52.61	0.6	397.677
3663	244.769	45.04	0.6	342.448
3664	259.12	36.35	0.6	193.601
3665	271.495	27.25	1	66
3666	282.923	18.18	1	44.5
3667	294.115	9.52	1	21.5
3668	305.58	1.60	1	6.25
3669	317.682	-5.24	1	0
3670	330.622	-10.59	1	0
3671	344.38	-14.09	1	0
3672	358.673	-15.43	1	0
3673	13.0131	-14.50	1	0
3674	26.894	-11.37	1	0
3675	39.9862	-6.32	1	0
3676	52.2241	0.28	1	5.5
3677	63.7738	8.04	1	17.25
3678	74.9715	16.60	1	27.75
3679	86.2981	25.62	1	35.5
3680	98.4189	34.75	1	129.655
3681	112.296	43.57	0.6	260.279
3682	129.318	51.44	0.6	354.759
3683	151.049	57.32	0.6	368.496
3684	177.419	59.84	0.6	399.497
3685	204.317	58.10	0.6	425.83
3686	227.035	52.74	0.6	317.119
3687	244.839	45.16	0.6	242.014
3688	259.191	36.47	0.6	179.81
3689	271.561	27.37	1	91.7501
3690	282.982	18.31	1	50.75
3691	294.165	9.65	1	24.5
3692	305.619	1.72	1	7.75
3693	317.707	-5.11	1	0
3694	330.629	-10.46	1	0
3695	344.367	-13.96	1	0
3696	358.637	-15.30	1	0
3697	12.9565	-14.37	1	0
3698	26.8198	-11.25	1	0
3699	39.8989	-6.22	1	0
3700	52.1268	0.37	1	9
3701	63.6684	8.12	1	30.5
3702	74.8581	16.67	1	57.5
3703	86.1754	25.69	1	105.5
3704	98.285	34.83	0.6	165.655
3705	112.15	43.65	0.6	239.686
3706	129.164	51.53	0.6	338.205
3707	150.911	57.43	0.6	368.843
3708	177.338	59.96	0.6	399.531
3709	204.314	58.23	0.6	432.785
3710	227.081	52.87	0.6	391.839
3711	244.901	45.29	0.6	316.629
3712	259.256	36.59	0.6	197.109
3713	271.621	27.48	1	75.5
3714	283.035	18.42	1	54.75
3715	294.21	9.77	1	29.25
3716	305.653	1.85	1	7.75
3717	317.728	-4.98	1	0
3718	330.633	-10.33	1	0
3719	344.351	-13.83	1	0
3720	358.6	-15.18	1	0
3721	12.8997	-14.26	1	0
3722	26.7465	-11.15	1	0
3723	39.8132	-6.12	1	0
3724	52.0319	0.45	1	5.5
3725	63.5658	8.19	1	22.25
3726	74.7479	16.74	1	43.25
3727	86.0564	25.75	1	62.5
3728	98.155	34.89	1	147.242
3729	112.007	43.72	0.6	265.807
3730	129.014	51.61	0.6	310.76
3731	150.773	57.53	0.6	378.158
3732	177.254	60.08	0.6	443.961
3733	204.305	58.35	0.6	398.403
3734	227.119	52.99	0.6	349.608
3735	244.958	45.40	0.6	220.006
3736	259.314	36.70	1	132.224
3737	271.675	27.60	1	106.25
3738	283.083	18.54	1	70
3739	294.25	9.88	1	32
3740	305.683	1.97	1	7.75
3741	317.745	-4.86	1	0
3742	330.634	-10.21	1	0
3743	344.333	-13.71	1	0
3744	358.562	-15.07	1	0
3745	12.8427	-14.15	1	0
3746	26.6741	-11.05	1	0
3747	39.7293	-6.04	1	0
3748	51.9395	0.53	1	18.75
3749	63.4663	8.26	1	51.5
3750	74.6412	16.80	1	77.25
3751	85.9411	25.81	1	97.2501
3752	98.0291	34.95	1	121.787
3753	111.869	43.79	0.6	195.558
3754	128.867	51.69	0.6	319.954
3755	150.636	57.62	0.6	337.976
3756	177.168	60.19	0.6	320.212
3757	204.29	58.47	0.6	249.665
3758	227.151	53.11	1	141.727
3759	245.007	45.51	1	96.5001
3760	259.366	36.81	1	47.75
3761	271.724	27.71	1	20
3762	283.126	18.65	1	12.5
3763	294.284	9.99	1	5
3764	305.708	2.08	1	1.5
3765	317.758	-4.74	1	0
3766	330.632	-10.09	1	0
3767	344.312	-13.60	1	0
3768	358.523	-14.96	1	0
3769	12.7856	-14.05	1	0
3770	26.6027	-10.96	1	0
3771	39.6472	-5.96	1	0
3772	51.8495	0.60	1	1.5
3773	63.3698	8.32	1	5
3774	74.5379	16.86	1	7
3775	85.8297	25.87	1	9
3776	97.9073	35.00	1	18.75
3777	111.735	43.84	1	30
3778	128.723	51.75	1	37
3779	150.5	57.71	1	41.75
3780	177.079	60.29	1	48
3781	204.27	58.58	1	58.5
3782	227.176	53.22	1	53.5
3783	245.049	45.62	1	37.5
3784	259.411	36.92	1	25
3785	271.767	27.81	1	15.25
3786	283.163	18.75	1	10.5
3787	294.314	10.10	1	5
3788	305.729	2.19	1	0.75
3789	317.766	-4.63	1	0
3790	330.626	-9.98	1	0
3791	344.29	-13.49	1	0
3792	358.482	-14.86	1	0
3793	12.7285	-13.96	1	0
3794	26.5323	-10.88	1	0
3795	39.567	-5.88	1	0
3796	51.7622	0.66	1	1.5
3797	63.2764	8.38	1	5.75
3798	74.4382	16.91	1	12.5
3799	85.7222	25.91	1	18.75
3800	97.7897	35.05	1	59.75
3801	111.605	43.90	1	113.25
3802	128.583	51.82	1	104.25
3803	150.367	57.79	1	88.7501
3804	176.988	60.39	1	88.0001
3805	204.244	58.69	1	64.5
3806	227.195	53.33	1	63.25
3807	245.085	45.72	1	81.2501
3808	259.451	37.02	1	65.25
3809	271.803	27.91	1	26.5
3810	283.195	18.85	1	7.75
3811	294.339	10.20	1	5.5
3812	305.745	2.29	1	2
3813	317.771	-4.53	1	0
3814	330.617	-9.88	1	0
3815	344.265	-13.39	1	0
3816	358.44	-14.76	1	0
3817	12.6714	-13.87	1	0
3818	26.463	-10.80	1	0
3819	39.4888	-5.82	1	0.75
3820	51.6775	0.72	1	8.5
3821	63.1862	8.43	1	31.25
3822	74.3422	16.95	1	68
3823	85.6188	25.96	1	116.75
3824	97.6765	35.09	0.6	157.561
3825	111.48	43.94	0.6	249.627
3826	128.447	51.87	0.6	381.138
3827	150.235	57.86	0.6	414.506
3828	176.896	60.48	0.6	367.77
3829	204.213	58.79	0.6	260.447
3830	227.206	53.43	0.6	206.64
3831	245.114	45.82	0.6	245.346
3832	259.484	37.12	0.6	170.037
3833	271.834	28.01	1	77
3834	283.221	18.95	1	38.25
3835	294.359	10.30	1	23
3836	305.757	2.39	1	6.25
3837	317.772	-4.43	1	0
3838	330.605	-9.78	1	0
3839	344.238	-13.29	1	0
3840	358.397	-14.67	1	0
3841	12.6145	-13.79	1	0
3842	26.3949	-10.73	1	0
3843	39.4127	-5.75	1	0
3844	51.5955	0.77	1	8.25
3845	63.0993	8.48	1	18
3846	74.2499	16.99	1	23
3847	85.5195	25.99	1	48
3848	97.5679	35.13	1	88.7348
3849	111.36	43.98	0.6	147.943
3850	128.316	51.92	0.6	200.353
3851	150.105	57.93	0.6	186.013
