Zeit [h]	Azimuth [Deg]	Altitude [Deg]	Variante 9.7 Sonnenlichtfaktor [---]	Variante 9.7 GlobalStrahlungSuedWand [W/m2]
3624	-15.57	358.71	0	0
3625	-14.62	13.07	0	0
3626	-11.48	26.97	0	0
3627	-6.42	40.08	0	0
3628	0.18	52.32	1	6.64576
3629	7.95	63.88	1	21.1439
3630	16.52	75.09	1	37.426
3631	25.54	86.43	1	65.9294
3632	34.68	98.56	0.6	153.066
3633	43.49	112.45	0.6	218.237
3634	51.34	129.48	0.6	261.778
3635	57.21	151.19	0.6	330.96
3636	59.71	177.50	0.6	388.084
3637	57.96	204.32	0.6	346.185
3638	52.61	226.98	0.6	358.574
3639	45.04	244.77	0.6	288.44
3640	36.35	259.12	0.6	178.205
3641	27.25	271.50	1	55.6862
3642	18.18	282.93	1	44.4706
3643	9.52	294.12	1	29.2421
3644	1.60	305.58	1	8.62862
3645	-5.24	317.68	0	0
3646	-10.59	330.62	0	0
3647	-14.09	344.38	0	0
3648	-15.43	358.68	0	0
3649	-14.50	13.01	0	0
3650	-11.37	26.89	0	0
3651	-6.32	39.99	0	0
3652	0.28	52.22	1	5.48782
3653	8.04	63.77	1	19.3428
3654	16.60	74.97	1	28.5659
3655	25.62	86.30	1	37.162
3656	34.75	98.42	1	140.322
3657	43.57	112.30	0.6	285.555
3658	51.44	129.32	0.6	399.001
3659	57.32	151.05	0.6	469.445
3660	59.84	177.42	0.6	527.978
3661	58.10	204.32	0.6	478.432
3662	52.74	227.04	0.6	434.45
3663	45.16	244.84	0.6	366.804
3664	36.47	259.19	0.6	202.755
3665	27.37	271.56	1	61.4084
3666	18.31	282.98	1	45.1515
3667	9.65	294.17	1	26.2708
3668	1.72	305.62	1	8.20183
3669	-5.11	317.71	0	0
3670	-10.46	330.63	0	0
3671	-13.96	344.37	0	0
3672	-15.31	358.64	0	0
3673	-14.37	12.96	0	0
3674	-11.25	26.82	0	0
3675	-6.22	39.90	0	0
3676	0.37	52.13	1	6.33101
3677	8.12	63.67	1	19.3469
3678	16.67	74.86	1	29.3108
3679	25.69	86.18	1	38.676
3680	34.83	98.29	1	139.12
3681	43.65	112.15	0.6	280.909
3682	51.53	129.17	0.6	389.924
3683	57.43	150.91	0.6	409.477
3684	59.96	177.34	0.6	446.199
3685	58.23	204.32	0.6	472.014
3686	52.87	227.08	0.6	349.561
3687	45.29	244.90	0.6	259.779
3688	36.59	259.26	0.6	171.33
3689	27.49	271.62	1	73.4226
3690	18.42	283.04	1	46.2069
3691	9.77	294.21	1	24.008
3692	1.85	305.66	1	7.85809
3693	-4.98	317.73	0	0
3694	-10.33	330.64	0	0
3695	-13.83	344.35	0	0
3696	-15.18	358.60	0	0
3697	-14.26	12.90	0	0
3698	-11.15	26.75	0	0
3699	-6.12	39.81	0	0
3700	0.45	52.03	1	7.04379
3701	8.19	63.57	1	24.4665
3702	16.74	74.75	1	47.2277
3703	25.76	86.06	1	79.718
3704	34.89	98.16	1	142.528
3705	43.72	112.01	0.6	242.549
3706	51.61	129.02	0.6	367.547
3707	57.53	150.77	0.6	411.111
3708	60.08	177.26	0.6	446.948
3709	58.35	204.31	0.6	478.08
3710	52.99	227.12	0.6	427.694
3711	45.40	244.96	0.6	338.16
3712	36.70	259.32	0.6	204.036
3713	27.60	271.68	1	64.2073
3714	18.54	283.09	1	49.3478
3715	9.88	294.25	1	31.5156
3716	1.97	305.69	1	9.89532
3717	-4.86	317.75	0	0
3718	-10.21	330.64	0	0
3719	-13.71	344.34	0	0
3720	-15.07	358.57	0	0
3721	-14.15	12.84	0	0
3722	-11.05	26.67	0	0
3723	-6.04	39.73	0	0
3724	0.53	51.94	1	5.18626
3725	8.26	63.47	1	21.8855
3726	16.80	74.64	1	40.216
3727	25.81	85.94	1	54.7937
3728	34.95	98.03	0.6	152.386
3729	43.79	111.87	0.6	280.1
3730	51.69	128.87	0.6	328.341
3731	57.62	150.64	0.6	420.212
3732	60.19	177.17	0.6	490.235
3733	58.47	204.29	0.6	441.875
3734	53.11	227.15	0.6	370.012
3735	45.51	245.01	0.6	225.77
3736	36.81	259.37	1	113.249
3737	27.71	271.73	1	81.1187
3738	18.65	283.13	1	54.1016
3739	9.99	294.29	1	25.5836
3740	2.08	305.71	1	6.35642
3741	-4.74	317.76	0	0
3742	-10.09	330.63	0	0
3743	-13.60	344.32	0	0
3744	-14.96	358.53	0	0
3745	-14.05	12.79	0	0
3746	-10.96	26.60	0	0
3747	-5.96	39.65	0	0
3748	0.60	51.85	1	9.97295
3749	8.32	63.37	1	37.0583
3750	16.86	74.54	1	58.992
3751	25.87	85.83	1	74.0554
3752	35.00	97.91	1	102.516
3753	43.84	111.74	0.6	190.138
3754	51.76	128.72	0.6	348.592
3755	57.71	150.50	0.6	365.214
3756	60.29	177.08	0.6	339.813
3757	58.58	204.27	0.6	265.46
3758	53.22	227.18	1	136.494
3759	45.62	245.05	1	83.4567
3760	36.92	259.41	1	40.866
3761	27.81	271.77	1	16.8366
3762	18.75	283.17	1	10.4253
3763	10.10	294.32	1	4.12569
3764	2.19	305.73	1	1.22877
3765	-4.63	317.77	0	0
3766	-9.98	330.63	0	0
3767	-13.49	344.29	0	0
3768	-14.86	358.49	0	0
3769	-13.96	12.73	0	0
3770	-10.88	26.53	0	0
3771	-5.88	39.57	0	0
3772	0.66	51.76	1	1.23225
3773	8.38	63.28	1	4.12449
3774	16.91	74.44	1	5.80691
3775	25.91	85.72	1	7.52207
3776	35.05	97.79	1	15.8493
3777	43.90	111.61	1	25.6283
3778	51.82	128.58	1	31.8622
3779	57.79	150.37	1	36.1633
3780	60.39	176.99	1	41.7705
3781	58.69	204.25	1	51.0445
3782	53.33	227.20	1	46.356
3783	45.73	245.09	1	32.1579
3784	37.02	259.45	1	21.2154
3785	27.91	271.81	1	12.8065
3786	18.85	283.20	1	8.74418
3787	10.20	294.34	1	4.1258
3788	2.29	305.75	1	0.612172
3789	-4.53	317.77	0	0
3790	-9.88	330.62	0	0
3791	-13.39	344.27	0	0
