Zeit [h]	Azimuth [Deg]	Altitude [Deg]	Variante 9.7 Sonnenlichtfaktor [---]	Variante 9.7 GlobalStrahlungSuedWand [W/m2]
3623.5	0	0	0	0
3624.5	0	0	0	0
3625.5	0	0	0	0
3626.5	0	0	0	0
3627.5	0	0	0	0
3628.5	58.16	3.92	1	14
3629.5	69.49	12.13	1	29
3630.5	80.69	20.97	1	43
3631.5	92.33	30.1	1	127.978
3632.5	105.19	39.13	0.608	186.15
3633.5	120.45	47.57	0.608	230.468
3634.5	139.65	54.59	0.608	249.282
3635.5	163.89	58.95	0.605	358.317
3636.5	191.16	59.35	0.607	315.327
3637.5	216.26	55.65	0.606	312.292
3638.5	236.37	49.02	0.604	318.452
3639.5	252.24	40.79	0.606	209.78
3640.5	265.45	31.82	1	110.078
3641.5	277.25	22.69	1	53
3642.5	288.49	13.79	1	34.5
3643.5	299.76	5.45	1	14
3644.5	0	0	0	0
3645.5	0	0	0	0
3646.5	0	0	0	0
3647.5	0	0	0	0
3648.5	0	0	0	0
3649.5	0	0	0	0
3650.5	0	0	0	0
3651.5	0	0	0	0
3652.5	58.06	4.01	1	11
3653.5	69.38	12.22	1	23.5
3654.5	80.57	21.05	1	30.5
3655.5	92.2	30.17	1	60.967
3656.5	105.05	39.21	0.603	199.042
3657.5	120.29	47.65	0.602	321.878
3658.5	139.5	54.69	0.604	391.062
3659.5	163.78	59.07	0.603	449.922
3660.5	191.12	59.49	0.603	499.547
3661.5	216.29	55.79	0.604	360.958
3662.5	236.43	49.15	0.603	409.067
3663.5	252.31	40.91	0.604	269.468
3664.5	265.52	31.95	1	120.337
3665.5	277.31	22.81	1	58.5
3666.5	288.54	13.91	1	30.5
3667.5	299.81	5.57	1	12.5
3668.5	0	0	0	0
3669.5	0	0	0	0
3670.5	0	0	0	0
3671.5	0	0	0	0
3672.5	0	0	0	0
3673.5	0	0	0	0
3674.5	0	0	0	0
3675.5	0	0	0	0
3676.5	57.95	4.1	1	11
3677.5	69.27	12.29	1	23.5
3678.5	80.45	21.12	1	32
