Zeit [h]	Azimuth [Deg]	Altitude [Deg]	Variante 9.7 Sonnenlichtfaktor [---]	Variante 9.7 GlobalStrahlungSuedWand [W/m2]
3624	90.00	0.00	0.00	0.00
3625	90.00	0.00	0.00	0.00
3626	90.00	0.00	0.00	0.00
3627	90.00	0.00	0.00	0.00
3628	52.34	0.50	1.00	0.00
3629	63.91	7.82	1.00	26.23
3630	75.13	16.39	1.00	37.20
3631	86.47	25.41	1.00	65.04
3632	98.61	34.54	0.60	152.36
3633	112.51	43.35	0.60	217.47
3634	129.52	51.19	0.60	261.30
3635	151.19	57.05	0.60	329.41
3636	177.41	59.55	0.60	388.09
3637	204.15	57.82	0.60	345.84
3638	226.78	52.49	0.60	357.85
3639	244.57	44.92	0.60	289.07
3640	258.94	36.24	0.60	178.67
3641	271.32	27.13	1.00	55.59
3642	282.76	18.06	1.00	44.53
3643	293.96	9.39	1.00	29.30
3644	305.44	1.44	1.00	0.47
3645	90.00	0.00	0.00	0.00
3646	90.00	0.00	0.00	0.00
3647	90.00	0.00	0.00	0.00
3648	90.00	0.00	0.00	0.00
3649	90.00	0.00	0.00	0.00
3650	90.00	0.00	0.00	0.00
3651	90.00	0.00	0.00	0.00
3652	52.23	0.50	1.00	0.00
3653	63.79	7.91	1.00	24.00
3654	75.01	16.47	1.00	28.46
3655	86.34	25.49	1.00	37.00
3656	98.47	34.62	1.00	139.14
3657	112.35	43.43	0.60	284.36
3658	129.36	51.29	0.60	397.96
3659	151.05	57.17	0.60	468.08
3660	177.33	59.68	0.60	526.81
3661	204.15	57.96	0.60	479.55
3662	226.84	52.62	0.60	432.56
3663	244.65	45.05	0.60	368.02
3664	259.01	36.37	0.60	203.77
3665	271.40	27.26	1.00	61.36
3666	282.83	18.19	1.00	45.30
3667	294.02	9.52	1.00	26.28
3668	305.49	1.58	1.00	0.42
3669	90.00	0.00	0.00	0.00
3670	90.00	0.00	0.00	0.00
3671	90.00	0.00	0.00	0.00
3672	90.00	0.00	0.00	0.00
3673	90.00	0.00	0.00	0.00
3674	90.00	0.00	0.00	0.00
3675	90.00	0.00	0.00	0.00
3676	52.13	0.50	1.00	0.00
3677	63.69	8.00	1.00	24.00
3678	74.89	16.55	1.00	29.17
3679	86.22	25.56	1.00	38.50
3680	98.33	34.70	1.00	137.91
3681	112.20	43.52	0.60	279.54
3682	129.21	51.39	0.60	388.18
3683	150.91	57.28	0.60	409.41
3684	177.25	59.81	0.60	443.15
3685	204.15	58.10	0.60	471.24
3686	226.89	52.76	0.60	350.17
3687	244.72	45.18	0.60	258.76
3688	259.08	36.49	0.60	171.79
3689	271.46	27.38	1.00	73.22
3690	282.89	18.32	1.00	46.12
3691	294.07	9.65	1.00	23.96
3692	305.53	1.71	1.00	0.35
3693	90.00	0.00	0.00	0.00
3694	90.00	0.00	0.00	0.00
3695	90.00	0.00	0.00	0.00
3696	90.00	0.00	0.00	0.00
3697	90.00	0.00	0.00	0.00
3698	90.00	0.00	0.00	0.00
3699	90.00	0.00	0.00	0.00
3700	52.03	0.50	1.00	0.00
3701	63.58	8.08	1.00	27.29
3702	74.77	16.62	1.00	46.56
3703	86.09	25.63	1.00	78.30
3704	98.20	34.77	1.00	141.25
3705	112.05	43.59	0.60	240.43
3706	129.05	51.47	0.60	365.91
3707	150.77	57.39	0.60	408.87
3708	177.17	59.94	0.60	444.76
3709	204.15	58.23	0.60	474.51
3710	226.94	52.89	0.60	426.67
3711	244.78	45.31	0.60	333.90
3712	259.15	36.61	0.60	204.56
3713	271.52	27.50	1.00	63.87
3714	282.94	18.44	1.00	49.17
3715	294.12	9.77	1.00	31.62
3716	305.56	1.84	1.00	0.48
3717	90.00	0.00	0.00	0.00
3718	90.00	0.00	0.00	0.00
3719	90.00	0.00	0.00	0.00
3720	90.00	0.00	0.00	0.00
3721	90.00	0.00	0.00	0.00
3722	90.00	0.00	0.00	0.00
3723	90.00	0.00	0.00	0.00
3724	51.94	0.50	1.00	0.00
3725	63.48	8.15	1.00	20.12
3726	74.66	16.69	1.00	39.86
3727	85.97	25.70	1.00	54.35
3728	98.07	34.83	0.60	150.79
3729	111.91	43.66	0.60	278.18
3730	128.90	51.56	0.60	327.93
3731	150.63	57.49	0.60	415.74
3732	177.08	60.06	0.60	490.39
3733	204.14	58.35	0.60	439.66
3734	226.98	53.01	0.60	369.92
3735	244.84	45.42	0.60	227.04
3736	259.21	36.73	1.00	114.49
3737	271.58	27.62	1.00	80.51
3738	282.99	18.55	1.00	53.85
3739	294.16	9.89	1.00	25.55
3740	305.59	1.96	1.00	0.20
3741	90.00	0.00	0.00	0.00
3742	90.00	0.00	0.00	0.00
3743	90.00	0.00	0.00	0.00
3744	90.00	0.00	0.00	0.00
3745	90.00	0.00	0.00	0.00
3746	90.00	0.00	0.00	0.00
3747	90.00	0.00	0.00	0.00
3748	51.84	0.50	1.00	0.00
3749	63.38	8.22	1.00	41.69
3750	74.56	16.75	1.00	57.83
3751	85.86	25.76	1.00	73.06
3752	97.94	34.89	1.00	101.77
3753	111.77	43.73	0.60	159.55
3754	128.75	51.63	0.60	346.24
3755	150.49	57.58	0.60	365.67
3756	176.99	60.17	0.60	338.93
3757	204.12	58.47	0.60	267.71
3758	227.01	53.13	1.00	116.37
3759	244.89	45.54	1.00	83.94
3760	259.26	36.84	1.00	41.20
3761	271.63	27.73	1.00	16.70
3762	283.03	18.66	1.00	10.53
3763	294.19	10.00	1.00	4.13
3764	305.62	2.07	1.00	0.05
3765	90.00	0.00	0.00	0.00
3766	90.00	0.00	0.00	0.00
3767	90.00	0.00	0.00	0.00
3768	90.00	0.00	0.00	0.00
3769	90.00	0.00	0.00	0.00
3770	90.00	0.00	0.00	0.00
3771	90.00	0.00	0.00	0.00
3772	51.75	0.56	1.00	0.00
3773	63.28	8.28	1.00	4.92
3774	74.45	16.80	1.00	5.82
3775	85.75	25.81	1.00	7.48
3776	97.82	34.94	1.00	15.70
3777	111.64	43.78	1.00	25.62
3778	128.60	51.70	1.00	31.83
3779	150.35	57.67	1.00	36.18
3780	176.90	60.27	1.00	41.71
3781	204.10	58.59	1.00	51.02
3782	227.03	53.24	1.00	46.67
3783	244.93	45.65	1.00	32.22
3784	259.31	36.95	1.00	21.34
3785	271.67	27.84	1.00	12.82
3786	283.07	18.77	1.00	8.77
3787	294.22	10.11	1.00	4.19
3788	305.64	2.19	1.00	0.01
3789	90.00	0.00	0.00	0.00
3790	90.00	0.00	0.00	0.00
3791	90.00	0.00	0.00	0.00
3792	90.00	0.00	0.00	0.00
3793	90.00	0.00	0.00	0.00
3794	90.00	0.00	0.00	0.00
3795	90.00	0.00	0.00	0.00
3796	51.67	0.62	1.00	0.00
3797	63.19	8.33	1.00	4.92
3798	74.35	16.85	1.00	10.36
3799	85.64	25.85	1.00	15.75
3800	97.70	34.99	1.00	49.78
3801	111.50	43.84	1.00	97.40
3802	128.46	51.76	1.00	92.28
3803	150.21	57.75	1.00	78.05
3804	176.81	60.37	1.00	78.31
3805	204.07	58.69	1.00	56.75
3806	227.05	53.35	1.00	54.63
3807	244.97	45.75	1.00	70.17
3808	259.35	37.05	1.00	55.80
3809	271.71	27.94	1.00	22.64
3810	283.11	18.88	1.00	6.70
3811	294.25	10.22	1.00	4.57
3812	305.66	2.29	1.00	0.07
3813	90.00	0.00	0.00	0.00
3814	90.00	0.00	0.00	0.00
3815	90.00	0.00	0.00	0.00
3816	90.00	0.00	0.00	0.00
3817	90.00	0.00	0.00	0.00
3818	90.00	0.00	0.00	0.00
3819	90.00	0.00	0.00	0.00
3820	51.58	0.68	1.00	5.95
3821	63.10	8.38	1.00	23.98
3822	74.26	16.90	1.00	51.39
3823	85.53	25.89	1.00	83.28
3824	97.59	35.03	1.00	126.33
3825	111.38	43.88	0.60	267.76
3826	128.32	51.82	0.60	398.86
3827	150.08	57.82	0.60	454.34
3828	176.71	60.46	0.60	410.67
3829	204.04	58.79	0.60	287.21
3830	227.06	53.45	0.60	198.03
3831	245.00	45.85	0.60	249.78
3832	259.38	37.15	0.60	159.68
3833	271.74	28.04	1.00	61.87
3834	283.13	18.97	1.00	33.62
3835	294.27	10.32	1.00	22.83
3836	305.67	2.39	1.00	0.25
3837	90.00	0.00	0.00	0.00
3838	90.00	0.00	0.00	0.00
3839	90.00	0.00	0.00	0.00
3840	90.00	0.00	0.00	0.00
3841	90.00	0.00	0.00	0.00
3842	90.00	0.00	0.00	0.00
3843	90.00	0.00	0.00	0.00
3844	51.50	0.73	1.00	0.00
3845	63.01	8.42	1.00	25.24
3846	74.16	16.93	1.00	19.19
3847	85.43	25.93	1.00	39.74
3848	97.48	35.07	1.00	73.41
3849	111.26	43.92	1.00	125.49
3850	128.19	51.87	0.60	193.51
3851	149.94	57.89	0.60	185.33
3852	176.62	60.54	1.00	134.45
3853	204.00	58.89	1.00	137.18
3854	227.07	53.55	0.60	192.01
3855	245.02	45.95	1.00	146.11
3856	259.41	37.24	1.00	36.88
3857	271.77	28.13	1.00	40.17
3858	283.15	19.07	1.00	32.21
3859	294.29	10.41	1.00	14.82
3860	305.68	2.49	1.00	0.11
3861	90.00	0.00	0.00	0.00
3862	90.00	0.00	0.00	0.00
3863	90.00	0.00	0.00	0.00
3864	90.00	0.00	0.00	0.00
3865	90.00	0.00	0.00	0.00
3866	90.00	0.00	0.00	0.00
3867	90.00	0.00	0.00	0.00
3868	51.42	0.77	1.00	6.63
3869	62.92	8.46	1.00	26.73
3870	74.07	16.97	1.00	51.91
3871	85.34	25.96	1.00	74.23
3872	97.37	35.09	1.00	98.65
3873	111.14	43.95	1.00	127.86
3874	128.06	51.91	0.60	169.38
3875	149.81	57.95	0.60	256.00
3876	176.52	60.62	0.60	314.64
3877	203.96	58.98	0.60	254.44
3878	227.06	53.64	0.60	261.72
3879	245.03	46.04	1.00	147.13
3880	259.43	37.33	1.00	61.88
3881	271.79	28.22	1.00	49.29
3882	283.17	19.16	1.00	35.98
3883	294.30	10.50	1.00	23.86
3884	305.68	2.58	1.00	0.29
3885	90.00	0.00	0.00	0.00
3886	90.00	0.00	0.00	0.00
3887	90.00	0.00	0.00	0.00
3888	90.00	0.00	0.00	0.00
3889	90.00	0.00	0.00	0.00
3890	90.00	0.00	0.00	0.00
3891	90.00	0.00	0.00	0.00
3892	51.34	0.81	1.00	0.00
3893	62.84	8.49	1.00	34.65
3894	73.99	16.99	1.00	44.00
3895	85.24	25.98	1.00	82.06
3896	97.27	35.12	1.00	142.96
3897	111.02	43.98	1.00	146.08
3898	127.93	51.95	1.00	88.48
3899	149.69	58.00	1.00	94.71
3900	176.42	60.69	1.00	88.04
3901	203.91	59.06	1.00	103.39
3902	227.05	53.72	1.00	108.40
3903	245.04	46.13	1.00	96.20
3904	259.44	37.42	1.00	140.52
3905	271.80	28.31	1.00	63.51
3906	283.18	19.24	1.00	36.18
3907	294.31	10.59	1.00	25.29
3908	305.68	2.67	1.00	0.37
3909	90.00	0.00	0.00	0.00
3910	90.00	0.00	0.00	0.00
3911	90.00	0.00	0.00	0.00
3912	90.00	0.00	0.00	0.00
3913	90.00	0.00	0.00	0.00
3914	90.00	0.00	0.00	0.00
3915	90.00	0.00	0.00	0.00
3916	51.27	0.84	1.00	0.00
3917	62.76	8.51	1.00	28.79
3918	73.91	17.01	1.00	37.82
3919	85.16	26.00	1.00	45.77
3920	97.17	35.14	1.00	134.04
3921	110.92	44.00	0.60	280.94
3922	127.81	51.98	0.60	355.12
3923	149.56	58.04	0.60	256.92
3924	176.31	60.75	0.60	208.81
3925	203.85	59.14	0.60	213.64
3926	227.04	53.80	0.60	218.82
3927	245.04	46.21	0.60	288.93
3928	259.45	37.50	0.60	164.08
3929	271.81	28.39	1.00	48.87
3930	283.19	19.32	1.00	39.71
3931	294.31	10.67	1.00	28.82
3932	305.68	2.75	1.00	6.81
3933	90.00	0.00	0.00	0.00
3934	90.00	0.00	0.00	0.00
3935	90.00	0.00	0.00	0.00
3936	90.00	0.00	0.00	0.00
3937	90.00	0.00	0.00	0.00
3938	90.00	0.00	0.00	0.00
3939	90.00	0.00	0.00	0.00
3940	51.19	0.87	1.00	6.57
3941	62.69	8.53	1.00	26.67
3942	73.83	17.03	1.00	48.38
3943	85.07	26.01	1.00	58.18
3944	97.08	35.15	1.00	136.48
3945	110.81	44.02	0.60	272.74
3946	127.70	52.01	0.60	392.54
3947	149.44	58.08	0.60	470.63
3948	176.21	60.81	0.60	442.25
3949	203.79	59.21	0.60	403.07
3950	227.01	53.88	0.60	346.77
3951	245.04	46.28	0.60	206.54
3952	259.46	37.57	1.00	88.55
3953	271.82	28.46	1.00	29.21
3954	283.19	19.40	1.00	19.66
3955	294.31	10.74	1.00	18.11
3956	305.67	2.82	1.00	8.06
3957	90.00	0.00	0.00	0.00
3958	90.00	0.00	0.00	0.00
3959	90.00	0.00	0.00	0.00
3960	90.00	0.00	0.00	0.00
3961	90.00	0.00	0.00	0.00
3962	90.00	0.00	0.00	0.00
3963	90.00	0.00	0.00	0.00
3964	51.13	0.89	1.00	0.00
3965	62.62	8.55	1.00	15.70
3966	73.75	17.03	1.00	25.02
3967	84.99	26.02	1.00	52.56
3968	97.00	35.16	1.00	93.70
3969	110.72	44.03	0.60	167.10
3970	127.58	52.02	0.60	358.99
3971	149.32	58.12	0.60	394.20
3972	176.11	60.86	0.60	427.16
3973	203.73	59.27	0.60	487.08
3974	226.98	53.95	0.60	430.15
3975	245.03	46.35	0.60	314.13
3976	259.45	37.65	0.60	182.65
3977	271.81	28.53	1.00	46.45
3978	283.19	19.47	1.00	37.57
3979	294.30	10.81	1.00	27.14
3980	305.66	2.89	1.00	6.84
3981	90.00	0.00	0.00	0.00
3982	90.00	0.00	0.00	0.00
3983	90.00	0.00	0.00	0.00
3984	90.00	0.00	0.00	0.00
3985	90.00	0.00	0.00	0.00
3986	90.00	0.00	0.00	0.00
3987	90.00	0.00	0.00	0.00
3988	51.06	0.90	1.00	7.14
3989	62.55	8.55	1.00	26.79
3990	73.68	17.04	1.00	42.47
3991	84.92	26.02	1.00	53.79
3992	96.91	35.16	1.00	131.92
3993	110.62	44.04	0.60	266.83
3994	127.48	52.04	0.60	381.02
3995	149.20	58.14	0.60	461.90
3996	176.00	60.90	0.60	497.87
3997	203.66	59.32	0.60	449.95
3998	226.95	54.01	0.60	281.28
3999	245.01	46.42	0.60	153.92
4000	259.44	37.71	1.00	146.43
4001	271.81	28.60	1.00	69.19
4002	283.18	19.54	1.00	44.58
4003	294.29	10.88	1.00	23.54
4004	305.64	2.96	1.00	0.27
4005	90.00	0.00	0.00	0.00
4006	90.00	0.00	0.00	0.00
4007	90.00	0.00	0.00	0.00
4008	90.00	0.00	0.00	0.00
4009	90.00	0.00	0.00	0.00
4010	90.00	0.00	0.00	0.00
4011	90.00	0.00	0.00	0.00
4012	51.00	0.91	1.00	7.56
4013	62.49	8.56	1.00	19.76
4014	73.62	17.04	1.00	38.23
4015	84.85	26.01	1.00	73.58
4016	96.84	35.15	1.00	86.98
4017	110.54	44.03	1.00	72.19
4018	127.38	52.04	1.00	102.48
4019	149.09	58.16	1.00	116.91
4020	175.90	60.94	1.00	82.88
4021	203.59	59.37	1.00	71.33
4022	226.91	54.07	1.00	107.41
4023	244.99	46.48	0.60	153.68
4024	259.43	37.77	1.00	98.97
4025	271.79	28.66	1.00	37.92
4026	283.17	19.60	1.00	19.32
4027	294.27	10.94	1.00	6.82
4028	305.62	3.02	1.00	0.20
4029	90.00	0.00	0.00	0.00
4030	90.00	0.00	0.00	0.00
4031	90.00	0.00	0.00	0.00
4032	90.00	0.00	0.00	0.00
4033	90.00	0.00	0.00	0.00
4034	90.00	0.00	0.00	0.00
4035	90.00	0.00	0.00	0.00
4036	50.94	0.91	1.00	7.57
4037	62.43	8.55	1.00	21.49
4038	73.56	17.03	1.00	47.06
4039	84.79	26.01	1.00	71.02
4040	96.77	35.14	1.00	141.88
4041	110.46	44.03	0.60	267.32
4042	127.28	52.04	0.60	391.65
4043	148.98	58.17	0.60	470.62
4044	175.79	60.97	0.60	508.28
4045	203.51	59.42	0.60	502.05
4046	226.86	54.12	0.60	434.81
