Zeit [h]	Azimut [Deg]	Höhe [Deg]	Variante 7 Sonnenlichtfaktor [-]
3624	0.00	0.00	0.000
3625	0.00	0.00	0.000
3626	0.00	0.00	0.000
3627	0.00	0.00	0.000
3628	0.00	0.00	0.000
3629	58.16	3.92	1.000
3630	69.49	12.13	1.000
3631	80.69	20.97	1.000
3632	92.33	30.10	1.000
3633	105.19	39.13	0.424
3634	120.45	47.57	0.476
3635	139.65	54.59	0.501
3636	163.89	58.95	0.507
3637	191.16	59.35	0.511
3638	216.26	55.65	0.497
3639	236.37	49.02	0.450
3640	252.24	40.79	0.396
3641	265.45	31.82	1.000
3642	277.25	22.69	1.000
3643	288.49	13.79	1.000
3644	299.76	5.45	1.000
3645	0.00	0.00	0.000
3646	0.00	0.00	0.000
3647	0.00	0.00	0.000
3648	0.00	0.00	0.000
3649	0.00	0.00	0.000
3650	0.00	0.00	0.000
3651	0.00	0.00	0.000
3652	0.00	0.00	0.000
3653	58.06	4.01	1.000
3654	69.38	12.22	1.000
3655	80.57	21.05	1.000
3656	92.20	30.17	1.000
3657	105.05	39.21	0.317
3658	120.29	47.65	0.430
3659	139.50	54.69	0.481
3660	163.78	59.07	0.501
3661	191.12	59.49	0.503
3662	216.29	55.79	0.486
3663	236.43	49.15	0.443
3664	252.31	40.91	0.362
3665	265.52	31.95	1.000
3666	277.31	22.81	1.000
3667	288.54	13.91	1.000
3668	299.81	5.57	1.000
3669	0.00	0.00	0.000
3670	0.00	0.00	0.000
3671	0.00	0.00	0.000
3672	0.00	0.00	0.000
3673	0.00	0.00	0.000
3674	0.00	0.00	0.000
3675	0.00	0.00	0.000
3676	0.00	0.00	0.000
3677	57.95	4.10	1.000
3678	69.27	12.29	1.000
3679	80.45	21.12	1.000
3680	92.07	30.24	1.000
3681	104.91	39.28	0.318
3682	120.14	47.73	0.437
3683	139.35	54.79	0.482
3684	163.66	59.18	0.506
3685	191.08	59.61	0.505
3686	216.31	55.91	0.487
3687	236.49	49.28	0.469
