Time [h]	Azimuth [Deg]	Altitude [Deg]	Variante 9.1 Sonnenlichtfaktor [---]	Variante 9.2 Sonnenlichtfaktor [---]	Variante 9.3 Sonnenlichtfaktor [---]	Variante 9.4 Sonnenlichtfaktor [---]	Variante 9.5 Sonnenlichtfaktor [---]	Variante 9.6 Sonnenlichtfaktor [---]
3552	359.957	-18.729	0	0	0	0	0	0
3552.16666666667	2.416	-18.695	0	0	0	0	0	0
3552.33333333333	4.872	-18.592	0	0	0	0	0	0
3552.5	7.322	-18.42	0	0	0	0	0	0
3552.66666666667	9.762	-18.18	0	0	0	0	0	0
3552.83333333333	12.19	-17.873	0	0	0	0	0	0
3553	14.604	-17.499	0	0	0	0	0	0
3553.16666666667	17	-17.06	0	0	0	0	0	0
3553.33333333333	19.375	-16.558	0	0	0	0	0.078	0
3553.5	21.73	-15.992	0	0	0	0	0.245	0
3553.66666666667	24.06	-15.366	0	0	0	0	0.38	0
3553.83333333333	26.365	-14.681	0	0	0	0	0.491	0
3554	28.643	-13.937	0	0	0	0	0.585	0
3554.16666666667	30.893	-13.138	0	0	0	0	0.664	0
3554.33333333333	33.115	-12.286	0	0	0	0	0.733	0
3554.5	35.308	-11.381	0	0	0	0	0.794	0
3554.66666666667	37.472	-10.427	0	0	0	0	0.848	0
3554.83333333333	39.607	-9.425	0	0	0	0	0.896	0
3555	41.712	-8.377	0	0	0	0	0.939	0
3555.16666666667	43.789	-7.285	0	0	0	0	0.978	0
3555.33333333333	45.837	-6.151	0	0	0	0	1	0
3555.5	47.859	-4.978	0	0	0	0	1	0
3555.66666666667	49.854	-3.767	0	0	0	0	1	0
3555.83333333333	51.824	-2.52	0	0	0	0	1	0
3556	53.771	-1.239	0	0	0	0	1	0
3556.16666666667	55.695	0.074	0	0	0	0	1	0
3556.33333333333	57.597	1.417	0	0	0	0	1	0
3556.5	59.481	2.788	0	0	0	0	1	0
3556.66666666667	61.347	4.186	0	0	0	0	1	0
3556.83333333333	63.197	5.61	0	0	0	0	1	0
3557	65.034	7.056	0	0	0	0	1	0
3557.16666666667	66.858	8.524	0	0	0	0	1	0
3557.33333333333	68.674	10.013	0	0	0	0	1	0
3557.5	70.481	11.519	0	0	0	0	1	0
3557.66666666667	72.284	13.043	0	0	0	0	1	0
3557.83333333333	74.084	14.582	0	0	0	0	1	0
3558	75.884	16.135	0	0	0	0	1	0
3558.16666666667	77.686	17.7	0	0	0	0	1	0
3558.33333333333	79.494	19.275	0	0	0	0	1	0
3558.5	81.31	20.861	0	0	0	0	1	0
