Time [h]	Azimuth [Deg]	Altitude [Deg]	Variante 9.1 Sonnenlichtfaktor [---]	Variante 9.2 Sonnenlichtfaktor [---]	Variante 9.3 Sonnenlichtfaktor [---]	Variante 9.4 Sonnenlichtfaktor [---]	Variante 9.5 Sonnenlichtfaktor [---]	Variante 9.6 Sonnenlichtfaktor [---]
3552	0	0	0	0	0	1	0	1
3552.166667	0	0	0	0	0	1	0	1
3552.333333	0	0	0	0	0	1	0	1
3552.5	0	0	0	0	0	1	0	1
3552.666667	0	0	0	0	0	1	0	1
3552.833333	0	0	0	0	0	1	0	1
3553	0	0	0	0	0	1	0	1
3553.166667	0	0	0	0	0	1	0	1
3553.333333	0	0	0	0	0	1	0	1
3553.5	0	0	0	0	0	1	0	1
3553.666667	0	0	0	0	0	1	0	1
3553.833333	0	0	0	0	0	1	0	1
3554	0	0	0	0	0	1	0	1
3554.166667	0	0	0	0	0	1	0	1
3554.333333	0	0	0	0	0	1	0	1
3554.5	0	0	0	0	0	1	0	1
3554.666667	0	0	0	0	0	1	0	1
3554.833333	0	0	0	0	0	1	0	1
3555	0	0	0	0	0	1	0	1
3555.166667	0	0	0	0	0	1	0	1
3555.333333	0	0	0	0	0	1	0	1
3555.5	0	0	0	0	0	1	0	1
3555.666667	0	0	0	0	0	1	0.166666667	0.833357474
3555.833333	0	0	0	0	0	1	0.333333333	0.666714948
3556	0	0	0	0	0	1	0.5	0.500072422
3556.166667	0	0	0	0	0	1	0.666666667	0.333429896
3556.333333	0	0	0	0	0	1	0.833333333	0.16678737
3556.5	0	0	0	0	0	1	1	0.000144844
3556.666667	0	0	0	0	0	1	1	0.000131646
3556.833333	0	0	0	0	0	1	1	0.000118449
3557	0	0	0	0	0	1	1	0.000105252
3557.166667	0	0	0	0	0	1	1	9.21E-05
3557.333333	0	0	0	0	0	1	1	7.89E-05
3557.5	0	0	0	0	0	1	1	6.57E-05
3557.666667	0	0	0	0	0	1	1	6.33E-05
3557.833333	0	0	0	0	0	1	1	6.10E-05
3558	0	0	0	0	0	1	1	5.86E-05
3558.166667	0	0	0	0	0	1	1	5.63E-05
