Time [h]	Azimuth [Deg]	Altitude [Deg]	Variante 9.1 Sonnenlichtfaktor [---]	Variante 9.2 Sonnenlichtfaktor [---]	Variante 9.3 Sonnenlichtfaktor [---]	Variante 9.4 Sonnenlichtfaktor [---]	Variante 9.5 Sonnenlichtfaktor [---]	Variante 9.6 Sonnenlichtfaktor [---]
3552	116.887	-18.483	0	0	0	0	0	0
3552.16666666667	2.41	-18.448	0	0	0	0	0	0
3552.33333333333	4.86000000000001	-18.345	0	0	0	0	0	0
3552.5	7.30000000000001	-18.174	0	0	0	0	0	0
3552.66666666667	9.72999999999999	-17.935	0	0	0	0	0	0
3552.83333333333	12.15	-17.629	0	0	0	0	0	0
3553	14.56	-17.256	0	0	0	0	0	0
3553.16666666667	16.95	-16.819	0	0	0	0	0	0
3553.33333333333	19.32	-16.318	0	0	0	0	0	0
3553.5	21.67	-15.754	0	0	0	0	0	0
3553.66666666667	23.99	-15.13	0	0	0	0	0	0
3553.83333333333	26.29	-14.446	0	0	0	0	0	0
3554	28.56	-13.705	0	0	0	0	0	0
3554.16666666667	30.81	-12.908	0	0	0	0	0	0
3554.33333333333	33.02	-12.057	0	0	0	0	0	0
3554.5	35.21	-11.155	0	0	0	0	0	0
3554.66666666667	37.37	-10.203	0	0	0	0	0	0
3554.83333333333	39.5	-9.2028	0	0	0	0	0	0
3555	41.6	-8.1571	0	0	0	0	0	0
3555.16666666667	43.67	-7.0676	0	0	0	0	0	0
3555.33333333333	45.72	-5.9364	0	0	0	0	0	0
3555.5	47.74	-4.7654	0	0	0	0	0	0
3555.66666666667	49.73	-3.5566	0	0	0	0	0	0
3555.83333333333	51.7	-2.3119	0	0	0	0	0	0
3556	53.64	-1.0333	0	0	0	0	0.0758	0
3556.16666666667	55.56	0.27748	0	0	0	0	0.22277	0
3556.33333333333	57.46	1.6185	0	0	0	0	0.36974	0
3556.5	59.34	2.9881	0	0	0	0	0.51675	0
3556.66666666667	61.2	4.3844	0	0	0	0	0.66379	0
3556.83333333333	63.05	5.8058	0	0	0	0	0.81087	0
3557	64.88	7.2505	0	0	0	0	0.8612	0
3557.16666666667	66.71	8.717	0	0	0	0	0.88968	0
3557.33333333333	68.52	10.204	0	0.000205	0	0	0.91813	0
3557.5	70.32	11.709	0	0.00197	0	0	0.94655	0
3557.66666666667	72.12	13.231	0	0.00374	0	0	0.97493	0
3557.83333333333	73.92	14.769	0.00308	0.0055	0	0.00328	1	0
3558	75.72	16.32	0.0296	0.00727	0	0.0316	1	0
3558.16666666667	77.52	17.885	0.0561	0.00903	0	0.0599	1	0
3558.33333333333	79.33	19.46	0.0826	0.0385	0	0.0881	1	0
3558.5	81.139	21.044	0.10908	0.10691	0	0.11635	1	0
3558.66666666667	82.964	22.636	0.13551	0.17534	0	0.14454	1	0
3558.83333333333	84.805	24.235	0.18364	0.24378	0	0.22215	0.99446	0
3559	86.663	25.838	0.26235	0.31223	0	0.36928	0.98113	0
3559.16666666667	88.544	27.444	0.34108	0.38068	0	0.51644	0.9678	0
3559.33333333333	90.451	29.052	0.41983	0.43663	0	0.66364	0.95447	0
3559.5	92.388	30.659	0.49861	0.48759	0	0.81086	0.94113	0
3559.66666666667	94.36	32.264	0.57741	0.53854	0	0.95812	0.92779	0
3559.83333333333	96.372	33.865	0.56739	0.5895	0.00401	1	0.90592	0
3560	98.43	35.459	0.52203	0.64044	0.00962	1	0.88065	0
3560.16666666667	100.538	37.045	0.47667	0.69121	0.0152	1	0.85539	0
3560.33333333333	102.704	38.62	0.43131	0.73048	0.0208	1	0.83012	0
3560.5	104.933	40.181	0.38595	0.76975	0.0264	1	0.80485	0
3560.66666666667	107.234	41.726	0.34081	0.80902	0.032	0.99975	0.77932	0.000986
3560.83333333333	109.614	43.251	0.31065	0.84828	0.0411	0.98382	0.73723	0.0647
3561	112.08	44.754	0.28049	0.88754	0.0502	0.96791	0.69513	0.1284
3561.16666666667	114.643	46.23	0.25031	0.91915	0.0593	0.95202	0.65303	0.19212
3561.33333333333	117.31	47.675	0.22013	0.93416	0.0684	0.93615	0.61092	0.25585
3561.5	120.093	49.085	0.18995	0.94918	0.0775	0.92029	0.56882	0.31958
3561.66666666667	123.001	50.456	0.17347	0.96419	0.0926	0.9079	0.51143	0.39844
3561.83333333333	126.045	51.781	0.1868	0.9792	0.12096	0.90298	0.42083	0.51011
3562	129.235	53.054	0.20013	0.99422	0.1493	0.89807	0.33024	0.62177
3562.16666666667	132.58	54.27	0.21347	1	0.17765	0.89317	0.23964	0.73343
3562.33333333333	136.089	55.42	0.2268	1	0.206	0.88827	0.14905	0.84507
3562.5	139.769	56.498	0.24014	1	0.23436	0.88338	0.0585	0.9567
3562.66666666667	143.625	57.495	0.25129	1	0.25129	0.87506	0.021	0.99969
3562.83333333333	147.658	58.403	0.26109	1	0.26109	0.8646	0.0169	0.99975
3563	151.866	59.214	0.27088	1	0.27088	0.85414	0.0127	0.99981
3563.16666666667	156.241	59.918	0.28068	1	0.28068	0.84368	0.00861	0.99987
3563.33333333333	160.768	60.508	0.29048	1	0.29048	0.83322	0.00448	0.99993
3563.5	165.427	60.976	0.30028	1	0.30028	0.82276	0.000351	0.99999
3563.66666666667	170.1934	61.317	0.30108	1	0.30108	0.82193	0	0.83946
3563.83333333333	175.0343	61.525	0.30104	1	0.30104	0.822	0	0.66402
3564	180	61.597	0.30101	1	0.30101	0.82206	0	0.48859
3564.16666666667	184.7949	61.532	0.30098	1	0.30098	0.82213	0	0.31315
3564.33333333333	189.6385	61.331	0.30094	1	0.30094	0.8222	0	0.13772
3564.5	194.409	60.997	0.29879	1	0.29879	0.82453	0	0
