Time [h]	Azimuth [Deg]	Altitude [Deg]	Var1.Verschattungsfaktor [---]	Var2.Verschattungsfaktor [---]	Var3.Verschattungsfaktor [---]	Var4.Verschattungsfaktor [---]	Var5.Verschattungsfaktor [---]	Var6.Verschattungsfaktor [---]
3552	-90	0	0	0	0	0	0	0
3552.166667	-90	0	0	0	0	0	0	0
3552.333333	-90	0	0	0	0	0	0	0
3552.5	-90	0	0	0	0	0	0	0
3552.666667	-90	0	0	0	0	0	0	0
3552.833333	-90	0	0	0	0	0	0	0
3553	-90	0	0	0	0	0	0	0
3553.166667	-90	0	0	0	0	0	0	0
3553.333333	-90	0	0	0	0	0	0	0
3553.5	-90	0	0	0	0	0	0	0
3553.666667	-90	0	0	0	0	0	0	0
3553.833333	-90	0	0	0	0	0	0	0
3554	-90	0	0	0	0	0	0	0
3554.166667	-90	0	0	0	0	0	0	0
3554.333333	-90	0	0	0	0	0	0	0
3554.5	-90	0	0	0	0	0	0	0
3554.666667	-90	0	0	0	0	0	0	0
3554.833333	-90	0	0	0	0	0	0	0
3555	-90	0	0	0	0	0	0	0
3555.166667	-90	0	0	0	0	0	0	0
3555.333333	-90	0	0	0	0	0	0	0
3555.5	-90	0	0	0	0	0	0	0
3555.666667	-90	0	0	0	0	0	0	0
3555.833333	-90	0	0	0	0	0	0	0
3556	-90	0	0	0	0	0	0	0
3556.166667	-124.561	0.135	0	0	0	0	1	0
3556.333333	-123.413	0.938	0	0	0	0	1	0
3556.5	-121.522	2.294	0	0	0	0	1	0
3556.666667	-119.649	3.677	0	0	0	0	1	0
3556.833333	-117.793	5.086	0	0	0	0	1	0
3557	-115.952	6.519	0	0	0	0	1	0
3557.166667	-114.123	7.975	0	0	0	0	1	0
3557.333333	-112.305	9.452	0	0	0	0	1	0
3557.5	-110.495	10.948	0	0	0	0	1	0
3557.666667	-108.692	12.462	0	0	0	0	1	0
3557.833333	-106.892	13.992	0	0	0	0	1	0
3558	-105.093	15.536	0	0	0	0	1	0
3558.166667	-103.294	17.094	0	0	0	0	1	0
3558.333333	-101.49	18.663	0	0	0	0	1	0
3558.5	-99.679	20.243	0	0	0	0	1	0
3558.666667	-97.859	21.831	0	0	0	0	1	0
3558.833333	-96.026	23.426	0	0	0	0	0.995	0
3559	-94.177	25.026	0	0	0	0	0.992	0
3559.166667	-92.311	26.63	0	0	0	0	0.988	0
3559.333333	-90.475	28.237	0	0	0	0	0.981	0
3559.5	-88.457	29.843	0.673	0.327	0	1	0.962	0
3559.666667	-86.512	31.448	0.635	0.365	0	1	0.943	0
3559.833333	-84.521	33.05	0.594	0.406	0	1	0.923	0
3560	-82.485	34.647	0.551	0.449	0	1	0.901	0
3560.166667	-80.401	36.236	0.503	0.497	0	1	0.877	0
3560.333333	-78.261	37.815	0.454	0.546	0	1	0.852	0
3560.5	-76.062	39.381	0.402	0.598	0	1	0.825	0
3560.666667	-73.794	40.933	0.353	0.647	0	1	0.797	0
3560.833333	-71.451	42.466	0.31	0.69	0	1	0.765	0
3561	-69.026	43.978	0.281	0.741	0.022	1	0.729	0.044
3561.166667	-66.508	45.466	0.245	0.785	0.03	1	0.693	0.11
3561.333333	-63.891	46.924	0.205	0.82	0.025	1	0.653	0.194
3561.5	-61.162	48.35	0.214	0.862	0.077	0.999	0.602	0.286
