Stunde im Jahr [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]	Variante 10.3 Raumlufttemperatur [C]	Variante 10.3 Heizleistung [W]	Variante 10.3 Kühlleistung [W]	Variante 10.3 Rücklauftemperatur [C]	Variante 10.3 Innentemperatur.Dach [C]	Variante 10.3 Innentemperatur.Boden [C]	Variante 10.3 Innentemperatur.Wand.Nord [C]	Variante 10.3 Innentemperatur.Wand.Ost [C]	Variante 10.3 Innentemperatur.Wand.Süd [C]	Variante 10.3 Innentemperatur.Wand.West [C]	Variante 10.4 Raumlufttemperatur [C]	Variante 10.4 Heizleistung [W]	Variante 10.4 Kühlleistung [W]	Variante 10.4 Rücklauftemperatur [C]	Variante 10.4 Innentemperatur.Dach [C]	Variante 10.4 Innentemperatur.Boden [C]	Variante 10.4 Innentemperatur.Wand.Nord [C]	Variante 10.4 Innentemperatur.Wand.Ost [C]	Variante 10.4 Innentemperatur.Wand.Süd [C]	Variante 10.4 Innentemperatur.Wand.West [C]	Variante 10.5 Raumlufttemperatur [C]	Variante 10.5 Heizleistung [W]	Variante 10.5 Kühlleistung [W]	Variante 10.5 Rücklauftemperatur [C]	Variante 10.5 Innentemperatur.Dach [C]	Variante 10.5 Innentemperatur.Boden [C]	Variante 10.5 Innentemperatur.Wand.Nord [C]	Variante 10.5 Innentemperatur.Wand.Ost [C]	Variante 10.5 Innentemperatur.Wand.Süd [C]	Variante 10.5 Innentemperatur.Wand.West [C]	Variante 10.6 Raumlufttemperatur [C]	Variante 10.6 Heizleistung [W]	Variante 10.6 Kühlleistung [W]	Variante 10.6 Rücklauftemperatur [C]	Variante 10.6 Innentemperatur.Dach [C]	Variante 10.6 Innentemperatur.Boden [C]	Variante 10.6 Innentemperatur.Wand.Nord [C]	Variante 10.6 Innentemperatur.Wand.Ost [C]	Variante 10.6 Innentemperatur.Wand.Süd [C]	Variante 10.6 Innentemperatur.Wand.West [C]
0	20	8.03E-04	0	20	0	-5.74E-05	20	20	20	20	20	20	20	20	7.80E-05	0	20	20	20	20	20	20	20	19.779	732.3	0	26.757	18.02	22.073	18.017	18.03	18.022	18.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	20	8.03E-04	0	20	0	-5.74E-05	20	20	20	20	20	20	20	20	7.80E-05	0	20	20	20	20	20	20	20	19.779	732.3	0	26.757	18.02	22.073	18.017	18.03	18.022	18.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	20	8.03E-04	0	20	0	-5.74E-05	20	20	20	20	20	20	20	20	7.80E-05	0	20	20	20	20	20	20	20	19.779	732.3	0	26.757	18.02	22.073	18.017	18.03	18.022	18.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	20	8.03E-04	0	20	0	-5.74E-05	20	20	20	20	20	20	20	20	7.80E-05	0	20	20	20	20	20	20	20	19.779	732.3	0	26.757	18.02	22.073	18.017	18.03	18.022	18.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	20	8.03E-04	0	20	0	-5.74E-05	20	20	20	20	20	20	20	20	7.80E-05	0	20	20	20	20	20	20	20	19.779	732.3	0	26.757	18.02	22.073	18.017	18.03	18.022	18.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	20	8.03E-04	0	20	0	-5.74E-05	20	20	20	20	20	20	20	20	7.80E-05	0	20	20	20	20	20	20	20	19.779	732.3	0	26.757	18.02	22.073	18.017	18.03	18.022	18.024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	20	8.10E-04	0	20	6.39E-05	0	20	20	20	20	20	20	20	20	1.77E-04	0	20	20	20	20	20	20	20	19.89	715.14	0	26.951	18.034	22.31	18.03	18.043	18.035	18.038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	20	8.16E-04	0	20	1.51E-04	0	20	20	20	20	20	20	20	20	2.51E-04	0	20	20	20	20	20	20	20	19.99	699.73	0	27.124	18.048	22.519	18.045	18.058	18.05	18.052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	20	8.22E-04	0	20	2.17E-04	0	20	20	20	20	20	20	20	20	3.08E-04	0	20	20	20	20	20	20	20	20.081	685.71	0	27.282	18.063	22.708	18.06	18.073	18.065	18.067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	20	8.28E-04	0	20	2.67E-04	0	20	20	20	20	20	20	20	20	3.52E-04	0	20	20	20	20	20	20	20	20.165	672.84	0	27.427	18.079	22.88	18.076	18.089	18.08	18.083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	20	8.33E-04	0	20	3.06E-04	0	20	20	20	20	20	20	20	20	3.87E-04	0	20	20	20	20	20	20	20	20.243	660.99	0	27.56	18.095	23.039	18.092	18.105	18.097	18.099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11	20	8.39E-04	0	20	3.35E-04	0	20	20	20	20	20	20	20	20	4.14E-04	0	20	20	20	20	20	20	20	20.317	650.03	0	27.684	18.112	23.186	18.108	18.121	18.113	18.116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12	20	8.44E-04	0	20	3.58E-04	0	20	20	20	20	20	20	20	20	4.35E-04	0	20	20	20	20	20	20	20	20.386	639.87	0	27.798	18.129	23.322	18.125	18.138	18.13	18.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
13	20	8.49E-04	0	20	3.75E-04	0	20	20	20	20	20	20	20	20	4.52E-04	0	20	20	20	20	20	20	20	20.451	630.46	0	27.904	18.146	23.448	18.143	18.156	18.148	18.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	20	8.54E-04	0	20	3.88E-04	0	20	20	20	20	20	20	20	20	4.65E-04	0	20	20	20	20	20	20	20	20.512	621.73	0	28.002	18.164	23.565	18.16	18.173	18.165	18.168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	20	8.59E-04	0	20	3.98E-04	0	20	20	20	20	20	20	20	20	4.76E-04	0	20	20	20	20	20	20	20	20.57	613.61	0	28.094	18.182	23.675	18.178	18.191	18.183	18.186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	20	8.63E-04	0	20	4.05E-04	0	20	20	20	20	20	20	20	20	4.84E-04	0	20	20	20	20	20	20	20	20.624	606.07	0	28.179	18.2	23.777	18.197	18.21	18.202	18.204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
17	20	8.68E-04	0	20	4.10E-04	0	20	20	20	20	20	20	20	20	4.91E-04	0	20	20	20	20	20	20	20	20.676	599.06	0	28.258	18.218	23.872	18.215	18.228	18.22	18.222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	20	8.72E-04	0	20	4.15E-04	0	20	20	20	20	20	20	20	20	4.97E-04	0	20	20	20	20	20	20	20	20.725	592.54	0	28.331	18.237	23.96	18.234	18.247	18.239	18.241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	20	8.77E-04	0	20	4.18E-04	0	20	20	20	20	20	20	20	20	5.03E-04	0	20	20	20	20	20	20	20	20.772	586.48	0	28.399	18.256	24.043	18.253	18.266	18.257	18.26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
20	20	8.81E-04	0	20	4.20E-04	0	20	20	20	20	20	20	20	20	5.07E-04	0	20	20	20	20	20	20	20	20.817	580.83	0	28.463	18.275	24.121	18.271	18.284	18.276	18.279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	20	8.85E-04	0	20	4.22E-04	0	20	20	20	20	20	20	20	20	5.11E-04	0	20	20	20	20	20	20	20	20.859	575.56	0	28.522	18.294	24.193	18.291	18.304	18.295	18.298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	20	8.89E-04	0	20	4.24E-04	0	20	20	20	20	20	20	20	20	5.15E-04	0	20	20	20	20	20	20	20	20.899	570.65	0	28.577	18.313	24.261	18.31	18.323	18.315	18.317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23	20	8.93E-04	0	20	4.26E-04	0	20	20	20	20	20	20	20	20	5.19E-04	0	20	20	20	20	20	20	20	20.938	566.08	0	28.629	18.332	24.325	18.329	18.342	18.334	18.336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	20	8.97E-04	0	20	4.27E-04	0	20	20	20	20	20	20	20	20	5.22E-04	0	20	20	20	20	20	20	20	20.975	561.81	0	28.677	18.352	24.384	18.348	18.361	18.353	18.356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	20	9.01E-04	0	20	4.29E-04	0	20	20	20	20	20	20	20	20	5.26E-04	0	20	20	20	20	20	20	20	21.01	557.81	0	28.722	18.371	24.44	18.368	18.381	18.373	18.375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
26	20	9.05E-04	0	20	4.31E-04	0	20	20	20	20	20	20	20	20	5.29E-04	0	20	20	20	20	20	20	20	21.044	554.08	0	28.764	18.39	24.492	18.387	18.4	18.392	18.394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27	20	9.08E-04	0	20	4.32E-04	0	20	20	20	20	20	20	20	20	5.33E-04	0	20	20	20	20	20	20	20	21.077	550.59	0	28.803	18.41	24.542	18.407	18.42	18.411	18.414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28	20	9.12E-04	0	20	4.34E-04	0	20	20	20	20	20	20	20	20	5.36E-04	0	20	20	20	20	20	20	20	21.108	547.33	0	28.84	18.429	24.588	18.426	18.439	18.431	18.433	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
