Stunde im Jahr [h]	Variante 10.1 Raumlufttemperatur [C]
0	20
1	20
2	19.9997
3	20.0055
4	19.9993
5	19.9992
6	19.9992
7	19.9991
8	19.9993
9	20.0001
10	19.9993
11	19.9994
12	19.9995
13	19.9995
14	19.9995
15	19.9995
16	19.9995
17	19.9995
18	19.9995
19	19.9995
20	19.9995
21	19.9996
22	19.9996
23	19.9996
24	19.9996
25	19.9996
26	19.9996
27	19.9996
28	19.9996
29	19.9996
30	19.9996
31	19.9996
32	19.9997
33	19.9997
34	19.9997
35	19.9997
36	19.9997
37	19.9997
38	19.9997
39	19.9997
40	19.9997
41	19.9997
42	19.9997
43	19.9997
44	19.9997
45	19.9997
46	19.9997
47	19.9998
48	19.9998
49	19.9998
50	19.9998
51	19.9998
52	19.9998
53	19.9998
54	19.9998
55	19.9998
56	19.9998
57	19.9998
58	19.9998
59	19.9998
60	19.9998
61	19.9998
62	19.9998
63	19.9998
64	19.9998
65	19.9998
66	19.9998
67	19.9998
68	19.9998
69	19.9999
70	19.9999
71	19.9999
72	19.9999
73	19.9999
74	19.9999
75	19.9999
76	19.9999
77	19.9999
78	19.9999
79	19.9999
80	19.9999
81	19.9999
82	19.9999
83	19.9999
84	19.9999
85	19.9999
86	19.9999
87	19.9999
88	19.9999
89	19.9999
90	19.9999
91	19.9999
92	19.9999
93	19.9999
94	19.9999
95	19.9999
96	19.9999
97	19.9999
98	19.9999
99	19.9999
100	19.9999
101	19.9999
102	19.9999
103	19.9999
104	19.9999
105	19.9999
106	19.9999
107	19.9999
108	19.9999
109	19.9999
110	19.9999
111	19.9999
112	19.9999
113	19.9999
114	19.9999
115	19.9999
116	19.9999
117	20
118	20
119	20
120	20
121	20
122	20
123	20
124	20
125	20
126	20
127	20
128	20
129	20
130	20
131	20
132	20
133	20
134	20
135	20
136	20
137	20
138	20
139	20
140	20
141	20
142	20
143	20
144	20
145	20
146	20
147	20
148	20
149	20
150	20
151	20
152	20
153	20
154	20
155	20
156	20
157	20
158	20
159	20
160	20
161	20
162	20
163	20
164	20
165	20
166	20
167	20
168	20
169	20
170	20
171	20.0001
172	20
173	20
174	20.0001
175	20
176	20.0002
177	20.0009
178	20.0017
179	20.0021
180	20.0016
181	20.0003
182	20.0003
183	20.0014
184	20.0032
185	20.005
186	20.0056
187	20.0041
188	20.0008
189	20.001
190	20.002
191	20.0005
192	20.0066
193	20.0183
194	20.0008
195	20.0006
196	20.0005
197	20.0004
198	20.0004
199	20.0004
200	20.0003
201	20.0003
202	20.0003
203	20.0003
204	20.0003
205	20.0003
206	20.0003
207	20.0003
208	20.0003
209	20.0003
210	20.0003
211	20.0003
212	20.0003
213	20.0003
214	20.0003
215	20.0003
216	20.0003
217	20.0003
218	20.0003
219	20.0003
220	20.0003
221	20.0003
222	20.0003
223	20.0003
224	20.0003
225	20.0003
226	20.0003
227	20.0003
228	20.0003
229	20.0003
230	20.0003
231	20.0003
232	20.0003
233	20.0003
234	20.0003
235	20.0003
236	20.0003
237	20.0003
238	20.0003
239	20.0003
240	20.0003
241	20.0003
242	20.0003
243	20.0003
244	20.0003
245	20.0003
246	20.0003
247	20.0003
248	20.0003
249	20.0003
250	20.0003
251	20.0003
252	20.0003
253	20.0003
254	20.0003
255	20.0003
256	20.0003
257	20.0003
258	20.0003
259	20.0003
260	20.0003
261	20.0003
262	20.0003
263	20.0003
264	20.0003
265	20.0003
266	20.0003
267	20.0003
268	20.0003
269	20.0003
270	20.0003
271	20.0003
272	20.0003
273	20.0002
274	20.0002
275	20.0002
276	20.0002
277	20.0002
278	20.0002
279	20.0002
280	20.0002
281	20.0002
282	20.0002
283	20.0002
284	20.0002
285	20.0002
286	20.0002
287	20.0002
288	20.0002
289	20.0002
290	20.0002
291	20.0002
292	20.0002
293	20.0002
294	20.0002
295	20.0002
296	20.0002
297	20.0002
298	20.0002
299	20.0002
300	20.0002
301	20.0002
302	20.0002
303	20.0002
304	20.0002
305	20.0002
306	20.0002
307	20.0002
308	20.0002
309	20.0002
310	20.0002
311	20.0002
312	20.0002
313	20.0002
314	20.0002
315	20.0002
316	20.0002
317	20.0002
318	20.0002
319	20.0002
320	20.0002
321	20.0002
322	20.0002
323	20.0002
324	20.0002
325	20.0002
326	20.0002
327	20.0002
328	20.0002
329	20.0002
330	20.0002
331	20.0002
332	20.0002
333	20.0002
334	20.0002
335	20.0002
336	20.0002
337	20.0002
338	20.0002
339	20.0002
340	20.0002
341	20.0002
342	20.0002
343	20.0002
344	20.0002
345	20.0002
346	20.0002
347	20.0002
348	20.0002
349	20.0002
350	20.0002
351	20.0002
352	20.0002
353	20.0002
354	20.0002
355	20.0002
356	20.0002
357	20.0002
358	20.0002
359	20.0002
360	20.0002
361	20.0002
362	20.0002
363	20.0002
364	20.0002
365	20.0002
366	20.0002
367	20.0002
368	20.0002
369	20.0002
370	20.0002
371	20.0002
372	20.0002
373	20.0002
374	20.0002
375	20.0002
376	20.0002
377	20.0002
378	20.0002
379	20.0002
380	20.0002
381	20.0002
382	20.0002
383	20.0002
384	20.0002
385	20.0002
386	20.0002
387	20.0002
388	20.0002
389	20.0002
390	20.0002
391	20.0002
392	20.0002
393	20.0002
394	20.0002
395	20.0002
396	20.0002
397	20.0002
398	20.0002
399	20.0002
400	20.0002
401	20.0002
402	20.0002
403	20.0002
404	20.0002
405	20.0002
406	20.0002
407	20.0002
408	20.0002
409	20.0002
410	20.0002
411	20.0002
412	20.0002
413	20.0002
414	20.0002
415	20.0002
416	20.0002
417	20.0002
418	20.0002
419	20.0002
420	20.0002
421	20.0002
422	20.0002
423	20.0002
424	20.0002
425	20.0002
426	20.0002
427	20.0002
428	20.0002
429	20.0002
430	20.0002
431	20.0002
432	20.0001
433	20.0001
434	20.0001
435	20.0001
436	20.0001
437	20.0001
438	20.0001
439	20.0001
440	20.0001
441	20.0001
442	20.0001
443	20.0001
444	20.0001
445	20.0001
446	20.0001
447	20.0001
448	20.0001
449	20.0001
450	20.0001
451	20.0001
452	20.0001
453	20.0001
454	20.0001
455	20.0001
456	20.0001
457	20.0001
458	20.0001
459	20.0001
460	20.0001
461	20.0001
462	20.0001
463	20.0001
464	20.0001
465	20.0001
466	20.0001
467	20.0001
468	20.0001
469	20.0001
470	20.0001
471	20.0001
472	20.0001
473	20.0001
474	20.0001
475	20.0001
476	20.0001
477	20.0001
478	20.0001
479	20.0001
480	20.0001
481	20.0001
482	20.0001
483	20.0001
484	20.0001
485	20.0001
486	20.0001
487	20.0001
488	20.0001
489	20.0001
490	20.0001
491	20.0001
492	20.0001
493	20.0001
494	20.0001
495	20.0001
496	20.0001
497	20.0001
498	20.0001
499	20.0001
500	20.0001
501	20.0001
502	20.0001
503	20.0001
504	20.0001
505	20.0001
506	20.0001
507	20.0001
508	20.0001
509	20.0001
510	20.0001
511	20.0001
512	20.0001
513	20.0001
514	20.0001
515	20.0001
516	20.0001
517	20.0001
518	20.0001
519	20.0001
520	20.0001
521	20.0001
522	20.0001
523	20.0001
524	20.0001
525	20.0001
526	20.0001
527	20.0001
528	20.0001
529	20.0001
530	20.0001
531	20.0001
532	20.0001
533	20.0001
534	20.0001
535	20.0001
536	20.0001
537	20.0001
538	20.0001
539	20.0001
540	20.0001
541	20.0001
542	20.0001
543	20.0001
544	20.0001
545	20.0001
546	20.0001
547	20.0001
548	20.0001
549	20.0001
550	20.0001
551	20.0001
552	20.0001
553	20.0001
554	20.0001
555	20.0001
556	20.0001
557	20.0001
558	20.0001
559	20.0001
560	20.0001
561	20.0001
562	20.0001
563	20.0001
564	20.0001
565	20.0001
566	20.0001
567	20.0001
568	20.0001
569	20.0001
570	20.0001
571	20.0001
572	20.0001
573	20.0001
574	20.0001
575	20.0001
576	20.0001
577	20.0001
578	20.0001
579	20.0001
580	20.0001
581	20.0001
582	20.0001
583	20.0001
584	20.0001
585	20.0001
586	20.0001
587	20.0001
588	20.0001
589	20.0001
590	20.0001
591	20.0001
592	20.0001
593	20.0001
594	20.0001
595	20.0001
596	20.0001
597	20.0001
598	20.0001
599	20.0001
600	20.0001
601	20.0001
602	20.0001
603	20.0001
604	20.0001
605	20.0001
606	20.0001
607	20.0001
608	20.0001
609	20.0001
610	20.0001
611	20.0001
612	20.0001
613	20.0001
614	20.0001
615	20.0001
616	20.0001
617	20.0001
618	20.0001
619	20.0001
620	20.0001
621	20.0001
622	20.0001
623	20.0001
624	20.0001
625	20.0001
626	20.0001
627	20.0001
628	20.0001
629	20.0001
630	20.0001
631	20.0001
632	20.0001
633	20.0001
634	20.0001
635	20.0001
636	20.0001
637	20.0001
638	20.0001
639	20.0001
640	20.0001
641	20.0001
642	20.0001
643	20.0001
644	20.0001
645	20.0001
646	20.0001
647	20.0001
648	20.0001
649	20.0001
650	20.0001
651	20.0001
652	20.0001
653	20.0001
654	20.0001
655	20.0001
656	20.0001
657	20.0001
658	20.0001
659	20.0001
660	20.0001
661	20.0001
662	20.0001
663	20.0001
664	20.0001
665	20.0001
666	20.0001
667	20.0001
668	20.0001
669	20.0001
670	20.0001
671	20.0001
672	20.0001
673	20.0001
674	20.0001
675	20.0001
676	20.0001
677	20.0001
678	20.0001
679	20.0001
680	20.0001
681	20.0001
682	20.0001
683	20.0001
684	20.0001
685	20.0001
686	20.0001
687	20.0001
688	20.0001
689	20.0001
690	20.0001
691	20.0001
692	20.0001
693	20.0001
694	20.0001
695	20.0001
696	20.0001
697	20.0001
698	20.0001
699	20.0001
700	20.0001
701	20.0001
702	20.0001
703	20.0001
704	20.0001
705	20.0001
706	20.0001
707	20.0001
708	20.0001
709	20.0001
710	20.0001
711	20.0001
712	20.0001
713	20.0001
714	20.0001
715	20.0001
716	20.0001
717	20.0001
718	20.0001
719	20.0001
720	20.0001
721	20.0001
722	20.0001
723	20.0001
724	20.0001
725	20.0001
726	20.0001
727	20.0001
728	20.0001
729	20.0001
730	20.0001
731	20.0001
732	20.0001
733	20.0001
734	20.0001
735	20.0001
736	20.0001
737	20.0001
738	20.0001
739	20.0001
740	20.0001
741	20.0001
742	20.0001
743	20.0001
744	20.0001
745	20.0001
746	20.0004
747	20.0002
748	19.9999
749	19.9998
750	19.9997
751	19.9996
752	19.9994
753	19.9991
754	19.9989
755	19.9985
756	19.9982
757	19.9978
758	19.9974
759	19.9969
760	19.9965
761	19.9959
762	19.9954
763	19.9948
764	19.9942
765	19.9936
766	19.9929
767	19.9922
768	19.9915
769	19.9907
770	19.9899
771	19.9891
772	19.9883
773	19.9874
774	19.9866
775	19.9856
776	19.9847
777	19.9838
778	19.9829
779	19.982
780	19.9811
781	19.9802
782	19.9794
783	19.9785
784	19.9777
785	19.9769
786	19.9761
787	19.9753
788	19.9746
789	19.9739
790	19.9732
791	19.9724
792	19.9718
793	19.9711
794	19.9704
795	19.9698
796	19.9692
797	19.9686
798	19.968
799	19.9674
800	19.9668
801	19.9663
802	19.9657
803	19.9652
804	19.9647
805	19.9642
806	19.9637
807	19.9632
808	19.9627
809	19.9623
810	19.9618
811	19.9614
812	19.961
813	19.9605
814	19.9601
815	19.9597
816	19.9593
817	19.9589
818	19.9586
819	19.9582
820	19.9578
821	19.9575
822	19.9571
823	19.9568
824	19.9565
825	19.9562
826	19.9559
827	19.9555
828	19.9553
829	19.955
830	19.9547
831	19.9544
832	19.9541
833	19.9539
834	19.9536
835	19.9534
836	19.9531
837	19.9529
838	19.9526
839	19.9524
840	19.9522
841	19.952
842	19.9517
843	19.9515
844	19.9513
845	19.9511
846	19.9509
847	19.9507
848	19.9505
849	19.9504
850	19.9502
851	19.95
852	19.9431
853	19.9264
854	19.9138
855	19.9011
856	19.8885
857	19.8758
858	19.8632
859	19.8506
860	19.838
861	19.8255
862	19.813
863	19.8006
864	19.7882
865	19.7758
866	19.7635
867	19.7512
868	19.7389
869	19.7267
870	19.7146
871	19.7024
872	19.6904
873	19.6783
874	19.6663
875	19.6544
876	19.6424
877	19.6305
878	19.6187
879	19.6069
880	19.5951
881	19.5834
882	19.5717
883	19.56
884	19.5484
885	19.5368
886	19.5253
887	19.5138
888	19.5023
889	19.4909
890	19.4795
891	19.4681
892	19.4568
893	19.4456
894	19.4343
895	19.4231
896	19.4119
897	19.4008
898	19.3897
899	19.3787
900	19.3676
901	19.3566
902	19.3457
903	19.3348
904	19.3239
905	19.3131
906	19.3023
907	19.2915
908	19.2808
909	19.2701
910	19.2594
911	19.2488
912	19.2382
913	19.2276
914	19.2171
915	19.2066
916	19.1961
917	19.1857
918	19.1753
919	19.165
920	19.1547
921	19.1444
922	19.1341
923	19.1239
924	19.1137
925	19.1036
926	19.0935
927	19.0834
928	19.0733
929	19.0633
930	19.0533
931	19.0434
932	19.0335
933	19.0236
934	19.0137
935	19.0039
936	18.9941
937	18.9844
938	18.9746
939	18.9649
940	18.9553
941	18.9457
942	18.9361
943	18.9265
944	18.9169
945	18.9075
946	18.898
947	18.8885
948	18.8791
949	18.8697
950	18.8604
951	18.8511
952	18.8418
953	18.8326
954	18.8233
955	18.8141
956	18.805
957	18.7958
958	18.7867
959	18.7777
960	18.7686
961	18.7596
962	18.7506
963	18.7416
964	18.7327
965	18.7238
966	18.715
967	18.7061
968	18.6973
969	18.6885
970	18.6798
971	18.6711
972	18.6624
973	18.6537
974	18.6451
975	18.6364
976	18.6279
977	18.6193
978	18.6108
979	18.6023
980	18.5938
981	18.5854
982	18.577
983	18.5686
984	18.5602
985	18.5519
986	18.5436
987	18.5353
988	18.5271
989	18.5189
990	18.5107
991	18.5025
992	18.4944
993	18.4862
994	18.4782
995	18.4701
996	18.4621
997	18.4541
998	18.4461
999	18.4381
1000	18.4302
1001	18.4223
1002	18.4144
1003	18.4066
1004	18.3987
1005	18.391
1006	18.3832
1007	18.3754
1008	18.3677
1009	18.36
1010	18.3523
1011	18.3447
1012	18.3371
1013	18.3295
1014	18.3219
1015	18.3144
1016	18.3068
1017	18.2993
1018	18.2919
1019	18.2844
1020	18.277
1021	18.2696
1022	18.2622
1023	18.2549
1024	18.2476
1025	18.2402
1026	18.233
1027	18.2257
1028	18.2185
1029	18.2113
1030	18.2041
1031	18.1969
1032	18.1898
1033	18.1827
1034	18.1756
1035	18.1685
1036	18.1615
1037	18.1545
1038	18.1475
1039	18.1405
1040	18.1336
1041	18.1266
1042	18.1197
1043	18.1129
1044	18.106
1045	18.0992
1046	18.0923
1047	18.0856
1048	18.0788
1049	18.072
1050	18.0653
1051	18.0586
1052	18.0519
1053	18.0453
1054	18.0386
1055	18.032
1056	18.0254
1057	18.0189
1058	18.0123
1059	18.0058
1060	17.9993
1061	17.9928
1062	17.9863
1063	17.9799
1064	17.9735
1065	17.9671
1066	17.9607
1067	17.9543
1068	17.948
1069	17.9417
1070	17.9354
1071	17.9291
1072	17.9229
1073	17.9166
1074	17.9104
1075	17.9042
1076	17.898
1077	17.8919
1078	17.8858
1079	17.8796
1080	17.8736
1081	17.8675
1082	17.8614
1083	17.8554
1084	17.8494
1085	17.8434
1086	17.8374
1087	17.8315
1088	17.8255
1089	17.8196
1090	17.8137
1091	17.8078
1092	17.802
1093	17.7962
1094	17.7903
1095	17.7845
1096	17.7788
1097	17.773
1098	17.7673
1099	17.7615
1100	17.7558
1101	17.7502
1102	17.7445
1103	17.7388
1104	17.7332
1105	17.7276
1106	17.722
1107	17.7164
1108	17.7109
1109	17.7053
1110	17.6998
1111	17.6943
1112	17.6888
1113	17.6834
1114	17.6779
1115	17.6725
1116	17.6671
1117	17.6617
1118	17.6563
1119	17.651
1120	17.6456
1121	17.6403
1122	17.635
1123	17.6297
1124	17.6244
1125	17.6192
1126	17.614
1127	17.6088
1128	17.6035
1129	17.5984
1130	17.5932
1131	17.588
1132	17.5829
1133	17.5778
1134	17.5727
1135	17.5676
1136	17.5626
1137	17.5575
1138	17.5525
1139	17.5475
1140	17.5425
1141	17.5375
1142	17.5325
1143	17.5276
1144	17.5226
1145	17.5177
1146	17.5128
1147	17.5079
1148	17.5031
1149	17.4982
1150	17.4934
1151	17.4885
1152	17.4837
1153	17.4789
1154	17.4742
1155	17.4694
1156	17.4647
1157	17.4599
1158	17.4552
1159	17.4505
1160	17.4459
1161	17.4412
1162	17.4365
1163	17.4319
1164	17.4273
1165	17.4227
1166	17.4181
1167	17.4135
1168	17.409
1169	17.4044
1170	17.3999
1171	17.3954
1172	17.3909
1173	17.3864
1174	17.3819
1175	17.3775
1176	17.373
1177	17.3686
1178	17.3642
1179	17.3598
1180	17.3554
1181	17.3511
1182	17.3467
1183	17.3423
1184	17.338
1185	17.3337
1186	17.3294
1187	17.3251
1188	17.3209
1189	17.3166
1190	17.3124
1191	17.3082
1192	17.3039
1193	17.2997
1194	17.2956
1195	17.2914
1196	17.2872
1197	17.2831
1198	17.279
1199	17.2748
1200	17.2707
1201	17.2666
