Stunde im Jahr [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]
737	20.0002	0	0	20	0.00117598	0	20	20	20	20	20	20	20
738	20.0002	0	0	20	0.00116414	0	20	20	20	20	20	20	20
739	20.0002	0	0	20	0.00115241	0	20	20	20	20	20	20	20
740	20.0002	0	0	20	0.00114081	0	20	20	20	20	20	20	20
741	20.0002	0	0	20	0.00112932	0	20	20	20	20	20	20	20
742	20.0002	0	0	20	0.00111795	0	20	20	20	20	20	20	20
743	20.0002	0	0	20.0001	0.00320246	0	20.0019	20	20	20	20	20	20
744	20.0002	0	0	20.0257	1.27642	0	20.1661	20.0004	20.021	20.0004	20.0004	20.0004	20.0004
745	20.0002	0	0	20.1115	8.78513	0	20.4466	20.0044	20.1532	20.0044	20.0044	20.0044	20.0044
746	20	0	0	20.2307	21.2913	0	20.7775	20.0146	20.382	20.0146	20.0146	20.0146	20.0146
1694	16.2716	500	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1695	16.2708	500	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1696	16.27	500	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1697	16.2692	500	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1698	16.2684	500	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1699	16.2676	500	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1700	16.2668	500	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1701	16.266	500	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1702	16.2652	500	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1703	16.2645	500	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1704	12.8246	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1705	12.623	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1706	12.4932	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1707	12.3879	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1708	12.2958	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1709	12.2117	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1710	12.1324	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1711	12.0558	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1712	11.9811	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1713	11.9076	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1714	11.8348	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1715	11.7625	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1716	11.6907	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1717	11.6192	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1718	11.548	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1719	11.4771	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1720	11.4064	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1721	11.336	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
1722	11.2659	0	0	25.1449	566.259	0	33.2694	20.789	30.8075	20.789	20.789	20.789	20.789
