Stunde im Jahr [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]	Variante 10.3 Raumlufttemperatur [C]	Variante 10.3 Heizleistung [W]	Variante 10.3 Kühlleistung [W]	Variante 10.3 Rücklauftemperatur [C]	Variante 10.3 Innentemperatur.Dach [C]	Variante 10.3 Innentemperatur.Boden [C]	Variante 10.3 Innentemperatur.Wand.Nord [C]	Variante 10.3 Innentemperatur.Wand.Ost [C]	Variante 10.3 Innentemperatur.Wand.Süd [C]	Variante 10.3 Innentemperatur.Wand.West [C]	Variante 10.4 Raumlufttemperatur [C]	Variante 10.4 Heizleistung [W]	Variante 10.4 Kühlleistung [W]	Variante 10.4 Rücklauftemperatur [C]	Variante 10.4 Innentemperatur.Dach [C]	Variante 10.4 Innentemperatur.Boden [C]	Variante 10.4 Innentemperatur.Wand.Nord [C]	Variante 10.4 Innentemperatur.Wand.Ost [C]	Variante 10.4 Innentemperatur.Wand.Süd [C]	Variante 10.4 Innentemperatur.Wand.West [C]	Variante 10.5 Raumlufttemperatur [C]	Variante 10.5 Heizleistung [W]	Variante 10.5 Kühlleistung [W]	Variante 10.5 Rücklauftemperatur [C]	Variante 10.5 Innentemperatur.Dach [C]	Variante 10.5 Innentemperatur.Boden [C]	Variante 10.5 Innentemperatur.Wand.Nord [C]	Variante 10.5 Innentemperatur.Wand.Ost [C]	Variante 10.5 Innentemperatur.Wand.Süd [C]	Variante 10.5 Innentemperatur.Wand.West [C]	Variante 10.6 Raumlufttemperatur [C]	Variante 10.6 Heizleistung [W]	Variante 10.6 Kühlleistung [W]	Variante 10.6 Rücklauftemperatur [C]	Variante 10.6 Innentemperatur.Dach [C]	Variante 10.6 Innentemperatur.Boden [C]	Variante 10.6 Innentemperatur.Wand.Nord [C]	Variante 10.6 Innentemperatur.Wand.Ost [C]	Variante 10.6 Innentemperatur.Wand.Süd [C]	Variante 10.6 Innentemperatur.Wand.West [C]
0	20.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	20.00	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	20.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1	20.00	0.00	0.00	20.00	0.00	0.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	0.00	0.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	0.0000	0.0002	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.0000	20.000	0.026	0.008	20.000	20.000	20.000	20.000	20.000	20.000	20.000	20.36	41.72	0.00	21.84	20.02	20.37	20.02	20.02	20.02	20.02
2	20.00	0.13	0.00	20.00	0.00	0.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	0.01	0.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	20.00	0.0000	0.0153	19.9961	19.9993	19.9992	19.9993	19.9993	19.9993	19.9993	19.998	0.000	0.021	19.996	19.999	19.999	19.999	19.999	19.999	19.999	20.63	115.88	0.00	22.43	20.08	21.09	20.08	20.08	20.08	20.08
3	20.00	1.16	0.00	19.99	0.12	0.00	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.99	0.20	0.00	19.99	19.99	19.99	19.99	19.99	19.99	19.99	19.98	0.0000	0.0682	19.9778	19.9914	19.9913	19.9914	19.9914	19.9914	19.9914	19.984	0.000	0.076	19.978	19.991	19.991	19.991	19.991	19.991	19.991	20.77	151.30	0.00	22.69	20.14	21.46	20.14	20.14	20.14	20.14
4	20.00	2.90	0.00	19.98	0.44	0.00	19.99	19.98	19.99	19.98	19.98	19.98	19.98	19.98	0.72	0.00	19.99	19.98	19.99	19.98	19.98	19.98	19.98	19.96	0.0000	0.1134	19.9464	19.9705	19.9706	19.9705	19.9705	19.9705	19.9705	19.958	0.000	0.114	19.946	19.971	19.971	19.971	19.971	19.971	19.971	20.84	168.68	0.00	22.83	20.17	21.65	20.17	20.17	20.17	20.17
5	20.00	4.31	0.00	19.97	0.78	0.00	19.99	19.97	19.98	19.97	19.97	19.97	19.97	19.97	1.26	0.00	19.99	19.97	19.98	19.97	19.97	19.97	19.97	19.92	0.0000	0.1355	19.9076	19.9387	19.9390	19.9387	19.9387	19.9387	19.9387	19.922	0.000	0.122	19.908	19.939	19.939	19.939	19.939	19.939	19.939	20.88	179.35	0.00	22.93	20.18	21.75	20.18	20.18	20.18	20.18
6	20.00	5.16	0.00	19.97	1.05	0.00	19.99	19.96	19.98	19.96	19.96	19.96	19.96	19.97	1.66	0.00	19.99	19.96	19.98	19.96	19.96	19.96	19.96	20.38	16.8769	0.0713	21.7290	19.9043	20.1666	19.9043	19.9043	19.9043	19.9043	20.345	28.653	0.061	21.728	19.909	20.144	19.909	19.909	19.909	19.909	20.90	187.19	0.00	22.99	20.18	21.82	20.18	20.18	20.18	20.18
7	20.00	5.60	0.00	19.97	1.25	0.00	19.99	19.96	19.98	19.96	19.96	19.96	19.96	19.97	1.94	0.00	19.99	19.96	19.98	19.96	19.96	19.96	19.96	20.34	62.3145	0.0000	21.1847	19.8997	21.0049	19.8997	19.8997	19.8997	19.8997	20.281	103.353	0.000	21.149	19.932	20.843	19.931	19.931	19.931	19.931	20.90	193.65	0.00	23.04	20.16	21.86	20.16	20.16	20.16	20.16
8	20.00	5.79	0.00	19.97	1.38	0.00	19.99	19.96	19.98	19.96	19.96	19.96	19.96	19.97	2.13	0.00	19.99	19.96	19.98	19.96	19.96	19.96	19.96	20.21	50.3782	0.0000	20.7965	19.8739	20.7757	19.8739	19.8739	19.8739	19.8739	20.143	75.374	0.000	20.713	19.912	20.582	19.911	19.911	19.911	19.911	20.89	199.02	0.00	23.08	20.14	21.88	20.14	20.14	20.14	20.14
9	20.00	5.83	0.00	19.97	1.47	0.00	19.99	19.96	19.98	19.96	19.96	19.96	19.96	19.97	2.25	0.00	19.99	19.96	19.98	19.96	19.96	19.96	19.96	20.10	40.2133	0.0000	20.5945	19.8339	20.5535	19.8339	19.8339	19.8339	19.8339	20.041	55.919	0.000	20.488	19.870	20.367	19.869	19.870	19.869	19.870	20.88	203.94	0.00	23.11	20.11	21.90	20.11	20.11	20.11	20.11
