Variable	Start [h]	End [h]
Variante 10.1 Raumlufttemperatur	740	8760
Variante 10.1 Heizleistung	740	8760
Variante 10.1 Kühlleistung	740	8760
Variante 10.2 Raumlufttemperatur	740	8760
Variante 10.2 Rücklauftemperatur	740	8760
Variante 10.2 Innentemperatur.Dach	740	8760
Variante 10.2 Innentemperatur.Boden	740	8760
Variante 10.2 Innentemperatur.Wand.Nord	740	8760
Variante 10.2 Innentemperatur.Wand.Ost	740	8760
Variante 10.2 Innentemperatur.Wand.Süd	740	8760
Variante 10.2 Innentemperatur.Wand.West	740	8760
Variante 10.3 Raumlufttemperatur	740	8760
Variante 10.3 Rücklauftemperatur	740	8760
Variante 10.3 Innentemperatur.Dach	740	8760
Variante 10.3 Innentemperatur.Boden	740	8760
Variante 10.3 Innentemperatur.Wand.Nord	740	8760
Variante 10.3 Innentemperatur.Wand.Ost	740	8760
Variante 10.3 Innentemperatur.Wand.Süd	740	8760
Variante 10.3 Innentemperatur.Wand.West	740	8760
Variante 10.4 Raumlufttemperatur	740	8760
Variante 10.4 Rücklauftemperatur	740	8760
Variante 10.4 Innentemperatur.Dach	740	8760
Variante 10.4 Innentemperatur.Boden	740	8760
Variante 10.4 Innentemperatur.Wand.Nord	740	8760
Variante 10.4 Innentemperatur.Wand.Ost	740	8760
Variante 10.4 Innentemperatur.Wand.Süd	740	8760
Variante 10.4 Innentemperatur.Wand.West	740	8760
Variante 10.5 Raumlufttemperatur	740	8760
Variante 10.5 Rücklauftemperatur	740	8760
Variante 10.5 Innentemperatur.Dach	740	8760
Variante 10.5 Innentemperatur.Boden	740	8760
Variante 10.5 Innentemperatur.Wand.Nord	740	8760
Variante 10.5 Innentemperatur.Wand.Ost	740	8760
Variante 10.5 Innentemperatur.Wand.Süd	740	8760
Variante 10.5 Innentemperatur.Wand.West	740	8760
Variante 10.6 Raumlufttemperatur	740	8760
Variante 10.6 Rücklauftemperatur	740	8760
Variante 10.6 Innentemperatur.Dach	740	8760
Variante 10.6 Innentemperatur.Boden	740	8760
Variante 10.6 Innentemperatur.Wand.Nord	740	8760
Variante 10.6 Innentemperatur.Wand.Ost	740	8760
Variante 10.6 Innentemperatur.Wand.Süd	740	8760
Variante 10.6 Innentemperatur.Wand.West	740	8760
