Zeit [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]	Variante 10.3 Raumlufttemperatur [C]	Variante 10.3 Heizleistung [W]	Variante 10.3 Kühlleistung [W]	Variante 10.3 Rücklauftemperatur [C]	Variante 10.3 Innentemperatur.Dach [C]	Variante 10.3 Innentemperatur.Boden [C]	Variante 10.3 Innentemperatur.Wand.Nord [C]	Variante 10.3 Innentemperatur.Wand.Ost [C]	Variante 10.3 Innentemperatur.Wand.Süd [C]	Variante 10.3 Innentemperatur.Wand.West [C]	Variante 10.4 Raumlufttemperatur [C]	Variante 10.4 Heizleistung [W]	Variante 10.4 Kühlleistung [W]	Variante 10.4 Rücklauftemperatur [C]	Variante 10.4 Innentemperatur.Dach [C]	Variante 10.4 Innentemperatur.Boden [C]	Variante 10.4 Innentemperatur.Wand.Nord [C]	Variante 10.4 Innentemperatur.Wand.Ost [C]	Variante 10.4 Innentemperatur.Wand.Süd [C]	Variante 10.4 Innentemperatur.Wand.West [C]	Variante 10.5 Raumlufttemperatur [C]	Variante 10.5 Heizleistung [W]	Variante 10.5 Kühlleistung [W]	Variante 10.5 Rücklauftemperatur [C]	Variante 10.5 Innentemperatur.Dach [C]	Variante 10.5 Innentemperatur.Boden [C]	Variante 10.5 Innentemperatur.Wand.Nord [C]	Variante 10.5 Innentemperatur.Wand.Ost [C]	Variante 10.5 Innentemperatur.Wand.Süd [C]	Variante 10.5 Innentemperatur.Wand.West [C]
0	20	0.00E+00	0	20	0	0.00E+00	20	20	20	20	20	20	20	20	0.00E+00	0	20	20	20	20	20	20	20	20	0	0	20	20	20	20	20	20	20	20	0	0	20	20	20	20	20	20	20
1	20	0.00E+00	0	20	0	0.00E+00	20	20	20	20	20	20	20	20	0.00E+00	0	20	20	20	20	20	20	20	20.46	48.31	0	20.89	20.08	20.95	20.08	20.08	20.08	20.08	20.43	38.76	0	20.83	20.12	20.82	20.12	20.12	20.12	20.12
2	20	0.00E+00	0	20	0	0.00E+00	20	20	20	20	20	20	20	20	0.00E+00	0	20	20	20	20	20	20	20	20.32	36.62	0	20.69	20.03	20.69	20.03	20.03	20.03	20.03	20.32	31.23	0	20.83	20.07	20.63	20.07	20.07	20.07	20.07
3	20	0.00E+00	0	20	0	0.00E+00	20	20	20	20	20	20	20	20	0.00E+00	0	20	20	20	20	20	20	20	20.32	41.37	0	20.94	20	20.73	20	20	20	20	20.32	34.87	0	20.96	20.05	20.66	20.05	20.05	20.05	20.05
4	20	0.00E+00	0	20	0.00E+00	0	20	20	20	20	20	20	20	20	0.00E+00	0	20	20	20	20	20	20	20	20.32	45.6	0	21	19.97	20.77	19.97	19.97	19.97	19.97	20.32	38.17	0	21.02	20.02	20.7	20.02	20.02	20.02	20.02
5	20	0.00E+00	0	20	0.00E+00	0	20	20	20	20	20	20	20	20	0.00E+00	0	20	20	20	20	20	20	20	20.32	49.85	0	21.06	19.93	20.81	19.93	19.93	19.93	19.93	20.32	41.46	0	21.08	20	20.73	20	20	20	20
6	20	0.00E+00	0	20	0.00E+00	0	20	20	20	20	20	20	20	20	0.00E+00	0	20	20	20	20	20	20	20	20.32	54.06	0	21.12	19.9	20.86	19.9	19.9	19.9	19.9	20.32	44.7	0	21.14	19.97	20.76	19.97	19.97	19.97	19.97
7	20	0.00E+00	0	20	0.00E+00	0	20	20	20	20	20	20	20	20	0.00E+00	0	20	20	20	20	20	20	20	20.32	58.21	0	21.18	19.87	20.9	19.87	19.87	19.87	19.87	20.32	47.85	0	21.19	19.95	20.79	19.95	19.95	19.95	19.95
8	20	0.00E+00	0	20	0.00E+00	0	20	20	20	20	20	20	20	20	0.00E+00	0	20	20	20	20	20	20	20	20.32	62.2	0	21.23	19.84	20.94	19.84	19.84	19.84	19.84	20.32	50.9	0	21.25	19.92	20.82	19.92	19.92	19.92	19.92
9	20	0.00E+00	0	20	0.00E+00	0	20	20	20	20	20	20	20	20	0.00E+00	0	20	20	20	20	20	20	20	20.32	66.12	0	21.29	19.81	20.98	19.81	19.81	19.81	19.81	20.32	53.77	0	21.3	19.9	20.85	19.9	19.9	19.9	19.9
