Zeit [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]
0	20	3.00E+00	0
1	20	7.00E+00	0
2	20	6.00E+00	0
3	20	6.00E+00	0
4	20	6.00E+00	0
5	20	6.00E+00	0
6	20	6.00E+00	0
7	20	6.00E+00	0
8	20	6.00E+00	0
9	20	5.00E+00	0
10	20	5.00E+00	0
11	20	5.00E+00	0
12	20	5.00E+00	0
13	20	5.00E+00	0
14	20	5.00E+00	0
15	20	5.00E+00	0
16	20	5.00E+00	0
17	20	5.00E+00	0
18	20	4.00E+00	0
19	20	4.00E+00	0
20	20	4.00E+00	0
21	20	4.00E+00	0
22	20	4.00E+00	0
23	20	4.00E+00	0
24	20	4.00E+00	0
25	20	4.00E+00	0
26	20	4.00E+00	0
27	20	4.00E+00	0
28	20	4.00E+00	0
29	20	3.00E+00	0
30	20	3.00E+00	0
31	20	3.00E+00	0
32	20	3.00E+00	0
33	20	3.00E+00	0
34	20	3.00E+00	0
35	20	3.00E+00	0
36	20	3.00E+00	0
37	20	3.00E+00	0
38	20	3.00E+00	0
39	20	3.00E+00	0
40	20	3.00E+00	0
41	20	3.00E+00	0
42	20	3.00E+00	0
43	20	2.00E+00	0
44	20	2.00E+00	0
45	20	2.00E+00	0
46	20	2.00E+00	0
47	20	2.00E+00	0
48	20	2.00E+00	0
49	20	2.00E+00	0
50	20	2.00E+00	0
51	20	2.00E+00	0
52	20	2.00E+00	0
53	20	2.00E+00	0
54	20	2.00E+00	0
55	20	2.00E+00	0
56	20	2.00E+00	0
57	20	2.00E+00	0
58	20	2.00E+00	0
59	20	2.00E+00	0
60	20	2.00E+00	0
61	20	2.00E+00	0
62	20	2.00E+00	0
63	20	2.00E+00	0
64	20	2.00E+00	0
65	20	1.00E+00	0
66	20	1.00E+00	0
67	20	1.00E+00	0
68	20	1.00E+00	0
69	20	1.00E+00	0
70	20	1.00E+00	0
71	20	1.00E+00	0
72	20	1.00E+00	0
73	20	1.00E+00	0
74	20	1.00E+00	0
75	20	1.00E+00	0
76	20	1.00E+00	0
77	20	1.00E+00	0
78	20	1.00E+00	0
79	20	1.00E+00	0
80	20	1.00E+00	0
81	20	1.00E+00	0
82	20	1.00E+00	0
83	20	1.00E+00	0
84	20	1.00E+00	0
85	20	1.00E+00	0
86	20	1.00E+00	0
87	20	1.00E+00	0
88	20	1.00E+00	0
89	20	1.00E+00	0
90	20	1.00E+00	0
91	20	1.00E+00	0
92	20	1.00E+00	0
93	20	1.00E+00	0
94	20	1.00E+00	0
95	20	1.00E+00	0
96	20	1.00E+00	0
97	20	1.00E+00	0
98	20	1.00E+00	0
99	20	1.00E+00	0
100	20	1.00E+00	0
101	20	1.00E+00	0
102	20	1.00E+00	0
103	20	1.00E+00	0
104	20	1.00E+00	0
105	20	1.00E+00	0
106	20	1.00E+00	0
107	20	1.00E+00	0
108	20	1.00E+00	0
109	20	1.00E+00	0
110	20	1.00E+00	0
111	20	1.00E+00	0
112	20	0.00E+00	0
113	20	0.00E+00	0
114	20	0.00E+00	0
115	20	0.00E+00	0
116	20	0.00E+00	0
117	20	0.00E+00	0
118	20	0.00E+00	0
119	20	0.00E+00	0
120	20	0.00E+00	0
121	20	0.00E+00	0
122	20	0.00E+00	0
123	20	0.00E+00	0
124	20	0.00E+00	0
125	20	0.00E+00	0
126	20	0.00E+00	0
127	20	0.00E+00	0
128	20	0.00E+00	0
129	20	0.00E+00	0
130	20	0.00E+00	0
131	20	0.00E+00	0
132	20	0.00E+00	0
133	20	0.00E+00	0
134	20	0.00E+00	0
135	20	0.00E+00	0
136	20	0.00E+00	0
137	20	0.00E+00	0
138	20	0.00E+00	0
139	20	0.00E+00	0
140	20	0.00E+00	0
141	20	0.00E+00	0
142	20	0.00E+00	0
143	20	0.00E+00	0
144	20	0.00E+00	0
145	20	0.00E+00	0
146	20	0.00E+00	0
147	20	0.00E+00	0
148	20	0.00E+00	0
149	20	0.00E+00	0
150	20	0.00E+00	0
151	20	0.00E+00	0
152	20	0.00E+00	0
153	20	0.00E+00	0
154	20	0.00E+00	0
155	20	0.00E+00	0
156	20	0.00E+00	0
157	20	0.00E+00	0
158	20	0.00E+00	0
159	20	0.00E+00	0
160	20	0.00E+00	0
161	20	0.00E+00	0
162	20	0.00E+00	0
163	20	0.00E+00	0
164	20	0.00E+00	0
165	20	0.00E+00	0
166	20	0.00E+00	0
167	20	0.00E+00	0
168	20	0.00E+00	0
169	20	0.00E+00	0
170	20	0.00E+00	0
171	20	0.00E+00	0
172	20	0.00E+00	0
173	20	0.00E+00	0
174	20	0.00E+00	0
175	20	0.00E+00	0
176	20	0.00E+00	0
177	20	0.00E+00	0
178	20	0.00E+00	0
179	20	0.00E+00	0
180	20	0.00E+00	0
181	20	0.00E+00	0
182	20	0.00E+00	0
183	20	0.00E+00	0
184	20	0.00E+00	0
185	20	0.00E+00	0
186	20	0.00E+00	0
187	20	0.00E+00	0
188	20	0.00E+00	0
189	20	0.00E+00	0
190	20	0.00E+00	0
191	20	0.00E+00	0
192	20	0.00E+00	0
193	20	0.00E+00	0
194	20	0.00E+00	0
195	20	0.00E+00	0
196	20	0.00E+00	0
197	20	0.00E+00	0
198	20	0.00E+00	0
199	20	0.00E+00	0
200	20	0.00E+00	0
201	20	0.00E+00	0
202	20	0.00E+00	0
203	20	0.00E+00	0
204	20	0.00E+00	0
205	20	0.00E+00	0
206	20	0.00E+00	0
207	20	0.00E+00	0
208	20	0.00E+00	0
209	20	0.00E+00	0
210	20	0.00E+00	0
211	20	0.00E+00	0
212	20	0.00E+00	0
213	20	0.00E+00	0
214	20	0.00E+00	0
215	20	0.00E+00	0
216	20	0.00E+00	0
217	20	0.00E+00	0
218	20	0.00E+00	0
219	20	0.00E+00	0
220	20	0.00E+00	0
221	20	0.00E+00	0
222	20	0.00E+00	0
223	20	0.00E+00	0
224	20	0.00E+00	0
225	20	0.00E+00	0
226	20	0.00E+00	0
227	20	0.00E+00	0
228	20	0.00E+00	0
229	20	0.00E+00	0
230	20	0.00E+00	0
231	20	0.00E+00	0
232	20	0.00E+00	0
233	20	0.00E+00	0
234	20	0.00E+00	0
235	20	0.00E+00	0
236	20	0.00E+00	0
237	20	0.00E+00	0
238	20	0.00E+00	0
239	20	0.00E+00	0
240	20	0.00E+00	0
241	20	0.00E+00	0
242	20	0.00E+00	0
243	20	0.00E+00	0
244	20	0.00E+00	0
245	20	0.00E+00	0
246	20	0.00E+00	0
247	20	0.00E+00	0
248	20	0.00E+00	0
249	20	0.00E+00	0
250	20	0.00E+00	0
251	20	0.00E+00	0
252	20	0.00E+00	0
253	20	0.00E+00	0
254	20	0.00E+00	0
255	20	0.00E+00	0
256	20	0.00E+00	0
257	20	0.00E+00	0
258	20	0.00E+00	0
