Zeit [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]	Variante 10.3 Raumlufttemperatur [C]	Variante 10.3 Heizleistung [W]	Variante 10.3 Kühlleistung [W]	Variante 10.3 Rücklauftemperatur [C]	Variante 10.3 Innentemperatur.Dach [C]	Variante 10.3 Innentemperatur.Boden [C]	Variante 10.3 Innentemperatur.Wand.Nord [C]	Variante 10.3 Innentemperatur.Wand.Ost [C]	Variante 10.3 Innentemperatur.Wand.Süd [C]	Variante 10.3 Innentemperatur.Wand.West [C]	Variante 10.4 Raumlufttemperatur [C]	Variante 10.4 Heizleistung [W]	Variante 10.4 Kühlleistung [W]	Variante 10.4 Rücklauftemperatur [C]	Variante 10.4 Innentemperatur.Dach [C]	Variante 10.4 Innentemperatur.Boden [C]	Variante 10.4 Innentemperatur.Wand.Nord [C]	Variante 10.4 Innentemperatur.Wand.Ost [C]	Variante 10.4 Innentemperatur.Wand.Süd [C]	Variante 10.4 Innentemperatur.Wand.West [C]	Variante 10.5 Raumlufttemperatur [C]	Variante 10.5 Heizleistung [W]	Variante 10.5 Kühlleistung [W]	Variante 10.5 Rücklauftemperatur [C]	Variante 10.5 Innentemperatur.Dach [C]	Variante 10.5 Innentemperatur.Boden [C]	Variante 10.5 Innentemperatur.Wand.Nord [C]	Variante 10.5 Innentemperatur.Wand.Ost [C]	Variante 10.5 Innentemperatur.Wand.Süd [C]	Variante 10.5 Innentemperatur.Wand.West [C]	Variante 10.6 Raumlufttemperatur [C]	Variante 10.6 Heizleistung [W]	Variante 10.6 Kühlleistung [W]	Variante 10.6 Rücklauftemperatur [C]	Variante 10.6 Innentemperatur.Dach [C]	Variante 10.6 Innentemperatur.Boden [C]	Variante 10.6 Innentemperatur.Wand.Nord [C]	Variante 10.6 Innentemperatur.Wand.Ost [C]	Variante 10.6 Innentemperatur.Wand.Süd [C]	Variante 10.6 Innentemperatur.Wand.West [C]
0	20	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6.30646	-273.15	-273.15	-273.15	-273.15	-273.15	-273.15	5	0	0	6.30646	-273.15	-273.15	-273.15	-273.15	-273.15	-273.15	20.0007	0	0	20	20.0004	20.0004	20.0007	20.0005	20.0007	20.0005
1	20	0.00173859	0	20	0.0237489	1.11E-05	19.9998	20	20	20	20	20	20	20.0007	-0.0013347	0.00393441	19.9998	20.0004	20.0004	20.0007	20.0005	20.0007	20.0005	8.37312	7913.15	-202.841	20.4045	5.06902	8.39563	5.06902	5.06902	5.06902	5.06902	8.13121	7920.65	-182.478	20.3282	5.1265	8.1105	5.12564	5.12486	5.12564	5.12486	20.0007	0	0	20	20.0004	20.0004	20.0007	20.0005	20.0007	20.0005
2	19.9997	0.105498	0	19.998	1.7109	-0.0108088	19.9953	19.9992	19.9995	19.9992	19.9992	19.9992	19.9992	19.999	1.62877	0.00291997	19.9954	20	20.0003	20.0004	20.0001	20.0004	20.0001	11.0308	5262.31	-605.798	24.1206	5.40155	15.913	5.40155	5.40155	5.40155	5.40155	10.4517	5348.61	-512.429	23.7773	5.67774	14.5577	5.67289	5.66965	5.67289	5.66965	19.9999	0	0	19.9983	20.0004	20.0004	20.0009	20.0006	20.0009	20.0006
3	20.0055	1.19785	0	19.9897	5.95189	-0.181304	19.9912	19.9922	19.996	19.9922	19.9922	19.9922	19.9922	19.9906	5.86109	-0.132559	19.9913	19.9933	19.9965	19.9938	19.9934	19.9938	19.9934	12.412	4111.6	-797.385	26.1376	5.7625	19.7628	5.7625	5.7625	5.7625	5.7625	11.6412	4308.43	-645.861	25.5571	6.23674	17.5612	6.22837	6.22303	6.22837	6.22303	19.9924	0	0	19.9879	19.9964	19.9965	19.997	19.9966	19.997	19.9966
4	19.9993	3.09415	0	19.9808	7.75734	-0.589611	19.9906	19.9796	19.9907	19.9796	19.9796	19.9796	19.9796	19.9815	7.75687	-0.458306	19.9905	19.9811	19.9902	19.9818	19.9813	19.9818	19.9813	13.2346	3437.05	-889.434	27.4239	6.07484	21.7471	6.07484	6.07484	6.07484	6.07484	12.3787	3717.1	-701.94	26.6832	6.70337	19.0522	6.69247	6.6856	6.69247	6.6856	19.9761	0	0	19.9681	19.984	19.9842	19.9846	19.9842	19.9846	19.9842
5	19.9992	4.18908	0	19.9748	7.55666	-0.974193	19.9913	19.9697	19.9874	19.9697	19.9697	19.9697	19.9697	19.9753	7.70774	-0.752026	19.991	19.9717	19.9858	19.9724	19.9719	19.9724	19.9719	13.801	2980.96	-939.936	28.3448	6.34575	22.9314	6.34575	6.34575	6.34575	6.34575	12.9184	3315.62	-729.992	27.5	7.101	19.9594	7.08821	7.08021	7.08821	7.08021	19.953	0	0	19.9425	19.9637	19.964	19.9644	19.9639	19.9644	19.9639
6	19.9992	5.0368	0	19.9714	6.84545	-1.26602	19.9923	19.9631	19.9858	19.9631	19.9631	19.9631	19.9631	19.9718	7.14771	-0.964801	19.9918	19.9656	19.9832	19.9663	19.9658	19.9663	19.9658	14.2366	2642.37	-971.359	29.0528	6.5879	23.7396	6.5879	6.5879	6.5879	6.5879	13.3574	3012.96	-746.302	28.1379	7.45357	20.6066	7.43928	7.43037	7.43928	7.43037	19.9255	0	0	19.9132	19.9379	19.9383	19.9386	19.9381	19.9386	19.9381
7	19.9991	5.4924	0	19.9698	6.03354	-1.46426	19.9933	19.9592	19.9853	19.9592	19.9592	19.9592	19.9592	19.9701	6.45789	-1.10171	19.9927	19.9621	19.982	19.9628	19.9623	19.9628	19.9623	14.5944	2376.46	-992.874	29.6171	6.81073	24.3492	6.81073	6.81073	6.81073	6.81073	13.7349	2771.81	-756.703	28.6529	7.77681	21.1172	7.76128	7.75162	7.76128	7.75162	19.8948	0	0	19.8815	19.9086	19.909	19.9093	19.9088	19.9093	19.9088
8	19.9993	5.6918	0	19.9691	5.28093	-1.5897	19.9941	19.9572	19.9853	19.9572	19.9572	19.9572	19.9572	19.9695	5.79058	-1.18245	19.9934	19.9604	19.9817	19.9611	19.9606	19.9611	19.9606	14.901	2162.3	-1008.12	30.0762	7.02041	24.8326	7.02041	7.02041	7.02041	7.02041	14.0709	2575.43	-763.25	29.076	8.08024	21.5384	8.06364	8.05331	8.06364	8.05331	19.8618	0	0	19.8477	19.8766	19.8771	19.8774	19.8769	19.8774	19.8769
9	20.0001	5.82145	0	19.9689	4.63296	-1.66634	19.9948	19.9562	19.9857	19.9562	19.9562	19.9562	19.9562	19.9695	5.19629	-1.22689	19.9941	19.9598	19.9818	19.9606	19.96	19.9606	19.96	15.1705	1987.25	-1019	30.4536	7.22086	25.2285	7.22086	7.22086	7.22086	7.22086	14.3761	2413.42	-767.032	29.4269	8.36969	21.8961	8.35214	8.34123	8.35214	8.34123	19.8266	0	0	19.8117	19.8424	19.843	19.8432	19.8427	19.8432	19.8427
