Zeit [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]	Variante 10.3 Raumlufttemperatur [C]	Variante 10.3 Heizleistung [W]	Variante 10.3 Kühlleistung [W]	Variante 10.3 Rücklauftemperatur [C]	Variante 10.3 Innentemperatur.Dach [C]	Variante 10.3 Innentemperatur.Boden [C]	Variante 10.3 Innentemperatur.Wand.Nord [C]	Variante 10.3 Innentemperatur.Wand.Ost [C]	Variante 10.3 Innentemperatur.Wand.Süd [C]	Variante 10.3 Innentemperatur.Wand.West [C]
0	17.37	5.00E+02	0	23.99	327.92	0.00E+00	24.05	20.53	27.33	20.53	20.53	20.53	20.53	25.34	3.06E+02	0	24.02	22.93	27.26	22.9	22.98	22.9	22.98
1	17.37	5.00E+02	0	23.99	327.92	0.00E+00	24.05	20.53	27.33	20.53	20.53	20.53	20.53	25.34	3.06E+02	0	24.02	22.93	27.26	22.9	22.98	22.9	22.98
2	17.38	5.00E+02	0	22.48	142.42	0.00E+00	22.49	20.39	23.94	20.39	20.39	20.39	20.39	23.94	6.51E+01	0	22.5	22.72	24.21	22.7	22.76	22.7	22.76
3	17.39	5.00E+02	0	21.69	67.77	0.00E+00	21.71	20.25	22.39	20.25	20.25	20.25	20.25	23.21	0.00E+00	26.99	21.76	22.53	22.87	22.51	22.57	22.51	22.57
4	17.42	5.00E+02	0	21.29	32.96	0.00E+00	21.27	20.15	21.62	20.15	20.15	20.15	20.15	22.82	0.00E+00	66.6	21.34	22.39	22.22	22.37	22.42	22.37	22.42
5	17.48	5.00E+02	0	21.06	1.43E+01	0	20.99	20.09	21.21	20.09	20.09	20.09	20.09	22.6	0.00E+00	86.75	21.08	22.3	21.86	22.28	22.32	22.28	22.32
6	17.54	5.00E+02	0	20.89	5.66E+00	0	20.79	20.05	20.95	20.05	20.05	20.05	20.05	22.43	0.00E+00	96.43	20.89	22.23	21.63	22.21	22.25	22.21	22.25
7	17.62	5.00E+02	0	20.74	2.23E+00	0	20.64	20.02	20.77	20.02	20.02	20.02	20.02	22.28	0.00E+00	100.76	20.75	22.18	21.47	22.16	22.2	22.16	22.2
8	17.71	5.00E+02	0	20.62	7.90E-01	0	20.52	20.01	20.63	20.01	20.01	20.01	20.01	22.15	0.00E+00	102.91	20.63	22.14	21.34	22.12	22.16	22.12	22.16
9	17.79	5.00E+02	0	20.51	1.40E-01	0	20.42	20	20.51	20	20	20	20	22.03	0.00E+00	103.98	20.54	22.1	21.23	22.09	22.12	22.09	22.12
10	17.88	5.00E+02	0	20.42	0.00E+00	0.15	20.35	19.99	20.42	19.99	19.99	19.99	19.99	21.94	0.00E+00	104.45	20.46	22.07	21.15	22.06	22.08	22.06	22.08
11	17.97	5.00E+02	0	20.35	0.00E+00	0.28	20.28	19.98	20.34	19.98	19.98	19.98	19.98	21.85	0.00E+00	104.54	20.4	22.04	21.07	22.03	22.05	22.03	22.05
12	18.07	5.00E+02	0	20.28	0.00E+00	0.31	20.23	19.98	20.28	19.98	19.98	19.98	19.98	21.78	0.00E+00	104.34	20.35	22.01	21.01	22	22.03	22	22.03
13	18.16	5.00E+02	0	20.23	0.00E+00	0.3	20.19	19.98	20.23	19.98	19.98	19.98	19.98	21.72	0.00E+00	103.91	20.31	21.99	20.96	21.98	22	21.98	22
14	18.25	5.00E+02	0	20.19	0.00E+00	0.26	20.16	19.98	20.19	19.98	19.98	19.98	19.98	21.66	0.00E+00	103.34	20.28	21.96	20.91	21.95	21.97	21.95	21.97
15	18.34	5.00E+02	0	20.16	0.00E+00	0.2	20.13	19.97	20.16	19.97	19.97	19.97	19.97	21.61	0.00E+00	102.63	20.25	21.94	20.88	21.93	21.95	21.93	21.95
16	18.43	5.00E+02	0	20.13	0.00E+00	0.13	20.1	19.97	20.13	19.97	19.97	19.97	19.97	21.57	0.00E+00	101.83	20.22	21.91	20.84	21.91	21.92	21.91	21.92
17	18.52	5.00E+02	0	20.1	0.00E+00	0.06	20.09	19.97	20.1	19.97	19.97	19.97	19.97	21.53	0.00E+00	100.96	20.21	21.89	20.82	21.88	21.9	21.88	21.9
18	18.61	5.00E+02	0	20.08	1.00E-02	0	20.07	19.97	20.08	19.97	19.97	19.97	19.97	21.5	0.00E+00	100.03	20.19	21.87	20.79	21.86	21.88	21.86	21.88
19	18.7	5.00E+02	0	20.07	7.00E-02	0	20.06	19.97	20.07	19.97	19.97	19.97	19.97	21.47	0.00E+00	99.05	20.18	21.85	20.77	21.84	21.85	21.84	21.85
20	18.79	5.00E+02	0	20.05	1.40E-01	0	20.05	19.97	20.06	19.97	19.97	19.97	19.97	21.44	0.00E+00	98.04	20.16	21.83	20.75	21.82	21.83	21.82	21.83
21	18.88	5.00E+02	0	20.04	2.00E-01	0	20.04	19.97	20.05	19.97	19.97	19.97	19.97	21.42	0.00E+00	97.02	20.16	21.81	20.73	21.8	21.81	21.8	21.81
22	18.97	5.00E+02	0	20.03	2.60E-01	0	20.03	19.97	20.04	19.97	19.97	19.97	19.97	21.39	0.00E+00	96	20.15	21.78	20.72	21.78	21.79	21.78	21.79
23	19.06	5.00E+02	0	20.03	3.10E-01	0	20.03	19.97	20.03	19.97	19.97	19.97	19.97	21.37	0.00E+00	94.93	20.14	21.76	20.71	21.76	21.77	21.76	21.77
24	19.15	5.00E+02	0	20.02	3.60E-01	0	20.02	19.97	20.02	19.97	19.97	19.97	19.97	21.35	0.00E+00	93.89	20.14	21.74	20.69	21.74	21.75	21.74	21.75
25	19.23	5.00E+02	0	20.01	4.00E-01	0	20.02	19.97	20.02	19.97	19.97	19.97	19.97	21.33	0.00E+00	92.83	20.13	21.72	20.68	21.72	21.73	21.72	21.73
26	19.32	5.00E+02	0	20.01	4.40E-01	0	20.01	19.97	20.01	19.97	19.97	19.97	19.97	21.31	0.00E+00	91.79	20.13	21.7	20.67	21.7	21.71	21.7	21.71
27	19.41	5.00E+02	0	20.01	4.70E-01	0	20.01	19.97	20.01	19.97	19.97	19.97	19.97	21.29	0.00E+00	90.75	20.12	21.69	20.66	21.68	21.69	21.68	21.69
28	19.5	5.00E+02	0	20	5.10E-01	0	20.01	19.97	20.01	19.97	19.97	19.97	19.97	21.28	0.00E+00	89.71	20.12	21.67	20.65	21.67	21.67	21.67	21.67
29	19.59	5.00E+02	0	20	5.40E-01	0	20.01	19.97	20.01	19.97	19.97	19.97	19.97	21.26	0.00E+00	88.68	20.12	21.65	20.64	21.65	21.65	21.65	21.65
30	19.67	5.00E+02	0	20	5.60E-01	0	20.01	19.97	20	19.97	19.97	19.97	19.97	21.24	0.00E+00	87.66	20.11	21.63	20.63	21.63	21.63	21.63	21.63
31	19.76	5.00E+02	0	20	5.90E-01	0	20.01	19.97	20	19.97	19.97	19.97	19.97	21.23	0.00E+00	86.64	20.11	21.61	20.62	21.61	21.61	21.61	21.61
32	19.85	5.00E+02	0	20	6.10E-01	0	20	19.97	20	19.97	19.97	19.97	19.97	21.21	0.00E+00	85.64	20.11	21.59	20.61	21.59	21.59	21.59	21.59
33	19.93	5.00E+02	0	19.99	6.30E-01	0	20	19.97	20	19.97	19.97	19.97	19.97	21.2	0.00E+00	84.65	20.11	21.57	20.61	21.57	21.57	21.57	21.57
34	20	4.97E+02	0	19.99	6.50E-01	0	20	19.97	20	19.97	19.97	19.97	19.97	21.18	0.00E+00	83.67	20.11	21.56	20.6	21.56	21.56	21.56	21.56
35	20	4.85E+02	0	19.99	6.70E-01	0	20	19.97	20	19.97	19.97	19.97	19.97	21.17	0.00E+00	82.71	20.1	21.54	20.59	21.54	21.54	21.54	21.54
36	20	4.73E+02	0	19.99	6.80E-01	0	20	19.97	20	19.97	19.97	19.97	19.97	21.15	0.00E+00	81.75	20.1	21.52	20.58	21.52	21.52	21.52	21.52
37	20	4.62E+02	0	19.99	6.90E-01	0	20	19.97	20	19.97	19.97	19.97	19.97	21.14	0.00E+00	80.8	20.1	21.5	20.58	21.51	21.5	21.51	21.5
38	20	4.51E+02	0	19.99	7.10E-01	0	20	19.97	20	19.97	19.97	19.97	19.97	21.13	0.00E+00	79.86	20.1	21.49	20.57	21.49	21.49	21.49	21.49
39	20	4.41E+02	0	19.99	7.20E-01	0	20	19.97	20	19.97	19.97	19.97	19.97	21.11	0.00E+00	78.94	20.1	21.47	20.56	21.47	21.47	21.47	21.47
40	20	4.31E+02	0	19.99	7.30E-01	0	20	19.97	20	19.98	19.98	19.98	19.98	21.1	0.00E+00	78.02	20.1	21.45	20.56	21.46	21.45	21.46	21.45
41	20	4.21E+02	0	19.99	7.30E-01	0	20	19.97	20	19.98	19.98	19.98	19.98	21.09	0.00E+00	77.13	20.1	21.44	20.55	21.44	21.44	21.44	21.44
42	20	4.11E+02	0	19.99	7.40E-01	0	20	19.98	20	19.98	19.98	19.98	19.98	21.08	0.00E+00	76.24	20.09	21.42	20.54	21.42	21.42	21.42	21.42
43	20	4.01E+02	0	19.99	7.50E-01	0	20	19.98	20	19.98	19.98	19.98	19.98	21.06	0.00E+00	75.36	20.09	21.41	20.54	21.41	21.4	21.41	21.4
44	20	3.92E+02	0	19.99	7.50E-01	0	20	19.98	20	19.98	19.98	19.98	19.98	21.05	0.00E+00	74.49	20.09	21.39	20.53	21.39	21.39	21.39	21.39
45	20	3.83E+02	0	19.99	7.50E-01	0	20	19.98	20	19.98	19.98	19.98	19.98	21.04	0.00E+00	73.63	20.09	21.37	20.53	21.38	21.37	21.38	21.37
46	20	3.74E+02	0	19.99	7.60E-01	0	20	19.98	20	19.98	19.98	19.98	19.98	21.03	0.00E+00	72.78	20.09	21.36	20.52	21.36	21.36	21.36	21.36
47	20	3.66E+02	0	19.99	7.60E-01	0	20	19.98	20	19.98	19.98	19.98	19.98	21.01	0.00E+00	71.94	20.09	21.34	20.51	21.35	21.34	21.35	21.34
