Zeit [h]	Variante 11.1 Raumlufttemperatur [C]	Variante 11.1 Strahlungstemperatur [C]	Variante 11.1 Trans.Strahlung.Fenster [W]	Variante 11.2 Raumlufttemperatur [C]	Variante 11.2 Strahlungstemperatur [C]	Variante 11.2 Heizleistung [W]	Variante 11.2 Trans.Strahlung.Fenster [W]	Variante 11.3 Raumlufttemperatur [C]	Variante 11.3 Strahlungstemperatur [C]	Variante 11.3 Heizleistung [W]	Variante 11.3 Trans.Strahlung.Fenster [W]	Variante 11.4 Raumlufttemperatur [C]	Variante 11.4 Strahlungstemperatur [C]	Variante 11.4 Heizleistung [W]	Variante 11.4 Trans.Strahlung.Fenster [W]	Variante 11.5 Raumlufttemperatur [C]	Variante 11.5 Strahlungstemperatur [C]	Variante 11.5 Heizleistung [W]	Variante 11.5 Trans.Strahlung.Fenster [W]
0	4.32	0	0	21	0	513.59	0	21	0	531.75	0	21	0	522.76	0	21	0	643.25	0
1	4.32	0	0	21	0	513.59	0	21	0	531.75	0	21	0	522.76	0	21	0	643.25	0
2	4.25	0	0	21	0	520.13	0	21	0	537.87	0	21	0	529.1	0	21	0	656.22	0
3	4.19	0	0	21	0	523.77	0	21	0	541.1	0	21	0	532.54	0	21	0	663.24	0
4	4.19	0	0	21	0	520.34	0	21	0	537.27	0	21	0	528.91	0	21	0	656.03	0
5	4.18	0	0	21	0	517.75	0	21	0	534.29	0	21	0	526.13	0	21	0	650.19	0
6	4.17	0	0	21	0	516.52	0	21	0	532.68	0	21	0	524.7	0	21	0	646.72	0
7	4.17	0	0	21	0	512.75	0	21	0	528.53	0	21	0	479.58	0	21	0	597.01	0
8	4.17	0	0	21	0	511.05	0	21	0	526.47	0	21	0	422.97	0	21	0	537.85	0
9	4.16	0	17.16	21	0	508.76	17.16	21	0	523.82	17.16	21	0	378.54	17.16	21	0	491.88	17.16
10	4.2	0	68.63	21	0	500.85	68.63	21	0	515.56	68.63	21	0	369.47	68.63	21	0	479.75	68.63
11	4.25	0	107.62	21	0	491.32	107.62	21	0	505.69	107.62	21	0	359.02	107.62	21	0	465.73	107.62
12	4.3	0	143.49	21	0	482.55	143.49	21	0	496.6	143.49	21	0	375.79	143.49	21	0	480.46	143.49
13	4.26	0	65.51	21	0	485.92	65.51	21	0	499.64	65.51	21	0	378.69	65.51	21	0	483.86	65.51
14	4.26	0	51.47	21	0	484.41	51.47	21	0	497.81	51.47	21	0	350.34	51.47	21	0	452.96	51.47
15	4.25	0	38.99	21	0	483.71	38.99	21	0	496.8	38.99	21	0	348.89	38.99	21	0	449.98	38.99
16	4.22	0	9.36	21	0	484.61	9.36	21	0	497.4	9.36	21	0	349.12	9.36	21	0	448.67	9.36
17	4.2	0	0	21	0	485.02	0	21	0	497.51	0	21	0	390.05	0	21	0	488.59	0
18	4.19	0	0	21	0	484.85	0	21	0	497.05	0	21	0	444.01	0	21	0	542.04	0
19	4.17	0	0	21	0	485.78	0	21	0	497.7	0	21	0	486.34	0	21	0	585.38	0
20	4.16	0	0	21	0	484.32	0	21	0	495.96	0	21	0	485.3	0	21	0	583.32	0
