Zeit [h]	Variante 11.1 Raumlufttemperatur [C]	Variante 11.1 Strahlungstemperatur [C]	Variante 11.1 Trans.Strahlung.Fenster [W]	Variante 11.2 Raumlufttemperatur [C]	Variante 11.2 Strahlungstemperatur [C]	Variante 11.2 Heizleistung [W]	Variante 11.2 Trans.Strahlung.Fenster [W]	Variante 11.3 Raumlufttemperatur [C]	Variante 11.3 Strahlungstemperatur [C]	Variante 11.3 Heizleistung [W]	Variante 11.3 Trans.Strahlung.Fenster [W]	Variante 11.4 Raumlufttemperatur [C]	Variante 11.4 Strahlungstemperatur [C]	Variante 11.4 Heizleistung [W]	Variante 11.4 Trans.Strahlung.Fenster [W]	Variante 11.5 Raumlufttemperatur [C]	Variante 11.5 Strahlungstemperatur [C]	Variante 11.5 Heizleistung [W]	Variante 11.5 Trans.Strahlung.Fenster [W]
0.5	19.951	19.951	0	21	20.088	141	0	21	20.088	141	0	21	20.088	141	0	21	20.088	254	0
1.5	19.851	19.851	0	21	20.02	152	0	21	20.02	152	0	21	20.02	152	0	21	20.02	273	0
2.5	19.746	19.746	0	21	19.95	163	0	21	19.95	163	0	21	19.95	163	0	21	19.95	289	0
3.5	19.638	19.638	0	21	19.878	174	0	21	19.878	174	0	21	19.878	174	0	21	19.878	300	0
4.5	19.533	19.533	0	21	19.812	184	0	21	19.812	184	0	21	19.812	184	0	21	19.812	307	0
5.5	19.431	19.431	0	21	19.748	194	0	21	19.748	194	0	21	19.748	194	0	21	19.748	314	0
6.5	19.332	19.332	0	21	19.688	203	0	21	19.688	203	0	21	19.696	162	0	21	19.696	279	0
7.5	19.236	19.236	0	21	19.632	212	0	21	19.632	212	0	21	19.652	116	0	21	19.652	229	0
8.5	19.157	19.157	14	21	19.592	218	14	21	19.592	218	14	21	19.624	81	14	21	19.624	192	14
9.5	19.109	19.11	56	21	19.58	220	56	21	19.58	220	56	21	19.616	82	56	21	19.616	191	56
10.5	19.062	19.062	88	21	19.568	222	88	21	19.568	222	88	21	19.608	83	88	21	19.608	189	88
11.5	19.02	19.02	118	21	19.562	223	118	21	19.562	223	118	21	19.598	110	118	21	19.598	213	118
12.5	18.894	18.894	54	21	19.482	235	54	21	19.482	235	54	21	19.522	122	54	21	19.522	224	54
13.5	18.81	18.81	42	21	19.44	242	42	21	19.44	242	42	21	19.488	102	42	21	19.488	203	42
14.5	18.726	18.726	32	21	19.398	248	32	21	19.398	248	32	21	19.452	107	32	21	19.452	207	32
15.5	18.63	18.63	8	21	19.348	256	8	21	19.348	256	8	21	19.404	115	8	21	19.404	213	8
16.5	18.547	18.547	0	21	19.31	262	0	21	19.31	262	0	21	19.36	161	0	21	19.36	258	0
17.5	18.472	18.472	0	21	19.278	267	0	21	19.278	267	0	21	19.32	220	0	21	19.32	316	0
18.5	18.397	18.397	0	21	19.248	272	0	21	19.248	272	0	21	19.282	266	0	21	19.282	363	0
19.5	18.322	18.322	0	21	19.218	276	0	21	19.218	276	0	21	19.25	271	0	21	19.25	367	0
20.5	18.248	18.248	0	21	19.19	281	0	21	19.19	281	0	21	19.222	276	0	21	19.222	371	0
21.5	18.175	18.175	0	21	19.162	285	0	21	19.162	285	0	21	19.194	280	0	21	19.194	376	0
22.5	18.101	18.101	0	21	19.136	289	0	21	19.136	289	0	21	19.166	284	0	21	19.166	380	0
23.5	18.029	18.029	0	21	19.11	293	0	21	19.11	293	0	21	19.138	289	0	21	19.138	384	0
24.5	17.956	17.956	0	21	19.084	297	0	21	19.084	297	0	21	19.112	293	0	21	19.112	388	0
25.5	17.885	17.885	0	21	19.06	301	0	21	19.06	301	0	21	19.088	296	0	21	19.088	390	0
26.5	17.816	17.816	0	21	19.038	304	0	21	19.038	304	0	21	19.066	300	0	21	19.066	392	0
27.5	17.748	17.748	0	21	19.018	307	0	21	19.018	307	0	21	19.044	303	0	21	19.044	396	0
28.5	17.679	17.679	0	21	18.996	311	0	21	18.996	311	0	21	19.022	307	0	21	19.022	400	0
29.5	17.61	17.61	0	21	18.976	314	0	21	18.976	314	0	21	19	310	0	21	19	404	0
30.5	17.541	17.541	0	21	18.954	317	0	21	18.954	317	0	21	18.988	272	0	21	18.988	368	0
31.5	17.47	17.47	0	21	18.932	320	0	21	18.932	320	0	21	18.978	221	0	21	18.978	317	0
32.5	17.575	17.575	182	21	19.064	300	182	21	19.064	300	182	21	19.118	159	182	21	19.118	255	182
33.5	18.275	18.275	949	21	19.71	200	949	21	19.336	258	503	21	19.394	116	503	21	19.394	213	503
34.5	18.538	18.538	1136	21	19.962	161	1136	21	19.458	239	600	21	19.518	97	600	21	19.518	192	600
35.5	19.475	19.475	1989	21	20.794	32	1989	21	19.876	174	1038	21	19.936	58	1038	21	19.936	154	1038
36.5	19.319	19.319	1575	21	20.658	53	1575	21	19.796	187	823	21	19.858	70	823	21	19.858	168	823
37.5	19.942	19.942	2037	21.231	21.231	0	2037	21	20.072	144	1068	21	20.142	0	1068	21	20.142	101	1068
38.5	19.745	19.745	1579	21.029	21.029	0	1579	21	19.97	160	832	21	20.044	16	832	21	20.044	120	832
39.5	18.408	18.408	22	21	19.858	177	22	21	19.352	256	22	21	19.426	111	22	21	19.426	221	22
40.5	18.302	18.302	0	21	19.784	188	0	21	19.292	265	0	21	19.362	161	0	21	19.362	275	0
41.5	18.211	18.211	0	21	19.726	197	0	21	19.246	272	0	21	19.306	222	0	21	19.306	338	0
42.5	18.118	18.118	0	21	19.668	206	0	21	19.2	279	0	21	19.252	271	0	21	19.252	392	0
43.5	18.021	18.021	0	21	19.606	216	0	21	19.152	287	0	21	19.202	279	0	21	19.202	404	0
44.5	17.921	17.921	0	21	19.544	226	0	21	19.1	294	0	21	19.15	287	0	21	19.15	414	0
45.5	17.82	17.82	0	21	19.484	235	0	21	19.05	302	0	21	19.098	295	0	21	19.098	422	0
46.5	17.72	17.72	0	21	19.422	245	0	21	19.002	310	0	21	19.048	303	0	21	19.048	431	0
47.5	17.618	17.618	0	21	19.362	254	0	21	18.952	317	0	21	18.998	310	0	21	18.998	441	0
48.5	17.515	17.515	0	21	19.302	263	0	21	18.902	325	0	21	18.946	318	0	21	18.946	451	0
49.5	17.41	17.41	0	21	19.242	273	0	21	18.852	333	0	21	18.896	326	0	21	18.896	461	0
50.5	17.305	17.305	0	21	19.182	282	0	21	18.802	341	0	21	18.844	334	0	21	18.844	471	0
51.5	17.198	17.198	0	21	19.122	291	0	21	18.752	348	0	21	18.792	342	0	21	18.792	481	0
52.5	17.089	17.089	0	21	19.06	301	0	21	18.702	356	0	21	18.74	350	0	21	18.74	491	0
53.5	16.979	16.979	0	21	19	310	0	21	18.65	364	0	21	18.688	358	0	21	18.688	501	0
54.5	16.87	16.87	0	21	18.942	319	0	21	18.6	372	0	21	18.646	325	0	21	18.646	467	0
55.5	16.76	16.76	0	21	18.884	328	0	21	18.552	380	0	21	18.608	278	0	21	18.608	420	0
56.5	16.87	16.87	225	21	19.018	307	225	21	18.694	358	225	21	18.76	214	225	21	18.76	356	225
57.5	17.631	17.631	1086	21	19.714	199	1086	21	18.97	315	575	21	19.04	171	575	21	19.04	310	575
58.5	18.287	18.287	1691	21	20.306	108	1691	21	19.26	270	887	21	19.334	125	887	21	19.334	259	887
