Zeit [h]	Variante 11.1 Raumlufttemperatur [C]	Variante 11.1 Strahlungstemperatur [C]	Variante 11.1 Trans.Strahlung.Fenster [W]	Variante 11.2 Raumlufttemperatur [C]	Variante 11.2 Strahlungstemperatur [C]	Variante 11.2 Heizleistung [W]	Variante 11.2 Trans.Strahlung.Fenster [W]	Variante 11.3 Raumlufttemperatur [C]	Variante 11.3 Strahlungstemperatur [C]	Variante 11.3 Heizleistung [W]	Variante 11.3 Trans.Strahlung.Fenster [W]	Variante 11.4 Raumlufttemperatur [C]	Variante 11.4 Strahlungstemperatur [C]	Variante 11.4 Heizleistung [W]	Variante 11.4 Trans.Strahlung.Fenster [W]	Variante 11.5 Raumlufttemperatur [C]	Variante 11.5 Strahlungstemperatur [C]	Variante 11.5 Heizleistung [W]	Variante 11.5 Trans.Strahlung.Fenster [W]	Variante 11.6 Raumlufttemperatur [C]	Variante 11.6 Strahlungstemperatur [C]	Variante 11.6 Heizleistung [W]	Variante 11.6 Trans.Strahlung.Fenster [W]
0	19.199	19.1389	0	20.9404	19.3255	260.161	0	20.9404	19.3255	260.161	0	20.9404	19.3255	260.161	0	20.9183	19.3229	371.258	0	20.905	19.3229	418.075	0
1	19.199	19.1389	0	20.9404	19.3255	260.161	0	20.9404	19.3255	260.161	0	20.9404	19.3255	260.161	0	20.9183	19.3229	371.258	0	20.905	19.3229	418.075	0
2	19.0294	19.0232	0	20.9744	19.3191	256.568	0	20.9744	19.3191	256.568	0	20.9744	19.3191	256.568	0	20.9623	19.3168	377.334	0	20.9583	19.3168	416.787	0
3	18.9449	18.94	0	20.9741	19.3037	258.906	0	20.9741	19.3037	258.906	0	20.9741	19.3037	258.906	0	20.9615	19.3012	384.669	0	20.9581	19.3012	418.706	0
4	18.8863	18.8837	0	20.9741	19.3021	259.159	0	20.9741	19.3021	259.159	0	20.9741	19.3021	259.159	0	20.9615	19.2993	384.982	0	20.9584	19.2993	416.458	0
5	18.8445	18.8413	0	20.9742	19.306	258.568	0	20.9742	19.306	258.568	0	20.9742	19.306	258.568	0	20.9619	19.303	381.193	0	20.9588	19.303	411.736	0
6	18.7884	18.7842	0	20.9739	19.2928	260.57	0	20.9739	19.2928	260.57	0	20.9739	19.2928	260.57	0	20.9619	19.2897	380.72	0	20.9589	19.2897	411.158	0
7	18.7302	18.7269	0	20.9737	19.2785	262.766	0	20.9737	19.2785	262.766	0	20.9737	19.2785	262.766	0	20.962	19.2752	379.727	0	20.959	19.2752	410.44	0
8	18.6743	18.6701	0	20.9735	19.2634	265.067	0	20.9735	19.2634	265.067	0	20.9735	19.2634	265.067	0	20.9622	19.26	378.553	0	20.959	19.26	409.652	0
9	18.6129	18.6101	29.4678	20.9732	19.2461	267.706	29.4678	20.9732	19.2461	267.706	29.4678	20.9732	19.2461	267.706	29.4678	20.9621	19.2426	379.185	29.4678	20.959	19.2426	410.006	29.4678
10	18.5991	18.5992	108.497	20.9736	19.2717	263.801	108.497	20.9736	19.2717	263.801	108.497	20.9736	19.2717	263.801	108.497	20.9627	19.2682	373.068	108.497	20.9599	19.2682	401.328	108.497
11	18.6038	18.6045	155.895	20.9742	19.3097	258.002	155.895	20.9742	19.3097	258.002	155.895	20.9742	19.3097	258.002	155.895	20.9636	19.3061	364.075	155.895	20.961	19.3061	389.902	155.895
12	18.6102	18.609	179.467	20.9747	19.3447	252.658	179.467	20.9747	19.3447	252.658	179.467	20.9747	19.3447	252.658	179.467	20.9644	19.341	356.039	179.467	20.962	19.341	379.709	179.467
13	18.5349	18.5277	78.1624	20.9741	19.3008	259.348	78.1624	20.9741	19.3008	259.348	78.1624	20.9741	19.3008	259.348	78.1624	20.9638	19.297	361.977	78.1624	20.9612	19.297	387.575	78.1624
14	18.4431	18.4383	52.0378	20.9734	19.2544	266.435	52.0378	20.9734	19.2544	266.435	52.0378	20.9734	19.2544	266.435	52.0378	20.9632	19.2505	368.036	52.0378	20.9605	19.2505	395.158	52.0378
15	18.3715	18.3666	36.6839	20.9729	19.225	270.918	36.6839	20.9729	19.225	270.918	36.6839	20.9729	19.225	270.918	36.6839	20.9629	19.221	370.584	36.6839	20.9602	19.221	398.44	36.6839
16	18.2929	18.2876	11.4252	20.9724	19.1896	276.321	11.4252	20.9724	19.1896	276.321	11.4252	20.9724	19.1896	276.321	11.4252	20.9626	19.1856	374.494	11.4252	20.9597	19.1856	403.212	11.4252
17	18.2142	18.2093	1.23596	20.9719	19.1558	281.482	1.23596	20.9719	19.1558	281.482	1.23596	20.9719	19.1558	281.482	1.23596	20.9622	19.1517	378.449	1.23596	20.9592	19.1517	407.707	1.23596
18	18.1404	18.1356	0.136855	20.9714	19.1267	285.923	0.136855	20.9714	19.1267	285.923	0.136855	20.9714	19.1267	285.923	0.136855	20.9618	19.1225	382.157	0.136855	20.9589	19.1225	411.464	0.136855
19	18.0643	18.0592	0.00325516	20.9709	19.0954	290.709	0.00325516	20.9709	19.0954	290.709	0.00325516	20.9709	19.0954	290.709	0.00325516	20.9613	19.091	387.176	0.00325516	20.9584	19.091	416.301	0.00325516
20	17.9917	17.9875	2.16732e-05	20.9705	19.0691	294.717	2.16732e-05	20.9705	19.0691	294.717	2.16732e-05	20.9705	19.0691	294.717	2.16732e-05	20.9609	19.0647	391.166	2.16732e-05	20.958	19.0647	419.991	2.16732e-05
21	17.926	17.9216	1.84577e-07	20.9702	19.048	297.947	1.84577e-07	20.9702	19.048	297.947	1.84577e-07	20.9702	19.048	297.947	1.84577e-07	20.9606	19.0435	393.947	1.84577e-07	20.9578	19.0435	422.422	1.84577e-07
22	17.8562	17.8515	1.58221e-09	20.9698	19.0232	301.723	1.58221e-09	20.9698	19.0232	301.723	1.58221e-09	20.9698	19.0232	301.723	1.58221e-09	20.9602	19.0187	397.96	1.58221e-09	20.9574	19.0187	426.053	1.58221e-09
23	17.7899	17.7859	2.23776e-11	20.9695	19.0029	304.826	2.23776e-11	20.9695	19.0029	304.826	2.23776e-11	20.9695	19.0029	304.826	2.23776e-11	20.9599	18.9982	400.824	2.23776e-11	20.9571	18.9982	428.53	2.23776e-11
24	17.7239	17.7192	1.2935e-13	20.9692	18.9814	308.096	1.2935e-13	20.9692	18.9814	308.096	1.2935e-13	20.9692	18.9814	308.096	1.2935e-13	20.9596	18.9767	404.119	1.2935e-13	20.9569	18.9767	431.429	1.2935e-13
25	17.6586	17.6549	0	20.9689	18.9628	310.946	0	20.9689	18.9628	310.946	0	20.9689	18.9628	310.946	0	20.9593	18.958	406.706	0	20.9566	18.958	433.624	0
26	17.6097	17.607	0	20.9688	18.9587	311.569	0	20.9688	18.9587	311.569	0	20.9688	18.9587	311.569	0	20.9595	18.9539	405.121	0	20.9568	18.9539	431.667	0
27	17.5587	17.5546	0	20.9687	18.9498	312.93	0	20.9687	18.9498	312.93	0	20.9687	18.9498	312.93	0	20.9595	18.9449	405.024	0	20.9569	18.9449	431.185	0
28	17.4902	17.4854	0	20.9684	18.9258	316.595	0	20.9684	18.9258	316.595	0	20.9684	18.9258	316.595	0	20.9591	18.9208	409.42	0	20.9565	18.9208	435.165	0
29	17.4202	17.4159	0	20.968	18.9026	320.135	0	20.968	18.9026	320.135	0	20.968	18.9026	320.135	0	20.9586	18.8975	413.702	0	20.9561	18.8975	439.017	0
30	17.3518	17.347	0	20.9676	18.88	323.575	0	20.9676	18.88	323.575	0	20.9676	18.88	323.575	0	20.9582	18.8749	417.916	0	20.9557	18.8749	442.785	0
31	17.2756	17.2705	0	20.9672	18.8512	327.971	0	20.9672	18.8512	327.971	0	20.9672	18.8512	327.971	0	20.9576	18.846	424.044	0	20.9552	18.846	448.459	0
32	17.2071	17.2034	0	20.9669	18.8317	330.955	0	20.9669	18.8317	330.955	0	20.9669	18.8317	330.955	0	20.9572	18.8264	427.524	0	20.9549	18.8264	451.518	0
33	17.2141	17.2269	268.452	20.9679	18.8964	321.127	268.452	20.9677	18.8847	322.901	213.966	20.9677	18.8847	322.901	213.966	20.958	18.8793	419.774	213.966	20.9561	18.8793	438.684	213.966
34	17.6933	17.7341	1136.37	20.9754	19.3906	245.742	1136.37	20.9721	19.172	279.058	681.946	20.9721	19.172	279.058	681.946	20.9624	19.1666	375.942	681.946	20.9623	19.1666	377.104	681.946
35	18.2673	18.3047	1547.2	20.9834	19.9104	166.39	1547.2	20.9767	19.4736	233.025	928.32	20.9767	19.4736	233.025	928.32	20.9671	19.4681	328.704	928.32	20.9685	19.4681	314.704	928.32
