Zeit [h]	Variante 11.1 Raumlufttemperatur [C]	Variante 11.1 Trans.Strahlung.Fenster [W]	Variante 11.2 Raumlufttemperatur [C]	Variante 11.2 Heizleistung [W]	Variante 11.2 Trans.Strahlung.Fenster [W]	Variante 11.3 Raumlufttemperatur [C]	Variante 11.3 Heizleistung [W]	Variante 11.3 Trans.Strahlung.Fenster [W]	Variante 11.4 Raumlufttemperatur [C]	Variante 11.4 Heizleistung [W]	Variante 11.4 Trans.Strahlung.Fenster [W]	Variante 11.5 Raumlufttemperatur [C]	Variante 11.5 Heizleistung [W]	Variante 11.5 Trans.Strahlung.Fenster [W]
0	4.32	0	21	513.59	0	21	531.75	0	21	522.76	0	21	643.25	0
1	4.32	0	21	513.59	0	21	531.75	0	21	522.76	0	21	643.25	0
2	4.25	0	21	520.13	0	21	537.87	0	21	529.1	0	21	656.22	0
3	4.19	0	21	523.77	0	21	541.1	0	21	532.54	0	21	663.24	0
4	4.19	0	21	520.34	0	21	537.27	0	21	528.91	0	21	656.03	0
5	4.18	0	21	517.75	0	21	534.29	0	21	526.13	0	21	650.19	0
6	4.17	0	21	516.52	0	21	532.68	0	21	524.7	0	21	646.72	0
7	4.17	0	21	512.75	0	21	528.53	0	21	479.58	0	21	597.01	0
8	4.17	0	21	511.05	0	21	526.47	0	21	422.97	0	21	537.85	0
9	4.16	17.16	21	508.76	17.16	21	523.82	17.16	21	378.54	17.16	21	491.88	17.16
10	4.2	68.63	21	500.85	68.63	21	515.56	68.63	21	369.47	68.63	21	479.75	68.63
11	4.25	107.62	21	491.32	107.62	21	505.69	107.62	21	359.02	107.62	21	465.73	107.62
12	4.3	143.49	21	482.55	143.49	21	496.6	143.49	21	375.79	143.49	21	480.46	143.49
13	4.26	65.51	21	485.92	65.51	21	499.64	65.51	21	378.69	65.51	21	483.86	65.51
14	4.26	51.47	21	484.41	51.47	21	497.81	51.47	21	350.34	51.47	21	452.96	51.47
15	4.25	38.99	21	483.71	38.99	21	496.8	38.99	21	348.89	38.99	21	449.98	38.99
16	4.22	9.36	21	484.61	9.36	21	497.4	9.36	21	349.12	9.36	21	448.67	9.36
17	4.2	0	21	485.02	0	21	497.51	0	21	390.05	0	21	488.59	0
18	4.19	0	21	484.85	0	21	497.05	0	21	444.01	0	21	542.04	0
19	4.17	0	21	485.78	0	21	497.7	0	21	486.34	0	21	585.38	0
20	4.16	0	21	484.32	0	21	495.96	0	21	485.3	0	21	583.32	0
21	4.15	0	21	483.72	0	21	495.1	0	21	484.92	0	21	582.94	0
22	4.13	0	21	483.58	0	21	494.7	0	21	484.89	0	21	583.41	0
23	4.13	0	21	481.8	0	21	492.65	0	21	483.15	0	21	580.65	0
24	4.11	0	21	482.1	0	21	492.7	0	21	483.46	0	21	581.99	0
25	4.11	0	21	479.75	0	21	490.11	0	21	481.11	0	21	578.11	0
26	4.12	0	21	475.77	0	21	485.89	0	21	477.11	0	21	571.04	0
27	4.12	0	21	474.95	0	21	484.83	0	21	476.27	0	21	570.2	0
28	4.1	0	21	475.72	0	21	485.38	0	21	477.02	0	21	572.48	0
29	4.09	0	21	474.87	0	21	484.3	0	21	476.14	0	21	571.6	0
30	4.07	0	21	475.56	0	21	484.78	0	21	476.81	0	21	573.79	0
31	4.05	0	21	476.82	0	21	485.83	0	21	436.88	0	21	535.91	0
32	4.05	0	21	474.94	0	21	483.73	0	21	380.24	0	21	478.25	0
33	4.05	34.31	21	472.63	34.31	21	481.23	34.31	21	335.95	34.31	21	435.49	34.31
34	4.61	932.5	21	388.67	932.5	21	430.39	559.46	21	284.3	559.46	21	382.31	559.46
35	5.06	1141.34	21	329.24	1141.34	21	394.04	684.67	21	247.36	684.67	21	344.35	684.67
36	5.85	1987.71	21	220.65	1987.71	21	329.9	1191.63	21	209.09	1191.63	21	309.14	1191.63
37	6.14	1581.49	21	193.28	1581.49	21	313.98	948.34	21	193.03	948.34	21	295.11	948.34
38	6.68	2029.02	21	123.73	2029.02	21	273	1216.56	21	125.53	1216.56	21	230.16	1216.56
39	6.79	1547.76	21	121.24	1547.76	21	272.87	928.22	21	124.95	928.22	21	233.67	928.22
40	6.01	26.51	21	244.31	26.51	21	348.44	26.51	21	200.15	26.51	21	316.01	26.51
41	5.64	0	21	291.93	0	21	377.75	0	21	270.29	0	21	387.17	0
42	5.42	0	21	321.25	0	21	396.86	0	21	343.82	0	21	464.27	0
43	5.24	0	21	343.75	0	21	413.01	0	21	401.64	0	21	528.2	0
44	5.13	0	21	358.04	0	21	423.05	0	21	412.38	0	21	542.01	0
45	5.05	0	21	367.37	0	21	429.36	0	21	419.18	0	21	549.82	0
46	4.99	0	21	374.11	0	21	433.77	0	21	423.96	0	21	554.6	0
47	4.93	0	21	382.13	0	21	439.9	0	21	430.4	0	21	563.08	0
48	4.86	0	21	390.78	0	21	446.92	0	21	437.68	0	21	573.42	0
49	4.8	0	21	397.03	0	21	451.7	0	21	442.7	0	21	579.46	0
50	4.74	0	21	405.25	0	21	458.56	0	21	449.78	0	21	589.6	0
51	4.69	0	21	410.77	0	21	462.79	0	21	454.22	0	21	594.55	0
52	4.62	0	21	419.44	0	21	470.22	0	21	461.86	0	21	605.76	0
53	4.56	0	21	426.04	0	21	475.62	0	21	467.45	0	21	612.88	0
54	4.5	0	21	432.1	0	21	480.52	0	21	472.55	0	21	619	0
55	4.46	0	21	436.05	0	21	483.35	0	21	434.41	0	21	579.84	0
56	4.41	0	21	442.13	0	21	488.34	0	21	384.85	0	21	531.29	0
57	4.39	26.51	21	442.63	26.51	21	487.76	26.51	21	342.48	26.51	21	486.89	26.51
58	5.01	1060.37	21	349.3	1060.37	21	431.3	636.02	21	285.21	636.02	21	425.03	636.02
59	5.76	1677.64	21	248.36	1677.64	21	369.26	1005.83	21	222.58	1005.83	21	356.28	1005.83
60	6.42	1964	21	163.93	1964	21	317.21	1177.36	21	196.41	1177.36	21	324.49	1177.36
61	6.41	1121.42	21	180.41	1121.42	21	325.46	672.94	21	204.51	672.94	21	326.98	672.94
62	6.97	1973.97	21	103.6	1973.97	21	281.35	1183.37	21	133.88	1183.37	21	259.41	1183.37
63	6.92	1210.76	21	125.94	1210.76	21	295.88	726.24	21	147.96	726.24	21	275.03	726.24
64	6.25	43.67	21	230.49	43.67	21	359.3	43.67	21	211.02	43.67	21	342.67	43.67
65	5.86	0	21	281.28	0	21	393.29	0	21	285.83	0	21	423.1	0
66	5.6	0	21	315.19	0	21	417.4	0	21	364.36	0	21	509.27	0
67	5.44	0	21	335.18	0	21	430.97	0	21	419.6	0	21	567.07	0
68	5.32	0	21	351.09	0	21	442.34	0	21	431.67	0	21	582.2	0
69	5.21	0	21	363.99	0	21	451.79	0	21	441.61	0	21	594.68	0
70	5.12	0	21	376.06	0	21	461.04	0	21	451.24	0	21	607.37	0
71	5.03	0	21	386.32	0	21	468.89	0	21	459.38	0	21	617.56	0
72	4.95	0	21	397.22	0	21	477.62	0	21	468.38	0	21	629.62	0
73	4.87	0	21	406.86	0	21	485.25	0	21	476.25	0	21	639.52	0
74	4.79	0	21	415.84	0	21	492.33	0	21	483.56	0	21	648.36	0
75	4.71	0	21	424.77	0	21	499.44	0	21	490.88	0	21	657.21	0
76	4.63	0	21	434.2	0	21	507.11	0	21	498.75	0	21	667.13	0
77	4.56	0	21	442.54	0	21	513.75	0	21	505.59	0	21	674.98	0
78	4.48	0	21	451.37	0	21	520.93	0	21	512.96	0	21	683.88	0
79	4.41	0	21	459.11	0	21	527.06	0	21	478.11	0	21	649.54	0
80	4.33	0	21	467.86	0	21	534.23	0	21	430.74	0	21	603.71	0
81	4.25	21.84	21	475.66	21.84	21	540.5	21.84	21	395.22	21.84	21	570.73	21.84
82	4.94	1194.85	21	371.18	1194.85	21	477.24	716.59	21	331.14	716.59	21	501.05	716.59
83	5.77	1885.37	21	257.44	1885.37	21	406.84	1130.24	21	260.16	1130.24	21	421.39	1130.24
84	6.6	2268.54	21	150.91	2268.54	21	338.54	1359.7	21	217.73	1359.7	21	365.19	1359.7
85	7.35	2400.56	21	57.55	2400.56	21	274.76	1438.77	21	153.81	1438.77	21	279.85	1438.77
86	7.75	2314.45	21	17.16	2314.45	21	253.35	1387.26	21	105.88	1387.26	21	236.5	1387.26
87	7.92	1996.96	21	8.16	1996.96	21	250.14	1197.24	21	102.22	1197.24	21	236.42	1197.24
88	7.15	404.1	21	131.6	404.1	21	311.94	404.1	21	163.66	404.1	21	302.44	404.1
89	6.56	0	21	214.72	0	21	370.66	0	21	263.2	0	21	404.54	0
90	6.24	0	21	255.97	0	21	397.83	0	21	344.79	0	21	486.64	0
91	6.04	0	21	282.2	0	21	414.92	0	21	403.55	0	21	545.9	0
92	5.89	0	21	301.69	0	21	427.97	0	21	417.31	0	21	561.19	0
93	5.76	0	21	319.45	0	21	440.87	0	21	430.69	0	21	578.65	0
94	5.62	0	21	336.82	0	21	454.3	0	21	444.49	0	21	598.58	0
95	5.52	0	21	349.56	0	21	463.67	0	21	454.17	0	21	611.32	0
96	5.45	0	21	358.8	0	21	469.9	0	21	460.66	0	21	618.32	0
97	5.35	0	21	371.87	0	21	480.18	0	21	471.18	0	21	633.43	0
98	5.31	0	21	375.73	0	21	481.41	0	21	472.63	0	21	630.8	0
99	5.23	0	21	386.28	0	21	489.44	0	21	480.88	0	21	641.6	0
100	5.16	0	21	395.2	0	21	495.94	0	21	487.57	0	21	649.31	0
101	5.09	0	21	403.45	0	21	501.83	0	21	493.66	0	21	655.91	0
102	4.99	0	21	415.3	0	21	511.39	0	21	503.42	0	21	669.74	0
103	4.94	0	21	421.23	0	21	515.1	0	21	466.15	0	21	630.95	0
104	4.84	0	21	432.35	0	21	524.04	0	21	420.54	0	21	588.91	0
105	4.8	26.51	21	436.79	26.51	21	526.36	26.51	21	381.08	26.51	21	548.94	26.51
106	5.37	1001.04	21	350.54	1001.04	21	473.83	600.44	21	327.74	600.44	21	490.5	600.44
107	6.24	1873.58	21	229.7	1873.58	21	398.95	1123.18	21	252.27	1123.18	21	406.87	1123.18
108	7.19	2351.49	21	105.05	2351.49	21	316.13	1409.39	21	195.32	1409.39	21	328.5	1409.39
109	7.95	2429.5	21	13.66	2429.5	21	253.86	1456.18	21	132.91	1456.18	21	246.7	1456.18
110	8.33	2337.04	21.16	0	2337.04	21	236.04	1400.83	21	88.57	1400.83	21	211.03	1400.83
111	8.54	2024.64	21.27	0	2024.64	21	226.92	1213.84	21	79.01	1213.84	21	200.45	1213.84
112	7.78	406.69	21	81.02	406.69	21	287.79	406.69	21	139.51	406.69	21	264.52	406.69
113	7.16	0	21	172.88	0	21	351.12	0	21	243.66	0	21	375.81	0
114	6.8	0	21	220.51	0	21	383.75	0	21	330.72	0	21	468.99	0
115	6.59	0	21	247.53	0	21	400.92	0	21	389.55	0	21	528.84	0
116	6.43	0	21	269.83	0	21	416.18	0	21	405.51	0	21	548.89	0
117	6.32	0	21	284.11	0	21	425.06	0	21	414.88	0	21	558.76	0
118	6.24	0	21	294.82	0	21	431.34	0	21	421.53	0	21	564.9	0
119	6.16	0	21	305.16	0	21	437.84	0	21	428.34	0	21	572.22	0
120	6.12	0	21	310.37	0	21	439.6	0	21	430.36	0	21	570.67	0
121	6.05	0	21	320.29	0	21	446.3	0	21	437.3	0	21	579.14	0
122	6.06	0	21	319.17	0	21	442.14	0	21	433.36	0	21	566.53	0
123	6.05	0	21	320.74	0	21	440.79	0	21	432.22	0	21	559.78	0
