Zeit [h]	Var12.1.Buero110.OperativeTemperatur [C]	Var12.1.Buero110.Heizleistung [W]	Var12.2.Buero110.OperativeTemperatur [C]	Var12.2.Buero110.Heizleistung [W]	Var12.2.Buero108.OperativeTemperatur [C]	Var12.2.Buero108.Heizleistung [W]	Var12.3.Buero110.OperativeTemperatur [C]	Var12.3.Buero110.Heizleistung [W]	Var12.3.Buero108.OperativeTemperatur [C]	Var12.3.Buero108.Heizleistung [W]
0.5	20.616	566	20.657	687	20.657	709	20.65	699	20.65	720
1.5	20.617	555	20.676	660	20.675	690	20.674	663	20.674	691
2.5	20.614	544	20.687	640	20.688	673	20.685	643	20.687	675
3.5	20.608	527	20.694	619	20.699	650	20.692	621	20.698	651
4.5	20.6	508	20.698	596	20.71	623	20.697	598	20.709	624
5.5	20.592	493	20.702	577	20.72	599	20.701	579	20.719	600
6.5	20.587	439	20.706	520	20.731	535	20.705	522	20.73	536
7.5	20.582	373	20.711	452	20.742	459	20.71	453	20.742	460
8.5	20.584	316	20.721	390	20.756	394	20.72	391	20.755	395
9.5	20.601	280	20.744	346	20.774	359	20.743	347	20.774	360
10.5	20.618	242	20.766	302	20.791	324	20.766	303	20.791	325
11.5	20.637	230	20.789	283	20.808	315	20.788	284	20.807	316
12.5	20.609	247	20.769	307	20.804	319	20.769	308	20.803	319
13.5	20.601	221	20.768	282	20.81	283	20.767	282	20.81	283
14.5	20.592	220	20.764	282	20.815	271	20.764	282	20.814	271
15.5	20.573	230	20.753	294	20.815	267	20.753	295	20.815	267
16.5	20.557	275	20.744	341	20.816	300	20.744	341	20.815	300
17.5	20.543	331	20.737	397	20.816	346	20.737	398	20.815	346
18.5	20.529	377	20.73	444	20.816	382	20.73	444	20.815	382
19.5	20.518	383	20.726	449	20.818	378	20.726	449	20.817	378
20.5	20.509	387	20.723	452	20.82	373	20.723	452	20.82	374
21.5	20.5	392	20.72	456	20.822	370	20.72	456	20.822	371
22.5	20.492	396	20.717	459	20.824	367	20.717	459	20.823	367
23.5	20.484	400	20.715	462	20.825	364	20.715	462	20.825	364
24.5	20.477	404	20.713	463	20.827	361	20.713	464	20.826	361
25.5	20.47	403	20.712	461	20.828	354	20.712	461	20.828	355
26.5	20.464	403	20.711	459	20.83	349	20.711	459	20.83	349
27.5	20.459	407	20.71	462	20.831	348	20.71	462	20.831	348
28.5	20.454	411	20.71	464	20.833	348	20.71	464	20.832	348
29.5	20.448	416	20.708	467	20.833	348	20.708	467	20.833	348
30.5	20.444	383	20.709	432	20.835	310	20.709	432	20.835	310
31.5	20.44	334	20.709	382	20.837	258	20.709	382	20.837	258
32.5	20.541	186	20.804	204	20.881	153	20.804	204	20.881	153
33.5	21.225	0	21.489	0	21.252	0	21.473	0	21.245	0
34.5	20.621	82	20.877	86	20.923	87	20.875	88	20.923	88
35.5	20.623	104	20.877	111	20.945	83	20.876	113	20.944	84
36.5	20.599	132	20.856	148	20.947	88	20.855	150	20.946	89
37.5	20.6	111	20.857	127	20.966	43	20.856	129	20.965	44
38.5	21.454	0	21.691	0	21.918	0	21.666	0	21.894	0
39.5	20.668	39	20.923	39	21.061	0	20.92	44	21.057	0
40.5	20.615	136	20.873	156	20.997	54	20.871	160	20.995	57
41.5	20.572	230	20.837	261	20.976	135	20.835	265	20.974	138
42.5	20.531	312	20.805	353	20.956	207	20.803	356	20.954	210
43.5	20.495	352	20.777	400	20.939	239	20.775	403	20.937	241
44.5	20.461	385	20.752	438	20.922	264	20.75	440	20.921	266
45.5	20.43	411	20.729	469	20.907	284	20.728	471	20.906	286
46.5	20.402	436	20.71	497	20.894	304	20.709	499	20.892	306
47.5	20.375	461	20.692	525	20.881	325	20.691	526	20.88	327
48.5	20.349	484	20.676	550	20.868	345	20.675	551	20.867	346
49.5	20.325	505	20.661	572	20.857	363	20.66	573	20.856	364
50.5	20.302	524	20.647	593	20.846	380	20.646	593	20.845	381
51.5	20.28	542	20.634	612	20.835	397	20.634	612	20.835	398
52.5	20.259	561	20.622	631	20.826	413	20.621	631	20.825	414
53.5	20.239	576	20.61	647	20.816	427	20.61	647	20.816	428
54.5	20.222	548	20.602	618	20.81	397	20.602	619	20.809	398
55.5	20.208	506	20.597	576	20.805	354	20.596	576	20.805	355
56.5	20.328	333	20.71	366	20.854	238	20.71	366	20.853	239
57.5	20.87	0	21.282	0	21.181	0	21.272	0	21.175	0
58.5	20.401	220	20.779	239	20.895	161	20.778	241	20.895	162
59.5	20.387	248	20.766	273	20.907	161	20.765	275	20.906	162
60.5	20.354	274	20.737	308	20.897	170	20.736	310	20.897	171
61.5	20.361	242	20.744	274	20.921	111	20.744	275	20.92	112
62.5	20.737	0	21.137	0	21.536	0	21.129	0	21.521	0
63.5	20.397	207	20.78	229	20.953	74	20.778	231	20.952	76
64.5	20.347	305	20.735	342	20.928	158	20.734	344	20.926	160
65.5	20.311	401	20.706	446	20.909	245	20.705	447	20.907	247
66.5	20.276	479	20.679	531	20.891	316	20.678	532	20.889	317
67.5	20.245	512	20.656	568	20.875	341	20.655	569	20.874	343
68.5	20.217	542	20.636	601	20.861	366	20.635	602	20.86	367
69.5	20.19	569	20.617	632	20.847	389	20.617	632	20.846	391
70.5	20.164	594	20.6	659	20.834	411	20.6	659	20.833	412
71.5	20.14	617	20.585	683	20.822	431	20.584	684	20.821	432
72.5	20.117	639	20.57	706	20.81	451	20.57	707	20.809	452
73.5	20.096	658	20.557	726	20.799	468	20.557	726	20.798	469
74.5	20.075	675	20.545	744	20.789	484	20.545	744	20.788	485
75.5	20.055	691	20.534	761	20.779	499	20.533	761	20.779	500
76.5	20.036	706	20.523	776	20.77	513	20.523	776	20.77	514
77.5	20.018	720	20.513	790	20.762	526	20.513	790	20.761	527
78.5	20.003	693	20.506	762	20.756	498	20.506	763	20.755	498
79.5	19.991	652	20.501	720	20.751	455	20.501	720	20.751	456
80.5	20.195	392	20.691	401	20.834	292	20.691	402	20.833	293
81.5	20.637	0	21.21	0	21.104	0	21.203	0	21.101	0
82.5	20.222	327	20.715	340	20.856	246	20.714	341	20.855	247
83.5	20.209	346	20.702	365	20.871	232	20.701	366	20.871	232
84.5	20.197	330	20.691	354	20.887	182	20.69	354	20.887	182
85.5	20.196	300	20.688	324	20.902	128	20.688	324	20.902	128
86.5	20.184	326	20.677	353	20.904	138	20.676	353	20.904	139
87.5	20.25	265	20.737	273	20.971	44	20.736	274	20.97	45
88.5	20.144	423	20.64	461	20.876	234	20.64	462	20.876	234
89.5	20.118	502	20.62	545	20.861	306	20.619	545	20.861	306
90.5	20.095	566	20.601	611	20.848	363	20.601	611	20.847	363
91.5	20.076	588	20.587	635	20.837	380	20.587	635	20.836	380
92.5	20.058	612	20.574	659	20.826	400	20.574	660	20.826	400
93.5	20.041	638	20.562	686	20.816	423	20.562	686	20.816	423
94.5	20.024	661	20.551	711	20.806	444	20.55	711	20.805	445
95.5	20.007	679	20.54	728	20.796	460	20.54	729	20.796	460
96.5	19.992	696	20.53	746	20.787	477	20.53	746	20.787	477
97.5	19.977	708	20.521	759	20.778	488	20.521	759	20.778	488
98.5	19.964	717	20.513	768	20.77	497	20.513	768	20.77	497
99.5	19.951	730	20.506	780	20.763	509	20.506	780	20.763	509
100.5	19.94	740	20.499	790	20.756	519	20.499	790	20.756	519
101.5	19.928	752	20.493	802	20.75	531	20.492	802	20.75	532
102.5	19.92	722	20.489	771	20.746	501	20.489	771	20.746	502
103.5	19.913	678	20.486	726	20.743	457	20.486	726	20.743	457
104.5	20.078	463	20.639	463	20.809	319	20.639	463	20.809	319
105.5	20.413	94	20.938	8	20.991	30	20.938	8	20.991	30
106.5	20.124	385	20.671	393	20.836	264	20.671	393	20.836	264
107.5	20.123	386	20.668	396	20.857	234	20.668	396	20.857	234
108.5	20.121	359	20.664	370	20.876	177	20.664	370	20.876	177
109.5	20.128	327	20.668	337	20.894	125	20.668	337	20.894	125
110.5	20.124	347	20.662	358	20.898	132	20.662	358	20.898	132
111.5	20.2	275	20.728	265	20.967	29	20.728	265	20.967	29
112.5	20.101	431	20.636	451	20.875	220	20.636	451	20.875	220
113.5	20.081	516	20.619	540	20.861	299	20.619	540	20.861	299
114.5	20.062	582	20.602	608	20.848	361	20.602	609	20.848	361
115.5	20.046	605	20.589	634	20.838	380	20.589	634	20.838	380
116.5	20.031	625	20.577	656	20.827	398	20.577	656	20.827	398
117.5	20.017	640	20.567	671	20.818	411	20.567	671	20.818	411
118.5	20.005	652	20.558	684	20.809	422	20.558	684	20.809	422
119.5	19.994	660	20.55	692	20.801	430	20.55	692	20.801	430
120.5	19.986	668	20.545	699	20.795	437	20.545	699	20.795	437
121.5	19.982	668	20.542	698	20.79	437	20.542	698	20.79	437
122.5	19.981	659	20.542	687	20.788	429	20.542	687	20.788	429
123.5	19.983	654	20.543	680	20.787	424	20.543	680	20.787	424
124.5	19.986	650	20.546	673	20.786	421	20.546	673	20.786	421
125.5	19.99	643	20.549	663	20.785	415	20.549	663	20.785	415
126.5	19.999	599	20.556	614	20.788	371	20.556	614	20.788	371
127.5	20.011	540	20.565	551	20.793	312	20.565	551	20.793	312
128.5	20.025	489	20.576	496	20.798	264	20.576	496	20.798	264
129.5	20.047	469	20.594	469	20.806	250	20.594	469	20.806	250
130.5	20.078	437	20.618	429	20.818	228	20.618	429	20.818	228
131.5	20.082	456	20.618	449	20.816	249	20.618	449	20.816	249
132.5	20.096	447	20.628	437	20.82	243	20.628	437	20.82	243
133.5	20.107	420	20.634	409	20.823	218	20.634	409	20.823	218
134.5	20.113	423	20.636	411	20.823	221	20.636	411	20.823	221
135.5	20.12	422	20.638	410	20.825	220	20.638	410	20.825	220
136.5	20.124	461	20.639	449	20.824	260	20.639	449	20.824	260
137.5	20.128	510	20.639	498	20.823	311	20.639	498	20.823	311
138.5	20.132	547	20.64	536	20.822	349	20.64	536	20.822	349
