Zeit [h]	Var12.1.Buero110.OperativeTemperatur [C]	Var12.1.Buero110.Heizleistung [W]	Var12.2.Buero110.OperativeTemperatur [C]	Var12.2.Buero110.Heizleistung [W]	Var12.2.Buero108.OperativeTemperatur [C]	Var12.2.Buero108.Heizleistung [W]	Var12.3.Buero110.OperativeTemperatur [C]	Var12.3.Buero110.Heizleistung [W]	Var12.3.Buero108.OperativeTemperatur [C]	Var12.3.Buero108.Heizleistung [W]
0	19.8514	1291.5	19.8121	1291.5	19.9209	1291.5	19.877	1291.5	19.9209	1291.5
1	20.5108	776.333	20.4819	688.435	20.6249	655.285	20.5288	862.71	20.6249	655.277
2	20.5396	726.567	20.4963	662.548	20.6575	597.835	20.5687	788.388	20.6581	597.468
3	20.5574	710.45	20.5053	661.272	20.6777	578.413	20.5945	755.217	20.6799	576.781
4	20.5777	689.152	20.5221	648.88	20.6961	557.207	20.6188	722.79	20.7	553.751
5	20.5919	663.875	20.5343	629.728	20.7092	533.652	20.636	689.234	20.715	528.048
6	20.604	646.598	20.5455	616.145	20.7216	517.073	20.65	666.538	20.7291	509.534
7	20.6217	591.648	20.5646	563.078	20.7386	462.266	20.668	608.246	20.7476	453.063
8	20.6385	520.466	20.5831	493.24	20.755	392.461	20.6846	534.42	20.7654	381.704
9	20.6603	439.974	20.6083	413.588	20.7732	323.917	20.705	451.912	20.7847	311.789
10	20.6912	356.928	20.6442	331.439	20.7952	271.172	20.7331	367.071	20.8077	257.898
11	20.7209	279.17	20.6778	255.549	20.8145	222.225	20.7604	287.16	20.8277	208.064
12	20.7319	252.025	20.6868	231.636	20.8204	214.034	20.7723	257.014	20.8342	199.131
13	20.7198	317.552	20.6697	301.888	20.8143	249.801	20.7636	318.559	20.8287	234.248
14	20.7208	317.409	20.6714	301.799	20.8169	235.919	20.7645	317.826	20.8318	219.772
15	20.717	331.174	20.6673	315.286	20.8157	240.243	20.7612	331.404	20.831	223.635
16	20.7085	362.34	20.6579	346.26	20.8102	255.351	20.7535	362.455	20.8256	238.445
17	20.7009	411.348	20.6504	394.546	20.8037	298.259	20.7461	411.782	20.8193	281.203
18	20.6947	463.395	20.6445	445.609	20.798	349.158	20.7398	464.446	20.8135	332.062
19	20.6896	504.516	20.6398	485.798	20.7946	389.346	20.7347	506.281	20.8101	372.324
20	20.6905	505.69	20.6418	485.884	20.7958	389.371	20.7349	508.418	20.8111	372.51
21	20.6907	504.357	20.6425	483.961	20.7968	387.394	20.7347	507.735	20.8118	370.773
22	20.6906	504.806	20.6425	484.203	20.7977	386.867	20.7343	508.57	20.8124	370.531
23	20.6931	502.673	20.6456	482.049	20.8	384.388	20.7363	506.706	20.8145	368.367
24	20.6926	502.13	20.6447	481.635	20.8007	383.167	20.7357	506.344	20.8148	367.492
25	20.6961	499.352	20.6488	479.046	20.8036	380.24	20.7385	503.726	20.8174	364.933
26	20.7021	489.84	20.6559	469.732	20.8079	372.096	20.7435	494.398	20.8213	357.179
27	20.7033	484.13	20.6571	464.285	20.8095	366.965	20.7445	488.813	20.8225	352.434
28	20.7021	485.934	20.6553	466.436	20.8096	367.685	20.7434	490.686	20.8223	353.56
29	20.7033	486.585	20.6564	467.404	20.8111	367.574	20.7443	491.428	20.8234	353.846
30	20.7046	487.555	20.6576	468.683	20.8144	367.583	20.7454	492.493	20.8263	354.248
31	20.7083	453.688	20.6616	434.706	20.8209	331.027	20.7487	459.078	20.8325	318.092
32	20.7227	395.567	20.6787	376.374	20.8343	273.803	20.761	401.491	20.8455	261.26
33	20.8107	199.644	20.8216	178.181	21.1066	105.875	20.8337	208.555	21.1389	97.619
34	21.1889	0	21.3355	0	21.5592	0	21.1311	0.0105774	21.5971	0
35	20.8214	105.18	20.7755	104.291	20.9442	30.9897	20.8565	101.284	20.9568	23.8669
36	20.7838	276.342	20.736	276.389	20.9014	151.686	20.8214	268.736	20.9126	138.889
37	20.7683	311.587	20.7228	305.519	20.8846	190.643	20.8047	308.881	20.8951	178.844
38	20.7579	306.769	20.7137	296.265	20.8749	185.332	20.7938	307.984	20.8848	174.166
39	20.7682	284.45	20.7298	270.338	20.8805	178.098	20.8006	288.769	20.8899	167.519
40	20.7379	317.621	20.6909	303.893	20.8576	203.811	20.775	322.176	20.8664	193.843
41	20.7212	412.028	20.672	398.915	20.8434	279.267	20.7596	416.412	20.8517	269.889
42	20.7056	481.076	20.655	466.846	20.8306	344.25	20.745	486.507	20.8384	335.403
43	20.6896	541.393	20.6369	526.082	20.8196	400.463	20.7304	547.907	20.827	392.132
44	20.6813	561.123	20.6278	544.645	20.8144	415.724	20.7226	568.859	20.8213	407.901
45	20.6772	570.892	20.6232	553.746	20.8118	423.033	20.7185	579.498	20.8182	415.717
46	20.6751	574.893	20.6209	557.45	20.8105	425.734	20.7164	584.084	20.8166	418.916
47	20.6701	580.977	20.6146	563.528	20.8078	430.017	20.7119	590.475	20.8134	423.629
48	20.6636	592.04	20.6064	574.771	20.8042	438.091	20.7063	601.701	20.8095	432.138
49	20.6604	600.119	20.6022	583.084	20.8026	443.846	20.7035	609.88	20.8075	438.281
50	20.6541	609.161	20.5941	592.427	20.7992	450.329	20.6982	618.959	20.8038	445.129
51	20.6518	616.29	20.5909	599.865	20.7981	455.319	20.6962	626.105	20.8024	450.453
52	20.6447	625.497	20.5818	609.422	20.7943	461.91	20.6902	635.281	20.7983	457.357
53	20.6408	635.45	20.5766	619.732	20.7923	469.069	20.6869	645.186	20.7961	464.809
54	20.6402	640.637	20.5755	625.233	20.7939	472.354	20.6865	650.349	20.7975	468.362
55	20.6462	603.076	20.5822	587.502	20.8011	432.959	20.6918	613.152	20.8044	429.206
56	20.6537	547.929	20.5908	532.206	20.8101	377.667	20.6985	558.341	20.8132	374.145
57	20.7558	330.376	20.7214	310.128	21.0219	169.612	20.7835	344.205	21.0299	166.911
58	21.0385	10.3738	21.1275	5.27331	21.5793	0	20.999	14.9545	21.5886	0
59	20.7529	230.378	20.6901	231.128	20.9207	92.8298	20.7933	229.728	20.9233	90.6418
60	20.7327	394.433	20.6716	395.951	20.8868	225.355	20.7734	392.704	20.8892	222.674
61	20.7301	396.12	20.6734	391.873	20.8766	240.566	20.7684	398.785	20.879	237.975
62	20.7176	386.553	20.661	378.927	20.8649	230.668	20.7562	392.04	20.8672	228.165
63	20.7374	335.949	20.6882	324.341	20.8758	207.173	20.7716	344.543	20.8779	204.847
64	20.7118	363.098	20.6545	352.819	20.8552	228.285	20.7505	371.025	20.8569	226.217
65	20.6838	476.468	20.6214	467.689	20.8339	315.935	20.726	483.315	20.8354	314.129
66	20.6606	564.904	20.5951	555.008	20.8163	395.556	20.705	572.504	20.8177	393.967
